epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_no_arbitrage,loss_log_var_clamped_no_arbitrage,loss_weight_no_arbitrage
11,adam,5e-05,-0.0016409780728281476,-0.000824161968921544,0.0,0.0,0.0,0.0,6.049537347507794e-06,1.0117871269699208e-06,0.0,0.0,-0.0008238774389610626,0.0,-0.0016695538070052862,-0.0008529543410986662,0.0,0.0,0.0,0.0,1.0916016435658094e-05,7.860438131501724e-07,0.0,0.0,-0.0008283014758490026,0.0,1,0,0,-0.0008797208429314196,-0.0008797208429314196,1.0008801079108078,-0.0008797837072052062,-0.0008797837072052062,1.000880170830411
12,adam,5e-05,-0.0017994047957472503,-0.0009040795484906994,0.0,0.0,0.0,0.0,9.523461244498321e-06,1.0202132543213338e-06,0.0,0.0,-0.0009058689101948403,0.0,-0.0018434941302984953,-0.0009331438923254609,0.0,0.0,0.0,0.0,1.0726595064625144e-05,9.58895043368102e-07,0.0,0.0,-0.0009220357169397175,0.0,1,0,0,-0.0009596586460247636,-0.0009596586460247636,1.0009601192657174,-0.000959722965490073,-0.000959722965490073,1.000960183646939
13,adam,5e-05,-0.0019604394037742168,-0.000983686277322704,0.0,0.0,0.0,0.0,7.26837990328022e-06,1.0304208224454214e-06,0.0,0.0,-0.0009850519163592253,0.0,-0.002001047134399414,-0.0010127013083547354,0.0,0.0,0.0,0.0,9.236840924131684e-06,7.733948450550088e-07,0.0,0.0,-0.0009983559139072895,0.0,1,0,0,-0.0010395902208983898,-0.0010395902208983898,1.0010401307821166,-0.001039655995555222,-0.001039655995555222,1.0010401966251898
14,adam,5e-05,-0.002123157915775664,-0.0010641507033142261,0.0,0.0,0.0,0.0,6.385139116105165e-06,9.66511546351967e-07,0.0,0.0,-0.0010663588327588513,0.0,-0.0021519185975193977,-0.0010920704808086157,0.0,0.0,0.0,0.0,8.821009942039382e-06,9.710704489407362e-07,0.0,0.0,-0.001069640158675611,0.0,1,0,0,-0.001119515742175281,-0.001119515742175281,1.0011201426338403,-0.001119583030231297,-0.001119583030231297,1.001120209997271
15,adam,5e-05,-0.0022836449061287567,-0.001144519010267686,0.0,0.0,0.0,0.0,6.093395825246262e-06,8.755754876688115e-07,0.0,0.0,-0.001146094873547554,0.0,-0.0023193862289190292,-0.0011743053328245878,0.0,0.0,0.0,0.0,8.758997864788398e-06,7.53792051000346e-07,0.0,0.0,-0.0011545937741175294,0.0,1,0,0,-0.001199435326270759,-0.001199435326270759,1.0012001549365015,-0.0011995038948953152,-0.0011995038948953152,1.0012002235874216
16,adam,5e-05,-0.002444390847813338,-0.0012246081460034475,0.0,0.0,0.0,0.0,5.944301790350437e-06,8.295376403566479e-07,0.0,0.0,-0.0012265565455891192,0.0,-0.002476572059094906,-0.0012537300353869796,0.0,0.0,0.0,0.0,7.392094175884267e-06,9.921745913743507e-07,0.0,0.0,-0.001231226371601224,0.0,1,0,0,-0.001279348973184824,-0.001279348973184824,1.0012801676891863,-0.0012794185895472765,-0.0012794185895472765,1.0012802373946719
17,adam,5e-05,-0.002603717803140171,-0.0013045308951404877,0.0,0.0,0.0,0.0,5.603024305855797e-06,8.945069502885872e-07,0.0,0.0,-0.0013056844400125556,0.0,-0.002644931199029088,-0.0013356941053643823,0.0,0.0,0.0,0.0,8.713102943147533e-06,6.924608442204772e-07,0.0,0.0,-0.0013186426367610693,0.0,1,0,0,-0.0013592566829174757,-0.0013592566829174757,1.0013601808909804,-0.0013593273470178246,-0.0013593273470178246,1.0013602516511992
18,adam,5e-05,-0.002762667470960878,-0.0013839067178196274,0.0,0.0,0.0,0.0,6.495389641258953e-06,1.0428469856549327e-06,0.0,0.0,-0.0013862990235793404,0.0,-0.002798094879835844,-0.001413287129253149,0.0,0.0,0.0,0.0,8.14348732092185e-06,5.900915880374669e-07,0.0,0.0,-0.0013935412280261517,0.0,1,0,0,-0.0014391583390533924,-0.0014391583390533924,1.0014401944243865,-0.0014392301673069596,-0.0014392301673069596,1.0014402663560893
19,adam,5e-05,-0.0029236556438263506,-0.00146408099681139,0.0,0.0,0.0,0.0,5.604032253359037e-06,8.280835714913337e-07,0.0,0.0,-0.0014660067172371782,0.0,-0.00295735290274024,-0.0014924976276233792,0.0,0.0,0.0,0.0,9.209273230226245e-06,1.1443698895163834e-06,0.0,0.0,-0.0014752087881788611,0.0,1,0,0,-0.001519054058007896,-0.001519054058007896,1.0015202084050547,-0.0015191270504146814,-0.0015191270504146814,1.0015202815084279
20,adam,5e-05,-0.0030834389181109145,-0.0015438132832059637,0.0,0.0,0.0,0.0,5.5783558536859346e-06,8.179191546275888e-07,0.0,0.0,-0.0015460219074157067,0.0,-0.003121176501736045,-0.001574309659190476,0.0,0.0,0.0,0.0,8.752021130931098e-06,1.1071454082411947e-06,0.0,0.0,-0.0015567259397357702,0.0,1,0,0,-0.0015989441890269518,-0.0015989441890269518,1.0016002231818752,-0.00159901799634099,-0.00159901799634099,1.0016002971073004
21,adam,5e-05,-0.003241973739932291,-0.001623443589778617,0.0,0.0,0.0,0.0,6.4089110196619e-06,9.954720745497525e-07,0.0,0.0,-0.001625934506591875,0.0,-0.0032816536258906126,-0.00165244797244668,0.0,0.0,0.0,0.0,7.978121175256092e-06,8.98366010915197e-07,0.0,0.0,-0.0016380822053179145,0.0,1,0,0,-0.0016788283828645945,-0.0016788283828645945,1.001680238404185,-0.0016789032379165292,-0.0016789032379165292,1.001680313385014
22,adam,5e-05,-0.00340297375805676,-0.001703006106254179,0.0,0.0,0.0,0.0,5.332282256631515e-06,7.460106949963574e-07,0.0,0.0,-0.0017060459358617663,0.0,-0.0034423181787133217,-0.0017322372877970338,0.0,0.0,0.0,0.0,7.650467523490079e-06,7.949673204166174e-07,0.0,0.0,-0.0017185263568535447,0.0,1,0,0,-0.0017587068723514676,-0.0017587068723514676,1.0017602543043096,-0.0017587825423106551,-0.0017587825423106551,1.00176033010747
23,adam,5e-05,-0.0035630388010758907,-0.0017831934965215623,0.0,0.0,0.0,0.0,4.90299291300289e-06,8.241054025859285e-07,0.0,0.0,-0.0017855724290711805,0.0,-0.003601019736379385,-0.0018125451169908047,0.0,0.0,0.0,0.0,7.544991603936069e-06,6.691763587696187e-07,0.0,0.0,-0.0017966886516660452,0.0,1,0,0,-0.0018385796574875712,-0.0018385796574875712,1.0018402708813905,-0.0018386562587693334,-0.0018386562587693334,1.0018403476236424
24,adam,5e-05,-0.003722879569977522,-0.001862871737102978,0.0,0.0,0.0,0.0,4.978623820761641e-06,7.604368583713494e-07,0.0,0.0,-0.0018657469627214596,0.0,-0.003756683086976409,-0.0018909067148342729,0.0,0.0,0.0,0.0,6.870788183732657e-06,6.029868018231355e-07,0.0,0.0,-0.0018732502358034253,0.0,1,0,0,-0.0019184467382729053,-0.0019184467382729053,1.0019202881345686,-0.0019185241544619203,-0.0019185241544619203,1.001920365699422
25,adam,5e-05,-0.0038825018127681687,-0.00194265361642465,0.0,0.0,0.0,0.0,4.7530248252769525e-06,7.594535329502605e-07,0.0,0.0,-0.0019453606510069221,0.0,-0.003921139054000378,-0.0019719512201845646,0.0,0.0,0.0,0.0,8.091727977443952e-06,8.553120665055758e-07,0.0,0.0,-0.0019581348169595003,0.0,1,0,0,-0.0019983083475381136,-0.0019983083475381136,1.0020003062962817,-0.0019983863458037376,-0.0019983863458037376,1.0020003844505707
26,adam,5e-05,-0.004040142695885152,-0.0020218494173604995,0.0,0.0,0.0,0.0,4.767110098669036e-06,8.882940214505197e-07,0.0,0.0,-0.002023948618443683,0.0,-0.004078058525919914,-0.002049732254818082,0.0,0.0,0.0,0.0,7.433185146510368e-06,1.231212763741496e-06,0.0,0.0,-0.0020369908306747675,0.0,1,0,0,-0.002078164368867874,-0.002078164368867874,1.0020803252490686,-0.002078243065625429,-0.002078243065625429,1.0020804041095441
27,adam,5e-05,-0.004200223396765068,-0.002101550970110111,0.0,0.0,0.0,0.0,5.318266531162408e-06,8.533481334893622e-07,0.0,0.0,-0.0021048439521109685,0.0,-0.004233631305396557,-0.00212824041955173,0.0,0.0,0.0,0.0,6.238916284928564e-06,1.1962898724959814e-06,0.0,0.0,-0.0021128260996192694,0.0,1,0,0,-0.0021580145694315434,-0.0021580145694315434,1.0021603447587653,-0.0021580939646810293,-0.0021580939646810293,1.0021604243255389
28,adam,5e-05,-0.004359613580163568,-0.0021807573502883315,0.0,0.0,0.0,0.0,4.443581048008127e-06,8.148618260150897e-07,0.0,0.0,-0.0021841146663064137,0.0,-0.004402419552206993,-0.0022102755028754473,0.0,0.0,0.0,0.0,7.015457867964869e-06,6.864498232062033e-07,0.0,0.0,-0.002199845854192972,0.0,1,0,0,-0.0022378594148904085,-0.0022378594148904085,1.0022403652911884,-0.0022379395086318254,-0.0022379395086318254,1.0022404455643723
29,adam,5e-05,-0.004520124872215092,-0.002261279252707027,0.0,0.0,0.0,0.0,4.8161509056399154e-06,6.44281350048459e-07,0.0,0.0,-0.002264306036522612,0.0,-0.004560975357890129,-0.0022897403687238693,0.0,0.0,0.0,0.0,6.215502708073473e-06,9.149460993285174e-07,0.0,0.0,-0.002278365660458803,0.0,1,0,0,-0.0023176984395831823,-0.0023176984395831823,1.0023203863788213,-0.0023177792318165302,-0.0023177792318165302,1.002320467358527
30,adam,5e-05,-0.004679162404499948,-0.002340767954592593,0.0,0.0,0.0,0.0,4.232841646967245e-06,7.314813927905561e-07,0.0,0.0,-0.002343358821235597,0.0,-0.004717565141618252,-0.0023693039547652006,0.0,0.0,0.0,0.0,6.079108516132692e-06,6.068530638003722e-07,0.0,0.0,-0.002354946918785572,0.0,1,0,0,-0.0023975325748324394,-0.0023975325748324394,1.0024004089543346,-0.0023976138327270746,-0.0023976138327270746,1.0024004904072847
31,adam,5e-05,-0.004837174783460796,-0.002419794036541134,0.0,0.0,0.0,0.0,4.533307603082903e-06,7.905855845535825e-07,0.0,0.0,-0.002422704696073197,0.0,-0.004877569153904915,-0.002449112245813012,0.0,0.0,0.0,0.0,6.282190952333622e-06,6.000561256769288e-07,0.0,0.0,-0.002435339381918311,0.0,1,0,0,-0.0024773606564849615,-0.0024773606564849615,1.0024804318500238,-0.0024774428457021713,-0.0024774428457021713,1.0024805142431092
32,adam,5e-05,-0.004997024429030716,-0.0024992671969812363,0.0,0.0,0.0,0.0,4.440915006398427e-06,6.797475684550136e-07,0.0,0.0,-0.0025028778763953596,0.0,-0.005033503286540508,-0.002526848344132304,0.0,0.0,0.0,0.0,6.298440439422848e-06,7.330285143325455e-07,0.0,0.0,-0.0025136861950159073,0.0,1,0,0,-0.002557183848693967,-0.002557183848693967,1.0025604562320793,-0.002557266503572464,-0.002557266503572464,1.0025605390985957
33,adam,5e-05,-0.005155961407581344,-0.002578579180408269,0.0,0.0,0.0,0.0,3.850275689387672e-06,6.580516931364855e-07,0.0,0.0,-0.0025818906142376363,0.0,-0.00519903376698494,-0.002608807059004903,0.0,0.0,0.0,0.0,7.1048357312974986e-06,6.413739015442843e-07,0.0,0.0,-0.002597972983494401,0.0,1,0,0,-0.002637001220136881,-0.002637001220136881,1.0026404811660559,-0.0026370848063379526,-0.0026370848063379526,1.0026405649729684
34,adam,5e-05,-0.005315374146448448,-0.0026588068867567927,0.0,0.0,0.0,0.0,4.781274839160687e-06,6.436065280723824e-07,0.0,0.0,-0.002661992170033045,0.0,-0.005357964895665646,-0.0026863242965191603,0.0,0.0,0.0,0.0,5.9210642575635575e-06,6.567799459844537e-07,0.0,0.0,-0.002678218297660351,0.0,1,0,0,-0.0027168134693056345,-0.0027168134693056345,1.002720507351458,-0.0027168975211679935,-0.0027168975211679935,1.0027205916319875
35,adam,5e-05,-0.0054746152891311795,-0.0027382279513403773,0.0,0.0,0.0,0.0,4.044180812456943e-06,5.763507466838291e-07,0.0,0.0,-0.0027410078182583675,0.0,-0.005517840385437012,-0.0027654513251036406,0.0,0.0,0.0,0.0,6.25431403022958e-06,5.397930635808734e-07,0.0,0.0,-0.002759183058515191,0.0,1,0,0,-0.0027966205962002277,-0.0027966205962002277,1.0028005347875653,-0.0027967053465545177,-0.0027967053465545177,1.0028006197752695
36,adam,5e-05,-0.005633469903841615,-0.002817430955474265,0.0,0.0,0.0,0.0,4.188046801800738e-06,5.606155788484557e-07,0.0,0.0,-0.0028207876021042466,0.0,-0.005673791281878948,-0.002845223993062973,0.0,0.0,0.0,0.0,5.672883162333164e-06,6.409193815670733e-07,0.0,0.0,-0.002834880957379937,0.0,1,0,0,-0.0028764221351593733,-0.0028764221351593733,1.0028805630066555,-0.0028765073511749506,-0.0028765073511749506,1.0028806484681447
37,adam,5e-05,-0.005792811716673896,-0.0028969833365408704,0.0,0.0,0.0,0.0,3.940981216032924e-06,5.916586456322648e-07,0.0,0.0,-0.002900361083447933,0.0,-0.005832715891301632,-0.0029252194799482822,0.0,0.0,0.0,0.0,6.178717285365565e-06,5.360675459087361e-07,0.0,0.0,-0.00291421078145504,0.0,1,0,0,-0.0029562190175056458,-0.0029562190175056458,1.0029605929419763,-0.0029563044663518667,-0.0029563044663518667,1.0029606786438054
38,adam,5e-05,-0.0059515284665394574,-0.002976337040308863,0.0,0.0,0.0,0.0,3.840930503429263e-06,7.283689669179694e-07,0.0,0.0,-0.002979760756716132,0.0,-0.005989549681544304,-0.0030039099510759115,0.0,0.0,0.0,0.0,5.715004590456374e-06,6.4418287593071e-07,0.0,0.0,-0.002991999266669154,0.0,1,0,0,-0.003036010079085827,-0.003036010079085827,1.0030406234252263,-0.003036096226423979,-0.003036096226423979,1.0030407098345098
39,adam,5e-05,-0.006110514688771218,-0.003055997673072852,0.0,0.0,0.0,0.0,3.770618960174943e-06,6.750838466018649e-07,0.0,0.0,-0.00305896281497553,0.0,-0.006152568385004997,-0.003084168303757906,0.0,0.0,0.0,0.0,6.247421879379544e-06,5.788029397990613e-07,0.0,0.0,-0.003075225977227092,0.0,1,0,0,-0.0031157962512224913,-0.0031157962512224913,1.0031206553897467,-0.0031158828642219305,-0.0031158828642219305,1.003120742273039
40,adam,5e-05,-0.006268751487368718,-0.003135093691525981,0.0,0.0,0.0,0.0,4.021186825298173e-06,7.777663597607898e-07,0.0,0.0,-0.0031384566973429173,0.0,-0.006311309989541769,-0.003162250155583024,0.0,0.0,0.0,0.0,6.265788670134498e-06,5.538873892874108e-07,0.0,0.0,-0.003155879443511367,0.0,1,0,0,-0.003195577533915639,-0.003195577533915639,1.0032006888348726,-0.0031956646125763655,-0.0031956646125763655,1.0032007761922488
41,adam,5e-05,-0.006427196378353983,-0.0032142886193469167,0.0,0.0,0.0,0.0,4.057358637510333e-06,5.581579767266476e-07,0.0,0.0,-0.0032175232627196237,0.0,-0.006466672755777836,-0.0032418451737612486,0.0,0.0,0.0,0.0,5.84033614359214e-06,4.477045365547383e-07,0.0,0.0,-0.0032311156392097473,0.0,1,0,0,-0.003275353228673339,-0.003275353228673339,1.0032807230591563,-0.0032754407729953527,-0.0032754407729953527,1.0032808108906908
42,adam,5e-05,-0.006587164825759828,-0.0032939743832685053,0.0,0.0,0.0,0.0,3.6258052631410465e-06,5.075842093305027e-07,0.0,0.0,-0.003297323768492788,0.0,-0.006626049522310495,-0.0033225789666175842,0.0,0.0,0.0,0.0,5.334776233212324e-06,5.842601353833743e-07,0.0,0.0,-0.00330938957631588,0.0,1,0,0,-0.0033551242668181658,-0.0033551242668181658,1.003360758996218,-0.003355212276801467,-0.003355212276801467,1.0033608473019855
43,adam,5e-05,-0.006744161015376449,-0.0033723984088283032,0.0,0.0,0.0,0.0,3.7057651809391245e-06,6.015047642193849e-07,0.0,0.0,-0.0033760699443519115,0.0,-0.006785823497921228,-0.0034006787464022636,0.0,0.0,0.0,0.0,5.914652774663409e-06,5.205016009313113e-07,0.0,0.0,-0.003391579957678914,0.0,1,0,0,-0.0034348901826888323,-0.0034348901826888323,1.003440796178185,-0.0034349786583334208,-0.0034349786583334208,1.0034408849582601
44,adam,5e-05,-0.0069035597844049335,-0.003452130753430538,0.0,0.0,0.0,0.0,3.78890523222708e-06,5.972875740667405e-07,0.0,0.0,-0.003455815211054869,0.0,-0.006947992369532585,-0.0034796837717294693,0.0,0.0,0.0,0.0,6.138553999335272e-06,5.208696052250161e-07,0.0,0.0,-0.0034749682527035475,0.0,1,0,0,-0.0035146509762853384,-0.0035146509762853384,1.003520834604337,-0.0035147396847605705,-0.0035147396847605705,1.0035209236251441
45,adam,5e-05,-0.007061421754769981,-0.0035313135595060885,0.0,0.0,0.0,0.0,3.7515439572644027e-06,6.539458361487505e-07,0.0,0.0,-0.003534513685735874,0.0,-0.007100480608642101,-0.0035570389591157436,0.0,0.0,0.0,0.0,7.558951438113581e-06,5.032965759710351e-07,0.0,0.0,-0.0035515036433935165,0.0,1,0,0,-0.0035944071132689714,-0.0035944071132689714,1.0036008747412912,-0.0035944960545748472,-0.0035944960545748472,1.0036009640028676
46,adam,5e-05,-0.007219862513011321,-0.003610250205383636,0.0,0.0,0.0,0.0,4.0157737686286055e-06,6.070266227453658e-07,0.0,0.0,-0.003614235043642111,0.0,-0.0072627379558980465,-0.0036378675140440464,0.0,0.0,0.0,0.0,6.261813268793048e-06,5.908916591579327e-07,0.0,0.0,-0.0036317231133580208,0.0,1,0,0,-0.003674158127978444,-0.003674158127978444,1.0036809161210634,-0.003674247534945607,-0.003674247534945607,1.0036810058571342
47,adam,5e-05,-0.00737928508897312,-0.0036898893158650026,0.0,0.0,0.0,0.0,3.506635593453211e-06,6.377663552825652e-07,0.0,0.0,-0.003693540158565156,0.0,-0.007422809489071369,-0.003717617131769657,0.0,0.0,0.0,0.0,6.065160050638951e-06,4.964850290889444e-07,0.0,0.0,-0.003711754223331809,0.0,1,0,0,-0.0037539040204137564,-0.0037539040204137564,1.0037609587429326,-0.003753993660211563,-0.003753993660211563,1.003761048719866
48,adam,5e-05,-0.007537644007243216,-0.0037691220495617017,0.0,0.0,0.0,0.0,3.9336204480378e-06,4.7626266130862405e-07,0.0,0.0,-0.0037729318282799795,0.0,-0.007583828642964363,-0.0037966701202094555,0.0,0.0,0.0,0.0,5.587187388300663e-06,6.049597232049564e-07,0.0,0.0,-0.003793350886553526,0.0,1,0,0,-0.0038336452562361956,-0.0038336452562361956,1.0038410030736276,-0.0038337353616952896,-0.0038337353616952896,1.003841093525186
49,adam,5e-05,-0.007696289132582024,-0.003848277498036623,0.0,0.0,0.0,0.0,3.4449297601213402e-06,5.431445853076866e-07,0.0,0.0,-0.003851999674225226,0.0,-0.0077406978234648705,-0.0038769657257944345,0.0,0.0,0.0,0.0,4.733574314741418e-06,1.3178856761442148e-06,0.0,0.0,-0.0038697838317602873,0.0,1,0,0,-0.003913382068276405,-0.003913382068276405,1.0039210493462827,-0.003913472406566143,-0.003913472406566143,1.0039211400387975
50,adam,5e-05,-0.007854645984480157,-0.003927488083718345,0.0,0.0,0.0,0.0,3.366850606312255e-06,6.765964890576015e-07,0.0,0.0,-0.003931201368686743,0.0,-0.007894814945757389,-0.0039546899497509,0.0,0.0,0.0,0.0,4.7823482418607455e-06,9.755718792803236e-07,0.0,0.0,-0.003945882897824049,0.0,1,0,0,-0.003993113059550524,-0.003993113059550524,1.0040010961577714,-0.003993203863501549,-0.003993203863501549,1.004001187325042
51,adam,5e-05,-0.008012817532289773,-0.004006609407952055,0.0,0.0,0.0,0.0,3.353849720610924e-06,7.242127786355468e-07,0.0,0.0,-0.004010286065749824,0.0,-0.008055776357650757,-0.004033578094094992,0.0,0.0,0.0,0.0,5.757751750934403e-06,4.1313816723231866e-07,0.0,0.0,-0.004028369672596455,0.0,1,0,0,-0.004072840791195631,-0.004072840791195631,1.0040811460787942,-0.004072932060807943,-0.004072932060807943,1.0040812377208954
52,adam,5e-05,-0.008170767803676426,-0.0040858498541638255,0.0,0.0,0.0,0.0,3.7773006766883555e-06,5.360050447933418e-07,0.0,0.0,-0.004089231282705441,0.0,-0.008212634362280369,-0.004111729562282562,0.0,0.0,0.0,0.0,4.732065917778527e-06,4.011617988908256e-07,0.0,0.0,-0.0041060377843678,0.0,1,0,0,-0.004152562003582716,-0.004152562003582716,1.004161195835884,-0.004152653273195028,-0.004152653273195028,1.0041612874852914
53,adam,5e-05,-0.008328985539264977,-0.004164272220805287,0.0,0.0,0.0,0.0,3.308410455815647e-06,6.145097763976537e-07,0.0,0.0,-0.004168636311078444,0.0,-0.008374977856874466,-0.004193997476249933,0.0,0.0,0.0,0.0,5.073208740213886e-06,1.2401170579323662e-06,0.0,0.0,-0.004187294282019138,0.0,1,0,0,-0.004232279025018215,-0.004232279025018215,1.0042412477661655,-0.004232371225953102,-0.004232371225953102,1.0042413403581518
54,adam,5e-05,-0.008486602222546935,-0.004243617382599041,0.0,0.0,0.0,0.0,3.613841741412216e-06,7.7782079799249e-07,0.0,0.0,-0.004247376578859985,0.0,-0.00852878112345934,-0.004271054640412331,0.0,0.0,0.0,0.0,4.688392436946742e-06,3.5922079177908017e-07,0.0,0.0,-0.004262773785740137,0.0,1,0,0,-0.004311992786824703,-0.004311992786824703,1.004321302804488,-0.00431208498775959,-0.00431208498775959,1.0043213954038555
55,adam,5e-05,-0.008645333058666438,-0.004322754044551402,0.0,0.0,0.0,0.0,3.4699775142144063e-06,6.194921287061561e-07,0.0,0.0,-0.004326668451540172,0.0,-0.008687998168170452,-0.004350398667156696,0.0,0.0,0.0,0.0,5.772079930466134e-06,4.030112847885903e-07,0.0,0.0,-0.004343774169683456,0.0,1,0,0,-0.004391699563711882,-0.004391699563711882,1.0044013572088906,-0.004391792230308056,-0.004391792230308056,1.0044014502833498
