greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,7.370941760754696e-10,2.7149478375752812e-05,2.3344235039513246e-06,4.050241020758793e-06,1.8431812001772255e-05,0.0011031771254739198
gamma,2048,1.484355776860189e-06,0.001218341404065457,0.000130545593629723,0.00016693607628042172,0.001399407042874969,0.03556363041263921
vega,2048,2.376995885328893e-11,4.875444477510633e-06,1.7347821498275652e-06,6.0276578366491574e-06,2.3819195161373055e-05,3.5141558881193746e-05
theta,2048,2.2057611542921427e-13,4.696553155551572e-07,1.4337807990508884e-08,2.758339324310244e-09,2.9474010284982752e-08,2.0742420876240786e-05
rho,2048,1.1569324056981366e-22,1.0756079237799136e-11,5.832172145396904e-12,2.1375191417219443e-11,3.6723899485627255e-11,4.1729463634565533e-11
