parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.5241299828927267,0.07412998289272671,0.16473329531717046
kappa,1.0,1.0576232226342916,0.05762322263429165,0.05762322263429165
gamma,0.35,0.29956827744543396,0.050431722554566016,0.14409063587018864
bar_v,0.2,0.19758448825937408,0.0024155117406259308,0.012077558703129654
v0,0.22,0.21971117661996578,0.0002888233800342199,0.0013128335456100905
