epoch,optimizer,lr,train_total,train_pde,train_dpde,train_term,train_low,train_no_arbitrage,val_total,val_pde,val_dpde,val_term,val_low,val_no_arbitrage
16,adam,5e-05,1.4597957156111656e-05,6.211405383914502e-06,3.5294302011924817e-06,3.6585447163353876e-06,1.1985769164752244e-06,0.0,2.089302688546013e-05,1.0251739695377182e-05,5.585778126260266e-06,4.819590685656294e-06,2.3591711340031907e-07,0.0
17,adam,5e-05,1.3512305500510608e-05,5.855657137645822e-06,3.412787501178721e-06,3.558730148662497e-06,6.851306584358387e-07,0.0,1.94119056686759e-05,9.248280548490584e-06,2.7596413474384462e-06,6.147129170130938e-06,1.2568552847369574e-06,0.0
18,adam,5e-05,1.4902503615245685e-05,6.082645024925735e-06,4.033158197058034e-06,3.99104038435672e-06,7.956600738691036e-07,0.0,2.2195255951373838e-05,9.773156307346653e-06,3.031713731616037e-06,6.93119955030852e-06,2.4591868168499786e-06,0.0
19,adam,5e-05,1.786591254795129e-05,8.666833208634569e-06,3.5174524699623506e-06,4.608478739389702e-06,1.0731482274105286e-06,0.0,2.3704355044174008e-05,1.3537273844121955e-05,4.6103955355647486e-06,5.2132040764263365e-06,3.4348087751823186e-07,0.0
20,adam,5e-05,1.654584312269608e-05,7.3574092744993755e-06,3.4650637381052964e-06,4.3690148946292795e-06,1.3543551008730164e-06,0.0,1.9700084521900862e-05,1.0099730388901662e-05,3.737311089935247e-06,5.362945103115635e-06,5.000980536351562e-07,0.0
21,adam,5e-05,1.6681549491223117e-05,7.1953551367995615e-06,3.559953621146315e-06,4.665969115757478e-06,1.2602716188731783e-06,0.0,2.4689505153219216e-05,1.1877358701894991e-05,4.095949861948611e-06,7.738152817182709e-06,9.780437721929047e-07,0.0
22,adam,5e-05,1.6483783737284182e-05,6.847263796497293e-06,3.958096021239134e-06,4.8349388490596395e-06,8.434850409385613e-07,0.0,2.432757173664868e-05,1.200005499413237e-05,3.3982191780523863e-06,7.882990757934749e-06,1.0463060107213096e-06,0.0
23,adam,5e-05,1.4834210242764722e-05,6.061998610964529e-06,3.0799729975187225e-06,3.877557737218416e-06,1.8146808636788231e-06,0.0,2.097819378832355e-05,1.1221444765396882e-05,4.33555169365718e-06,4.756763701152522e-06,6.644339123340615e-07,0.0
24,adam,5e-05,1.3439129419104632e-05,5.668308331801127e-06,3.3022950993827613e-06,3.861647385184326e-06,6.068785682243418e-07,0.0,1.8033108062809333e-05,9.56715302891098e-06,2.9331495170481503e-06,4.958579665981233e-06,5.742267603636719e-07,0.0
25,adam,5e-05,1.3180575926583963e-05,5.500616250881447e-06,3.056108547687992e-06,3.6309933680708388e-06,9.928577976137285e-07,0.0,2.37916101468727e-05,1.2397125829011202e-05,4.79359005112201e-06,5.1700912990781944e-06,1.4308027402876178e-06,0.0
26,adam,5e-05,1.4839820915579959e-05,6.474182808031199e-06,3.5741246719341673e-06,4.0459087308085546e-06,7.456047201447377e-07,0.0,2.2365809854818508e-05,1.0917863619397394e-05,5.358503130992176e-06,4.953235929860966e-06,1.1362079703758354e-06,0.0
27,adam,5e-05,1.3691519800179069e-05,5.758974378887427e-06,3.2451507577784396e-06,3.6889246075588744e-06,9.984701615206768e-07,0.0,1.9044304281123914e-05,8.771748980507255e-06,3.860078777506715e-06,5.87871818424901e-06,5.337596462595684e-07,0.0
28,adam,5e-05,1.4064021501874936e-05,5.624644093889704e-06,3.2295234002540094e-06,3.83307773489154e-06,1.3767763450218015e-06,0.0,2.4214481527451426e-05,1.2159612197137903e-05,5.603784302365966e-06,5.6513622439524624e-06,7.997249440450105e-07,0.0
29,adam,5e-05,1.545511410464921e-05,6.389969459835103e-06,3.465615880789604e-06,4.60557588493906e-06,9.939528926195865e-07,0.0,2.0191509975120425e-05,9.815477824304253e-06,3.6125663882558e-06,5.663200226990739e-06,1.1002641713275807e-06,0.0
30,adam,5e-05,1.349876234483432e-05,5.608673052934353e-06,3.0441834327113667e-06,3.7559330065859185e-06,1.0899728674902443e-06,0.0,2.0363115254440345e-05,1.048340527631808e-05,4.4918024286744185e-06,4.3130089579790365e-06,1.074899500963511e-06,0.0
31,adam,5e-05,1.4553158117840731e-05,6.4173967378640855e-06,3.1808327063363178e-06,4.003072071720944e-06,9.518565493617788e-07,0.0,1.968532524188049e-05,9.499697625869885e-06,3.853437647194369e-06,4.820931735594058e-06,1.5112580058485037e-06,0.0
32,adam,5e-05,1.3603333331596491e-05,6.054099548424664e-06,3.099735874370492e-06,3.4879350016761613e-06,9.615628069724832e-07,0.0,2.5758708943612874e-05,1.3203655726101715e-05,4.758005161420442e-06,6.24784524916322e-06,1.549201442685444e-06,0.0
33,adam,5e-05,1.814538284504254e-05,7.701125981377175e-06,3.865498600798818e-06,5.323354419791333e-06,1.2554038367592772e-06,0.0,2.1747653590864502e-05,1.1377822374925017e-05,4.313950739742722e-06,5.539246103580808e-06,5.166327810002258e-07,0.0
34,adam,5e-05,1.351672518279566e-05,5.794549661148931e-06,2.9558235529033742e-06,4.025271047274666e-06,7.410809918462566e-07,0.0,2.1520589143619873e-05,9.668010534369387e-06,4.838713721255772e-06,6.028885309206089e-06,9.849788966675987e-07,0.0
35,adam,5e-05,1.3401444231844617e-05,5.6834786095899446e-06,3.1093801498721565e-06,3.641643424709891e-06,9.669420381987226e-07,0.0,1.947984674188774e-05,7.976118467922788e-06,3.1651027256884845e-06,6.163255420688074e-06,2.1753708097094204e-06,0.0
36,adam,5e-05,1.4511716111132594e-05,6.073290002123463e-06,3.24350391190184e-06,4.01467766262194e-06,1.1802444744839632e-06,0.0,1.9202409021090716e-05,8.859161425789353e-06,3.0238643375923857e-06,5.492112904903479e-06,1.8272687611897709e-06,0.0
37,adam,5e-05,1.4213280092152426e-05,5.6072165116058875e-06,3.0496900983110657e-06,3.990029574832454e-06,1.5663437941673201e-06,0.0,2.211943137808703e-05,1.0112122254213318e-05,3.349696271470748e-06,6.772565939172637e-06,1.8850485048460541e-06,0.0
38,adam,5e-05,1.4158901577170509e-05,6.186687162173459e-06,2.9116733804541926e-06,4.060512072187737e-06,1.000028929196459e-06,0.0,1.7684331396594644e-05,8.109620466711931e-06,3.218553501938004e-06,5.771584255853668e-06,5.845724899700144e-07,0.0
39,adam,5e-05,1.351286928617074e-05,5.84831012395351e-06,2.8799574117386777e-06,3.7879636685887357e-06,9.966380349714388e-07,0.0,1.894775778055191e-05,8.929317118600011e-06,3.903698143403744e-06,5.680123649653979e-06,4.34619295219818e-07,0.0
40,adam,5e-05,1.2899113446312387e-05,5.368910496910093e-06,3.174027957205302e-06,3.6887498618665315e-06,6.674250928859865e-07,0.0,2.2383173927664757e-05,1.0511644177313428e-05,4.499936494539725e-06,5.7197689784516115e-06,1.6518247321073432e-06,0.0
41,adam,5e-05,1.4939119879157276e-05,6.601837636509796e-06,3.0079135193600018e-06,4.071732201549504e-06,1.2576364721127672e-06,0.0,2.4232242139987648e-05,1.096780124498764e-05,5.431102636066498e-06,5.740254437114345e-06,2.0930842765665147e-06,0.0
42,adam,5e-05,1.410570037420719e-05,5.93105803437495e-06,2.971405684721027e-06,3.825058857252034e-06,1.3781777698886078e-06,0.0,2.0649404177675024e-05,1.0800573363667354e-05,5.035763479099842e-06,4.255318344803527e-06,5.577495016950706e-07,0.0
43,adam,5e-05,1.3270353072527093e-05,5.71534838306275e-06,3.1354909424408106e-06,3.706934944963746e-06,7.125787711568173e-07,0.0,1.8819931938196532e-05,9.323372069047764e-06,3.97399617213523e-06,4.93798142997548e-06,5.845807891091681e-07,0.0
44,adam,5e-05,1.4428037935604585e-05,6.350211671295776e-06,3.010569520888061e-06,3.922072087406709e-06,1.1451845955615146e-06,0.0,2.2387726858141832e-05,1.0708886293286923e-05,4.668674591812305e-06,4.876738330494845e-06,2.1334276425477583e-06,0.0
45,adam,5e-05,1.3930512883985464e-05,5.587973848580279e-06,2.974060906682199e-06,3.871709406580305e-06,1.4967687654519515e-06,0.0,1.8328801161260344e-05,8.368439921468962e-06,4.5412157305690926e-06,5.068585323897423e-06,3.5056135061495297e-07,0.0
46,adam,5e-05,1.4131387139232607e-05,6.5959052191164884e-06,2.93328313336898e-06,3.891394363736686e-06,7.108043713551236e-07,0.0,1.94646927411668e-05,9.749014679982793e-06,4.451464064914035e-06,4.555007762974128e-06,7.092062332958449e-07,0.0
47,adam,5e-05,1.4015637986183662e-05,5.851687240190961e-06,3.2081657082017045e-06,4.194374180351299e-06,7.614108154838403e-07,0.0,1.8444752640789375e-05,8.450493623968214e-06,3.64313291356666e-06,5.724697530240519e-06,6.264282887968875e-07,0.0
48,adam,5e-05,1.3739139917777807e-05,5.6437137435938305e-06,3.0456509186536544e-06,3.993414288237949e-06,1.056360890598871e-06,0.0,1.7520309484098107e-05,8.515561603417154e-06,3.702161166074802e-06,4.968205757904798e-06,3.3438087143622397e-07,0.0
49,adam,5e-05,1.3627871541959596e-05,5.702865099097142e-06,3.077955317809346e-06,3.540926064444994e-06,1.306125237454306e-06,0.0,1.9353899915586226e-05,9.474364560446702e-06,3.495324563118629e-06,4.956448719894979e-06,1.427763436367968e-06,0.0
50,adam,5e-05,1.4597369738025701e-05,6.394081065226356e-06,2.947677762857359e-06,4.3343982306107625e-06,9.212127093319179e-07,0.0,2.450652391416952e-05,1.326896199316252e-05,4.303387413528981e-06,5.8417908803676255e-06,1.0923832860498806e-06,0.0
51,adam,5e-05,1.3956392418578386e-05,5.698551708591699e-06,3.0085732332519822e-06,4.025939486180303e-06,1.2233280376983477e-06,0.0,2.116251016559545e-05,1.0222645869362168e-05,4.1625812627898995e-06,6.076734280213714e-06,7.005497764112079e-07,0.0
52,adam,5e-05,1.38773799075612e-05,6.0500225579686695e-06,2.9892526857197697e-06,4.223942203189215e-06,6.141624588789932e-07,0.0,2.1299681975506246e-05,1.0961360203509685e-05,2.427377012281795e-06,7.439541150233708e-06,4.7140301262516004e-07,0.0
53,adam,5e-05,1.4700436204004781e-05,6.677253731184118e-06,3.044334795006199e-06,4.048517369136832e-06,9.303303628142217e-07,0.0,1.8930575606646016e-05,9.415649401489645e-06,4.006563358416315e-06,5.154498921910999e-06,3.538651753842714e-07,0.0
54,adam,5e-05,1.369945405872025e-05,6.269062666996476e-06,2.7684876766807786e-06,3.890347544357711e-06,7.715560691791786e-07,0.0,2.1342655600165017e-05,8.978609002951998e-06,2.7048788524552947e-06,6.975883025006624e-06,2.6832844923774246e-06,0.0
55,adam,5e-05,1.3563749826783943e-05,5.331668197478783e-06,2.7612449075027216e-06,3.862472932081483e-06,1.6083638736326687e-06,0.0,1.896288085845299e-05,8.109446753223892e-06,3.3655028346402105e-06,5.686198619514471e-06,1.8017317415797152e-06,0.0
56,adam,5e-05,1.311657658897318e-05,5.76853837614296e-06,2.969249242105723e-06,3.612787568705417e-06,7.660013332204991e-07,0.0,2.0862931705778465e-05,1.0721024409576785e-05,3.3827545848907903e-06,6.254820164031116e-06,5.043328314968676e-07,0.0
57,adam,5e-05,1.3893800848838134e-05,6.121787009760737e-06,2.8854294236052305e-06,3.995036411738727e-06,8.915478571135094e-07,0.0,1.7806363757699728e-05,8.176374649337959e-06,3.950188784074271e-06,5.01255999552086e-06,6.672398171758687e-07,0.0
58,adam,5e-05,1.3194760434825661e-05,5.697297659762193e-06,2.8399838437768006e-06,3.933142936927782e-06,7.24336010148724e-07,0.0,2.2070929844630882e-05,1.186723147839075e-05,2.780718887152034e-06,6.9489610723394435e-06,4.740170425066026e-07,0.0
59,adam,5e-05,1.526768550868996e-05,6.828643224238592e-06,3.0458055101960437e-06,4.036036941778591e-06,1.357199819393726e-06,0.0,1.7979458789341152e-05,8.053223609749693e-06,2.8483841560955625e-06,6.09799599260441e-06,9.798558266993496e-07,0.0
60,adam,5e-05,1.352611298710736e-05,5.364598712456802e-06,2.8421198326863565e-06,4.124812329835203e-06,1.194582075586801e-06,0.0,1.755945231707301e-05,8.855658961692825e-06,4.645632543542888e-06,3.916713467333466e-06,1.4144566762297472e-07,0.0
61,adam,5e-05,1.2815347959293008e-05,5.667678918158229e-06,2.7629203501303907e-06,3.442617645261981e-06,9.421310256667557e-07,0.0,2.1646847017109394e-05,1.0011081030825153e-05,3.1084105103218462e-06,6.313307494565379e-06,2.2140482087706914e-06,0.0
62,adam,5e-05,1.3758869456415552e-05,6.040740644825818e-06,2.8446384481824115e-06,3.591983989006997e-06,1.2815063771071553e-06,0.0,2.2129679564386606e-05,1.1573015399335418e-05,3.3645108032942517e-06,6.342268989101285e-06,8.498840315951384e-07,0.0
63,adam,5e-05,1.5296305127054757e-05,6.445876250735536e-06,2.8779262402889483e-06,4.045476136150047e-06,1.92702659101015e-06,0.0,1.7383217709721066e-05,7.91311413195217e-06,2.7181949917576276e-06,6.2893691392673645e-06,4.625402141300583e-07,0.0
64,adam,5e-05,1.243937718494895e-05,5.442367377587029e-06,2.76222258543428e-06,3.7237154939493704e-06,5.110717647460386e-07,0.0,1.658423207118176e-05,7.874596121837385e-06,3.052782858503633e-06,5.408248398452997e-06,2.4860423764039297e-07,0.0
65,adam,5e-05,1.3102828580442638e-05,5.368375685152603e-06,2.81268040860971e-06,3.886517651341227e-06,1.0352547915786883e-06,0.0,1.7017628124449402e-05,8.166122825059574e-06,3.4783577120833797e-06,5.086412784294225e-06,2.8673437668658153e-07,0.0
66,adam,5e-05,1.2024295150088923e-05,5.282074415022396e-06,2.6264683150483983e-06,3.395556354411787e-06,7.201960407937371e-07,0.0,1.8465801986167207e-05,9.240687177225482e-06,4.366268058220157e-06,4.518092282523867e-06,3.407556050660787e-07,0.0
67,adam,5e-05,1.4004434801574375e-05,6.2126200501797795e-06,2.9454434095694323e-06,4.0982003307969235e-06,7.481710299760466e-07,0.0,2.5716884920257144e-05,1.1879541489179246e-05,6.910759111633524e-06,6.255686457734555e-06,6.708984869874257e-07,0.0
68,adam,5e-05,1.353570238164153e-05,5.802056948018689e-06,2.8513976973145973e-06,4.068706168312466e-06,8.135415634843946e-07,0.0,1.788022564142011e-05,8.612294550403021e-06,3.5778637084149523e-06,5.202487955102697e-06,4.875797685599537e-07,0.0
69,adam,5e-05,1.1900678810123945e-05,5.322089449807194e-06,2.6920048277307138e-06,3.352619492106319e-06,5.339651113084233e-07,0.0,1.6497941032866947e-05,7.563273811683757e-06,2.5501171876385342e-06,6.150267381599406e-06,2.3428241036071995e-07,0.0
70,adam,5e-05,1.2273603369110442e-05,5.010491768477968e-06,2.6127729020190023e-06,3.517157477882205e-06,1.1331811674969527e-06,0.0,1.610437175258994e-05,7.491171345463954e-06,2.8450876925489865e-06,5.233937372395303e-06,5.341744326869957e-07,0.0
71,adam,5e-05,1.3563307523630405e-05,5.483365215233847e-06,2.9782076106289063e-06,4.2883308550598385e-06,8.134038196997622e-07,0.0,2.28336011787178e-05,1.0953200217045378e-05,5.656923349306453e-06,5.433964815892978e-06,7.895114890743571e-07,0.0
72,adam,5e-05,1.3077577716016787e-05,5.40959294200533e-06,2.661330321578654e-06,3.4632457466195486e-06,1.543408662503983e-06,0.0,1.8352291590417735e-05,7.82348979555536e-06,2.367511569900671e-06,7.599229775223648e-06,5.62060620268312e-07,0.0
73,adam,5e-05,1.2112481734162891e-05,5.23226132163328e-06,2.7087583851151443e-06,3.56980399013241e-06,6.016580760799462e-07,0.0,1.608665297681e-05,6.917263362993253e-06,2.3033187517285114e-06,6.159196800581412e-06,7.06873095168703e-07,0.0
74,adam,5e-05,1.2660929256988253e-05,5.57585069203462e-06,2.7410512477636364e-06,3.7074916351215623e-06,6.365357429720981e-07,0.0,1.7583288354217075e-05,7.999966328497976e-06,2.8129479687777348e-06,6.269517598411767e-06,5.008560606256651e-07,0.0
75,adam,5e-05,1.3369114625790629e-05,5.777402549707432e-06,2.57771580526611e-06,3.847530471888141e-06,1.166465754266259e-06,0.0,2.308653165528085e-05,9.499569387116935e-06,3.2416126032330794e-06,7.5070465754834e-06,2.838301497831708e-06,0.0
76,adam,5e-05,1.2759281393271752e-05,5.4881586023954685e-06,2.5994064932843136e-06,3.6519357233070573e-06,1.0197805724803604e-06,0.0,1.8100627130479552e-05,8.608773896412458e-06,3.0228291052480927e-06,5.751279786636587e-06,7.177437737482251e-07,0.0
77,adam,5e-05,1.409471430619421e-05,6.1567601704386074e-06,2.7557772040064076e-06,3.960008912361532e-06,1.222168013522865e-06,0.0,2.3189028070191853e-05,1.1576232282095589e-05,5.071641680842731e-06,5.860378223587759e-06,6.807741215197893e-07,0.0
78,adam,5e-05,1.772914380299404e-05,7.43428560261756e-06,3.5262854779945867e-06,4.806526342849432e-06,1.9620462969741644e-06,0.0,1.7764266885933466e-05,8.615147635282483e-06,3.040215460714535e-06,5.117049568070797e-06,9.918555861077039e-07,0.0
79,adam,5e-05,1.3124979424959286e-05,5.440198445660552e-06,2.6635315775603797e-06,3.96366301665405e-06,1.0575863219249488e-06,0.0,1.730124859022908e-05,8.231355423049536e-06,3.3955845992750255e-06,5.322613105818164e-06,3.516948368087469e-07,0.0
80,adam,5e-05,1.1713555934312309e-05,5.022519222360902e-06,2.6270282173105182e-06,3.5098317669378176e-06,5.541768413899089e-07,0.0,1.7991422282648273e-05,8.300258741655853e-06,3.2913803806877695e-06,5.834903276991099e-06,5.648796559398761e-07,0.0
81,adam,5e-05,1.2547505017816244e-05,5.307025178678616e-06,2.5463947232700387e-06,3.779431752927993e-06,9.146532018832427e-07,0.0,1.91996823559748e-05,8.517336937075015e-06,3.888328592438484e-06,4.505534889176488e-06,2.288480800416437e-06,0.0
82,adam,5e-05,1.2821113910283043e-05,5.558365605865551e-06,2.7634256754921924e-06,3.720718344387327e-06,7.786043889764765e-07,0.0,1.8321959942113608e-05,9.07994126464473e-06,3.464296241872944e-06,5.336453796189744e-06,4.4126826992396673e-07,0.0
83,adam,5e-05,1.1933351526663283e-05,5.236067701324438e-06,2.6919687420847784e-06,3.369095125774962e-06,6.362197923625076e-07,0.0,1.8312310203327797e-05,8.279630492324941e-06,3.4382064768578857e-06,5.621632226393558e-06,9.728403256303864e-07,0.0
84,adam,5e-05,1.2367538335046636e-05,5.388699982797825e-06,2.469034280505776e-06,3.8060006772866473e-06,7.038034691197661e-07,0.0,2.042672895186115e-05,9.259199032385368e-06,4.260642526787706e-06,6.5377471401006915e-06,3.6913985468345345e-07,0.0
85,adam,5e-05,1.3084806076741578e-05,5.120209939449855e-06,2.819139960289855e-06,3.876869670190019e-06,1.2685864515474134e-06,0.0,1.7219961591763422e-05,8.04374667495722e-06,3.1061401841725456e-06,5.571203928411705e-06,4.988714863429777e-07,0.0
86,adam,5e-05,1.3085114294390512e-05,5.1007755462792595e-06,2.7673625415070364e-06,4.345933882451925e-06,8.710422702412711e-07,0.0,2.02440787688829e-05,9.70247492659837e-06,3.2138225378730567e-06,6.9742036430398e-06,3.5357803085389605e-07,0.0
87,adam,5e-05,1.6796915516019837e-05,7.944620825756352e-06,3.013478258181417e-06,4.548502836711585e-06,1.2903137451483792e-06,0.0,2.3110500478651375e-05,1.271191104024183e-05,4.65835046270513e-06,4.59488865089952e-06,1.1453506658654078e-06,0.0
88,adam,5e-05,1.2971895846440309e-05,5.919181769549762e-06,2.6468862301953777e-06,3.675073580707826e-06,7.307542750101083e-07,0.0,2.1210969862295315e-05,9.299635166826192e-06,3.851489964290522e-06,6.520702754642116e-06,1.5391424312838353e-06,0.0
89,adam,5e-05,1.4277484917820114e-05,6.408350845814557e-06,2.661771380492913e-06,3.955894080429553e-06,1.2514686151433355e-06,0.0,2.1997029762133025e-05,9.43322720559081e-06,5.062841864855727e-06,6.594593742192956e-06,9.063675747711386e-07,0.0
90,adam,5e-05,1.3379761813190444e-05,5.5069672235110795e-06,2.901898195461168e-06,4.00000510039501e-06,9.708911584817138e-07,0.0,1.7689610103843734e-05,8.431878995907027e-06,2.302753728145035e-06,5.968020559521392e-06,9.86956138149253e-07,0.0
91,adam,5e-05,1.360637367132955e-05,6.0521667133827345e-06,2.6379052127277458e-06,4.144006280757677e-06,7.722953839332163e-07,0.0,1.7261552784475498e-05,7.535433269367786e-06,2.8939616640855093e-06,5.591541594185401e-06,1.2406162568368018e-06,0.0
92,adam,5e-05,1.2077932499071014e-05,5.081278242782684e-06,2.573161968001163e-06,3.815525180095666e-06,6.079671210489409e-07,0.0,1.773696749296505e-05,7.2179664130089805e-06,4.071137936989544e-06,6.08587379247183e-06,3.619871051796508e-07,0.0
93,adam,5e-05,1.3613405047051077e-05,6.1940225689810065e-06,2.7382666619107313e-06,3.6288215416413822e-06,1.0522942695554356e-06,0.0,1.9959583369200118e-05,8.073648132267408e-06,3.611619376897579e-06,5.779827461083187e-06,2.494487944204593e-06,0.0
94,adam,5e-05,1.4434643509005019e-05,6.571374450729872e-06,2.340188873837351e-06,4.151037620388143e-06,1.372042542395017e-06,0.0,1.931600672833156e-05,9.145166586677078e-06,3.269415401518927e-06,6.490098257927457e-06,4.1132605588245497e-07,0.0
95,adam,5e-05,1.3279929445406962e-05,5.602228763261034e-06,2.5565343142781264e-06,3.929480333190729e-06,1.191686062196505e-06,0.0,2.0924162527080625e-05,9.589229193807114e-06,4.595878181135049e-06,4.806013294000877e-06,1.9330425402586116e-06,0.0
96,adam,5e-05,1.3508302540036052e-05,5.577369786387574e-06,2.737673390757187e-06,3.8704546323205005e-06,1.3228047977903887e-06,0.0,1.7528465832583606e-05,8.348797564394772e-06,3.8560460779990535e-06,4.719418939203024e-06,6.042030236130813e-07,0.0
97,adam,5e-05,1.3041573722494787e-05,5.931093692341829e-06,2.605568180938246e-06,3.8564996812633504e-06,6.484120768214375e-07,0.0,1.6445574146928266e-05,7.415438176394673e-06,3.175582378389663e-06,5.54958887732937e-06,3.0496525482703873e-07,0.0
98,adam,5e-05,1.2356293573536696e-05,5.499204069074328e-06,2.5729031581105363e-06,3.649790512229499e-06,6.343958494610325e-07,0.0,1.7459396985941567e-05,8.11118479759898e-06,4.17821729570278e-06,4.28137445851462e-06,8.886214004633075e-07,0.0
99,adam,5e-05,1.3476082982840977e-05,5.7714499321480705e-06,2.815386438662302e-06,3.6956746823437115e-06,1.1935719493114073e-06,0.0,1.945367330336012e-05,9.569712347001769e-06,4.639084181690123e-06,4.595350674208021e-06,6.495258730865316e-07,0.0
100,adam,5e-05,1.3909774925051598e-05,6.298103727882364e-06,2.590663656057644e-06,4.135097246006129e-06,8.859104013485165e-07,0.0,1.975982559088152e-05,1.018790226225974e-05,4.462172455532709e-06,4.8569154387223534e-06,2.528337859075691e-07,0.0
101,adam,5e-05,1.4100365689724669e-05,6.115449845570506e-06,2.795715659878682e-06,3.8697167650435215e-06,1.3194834420144414e-06,0.0,2.0525834770523943e-05,9.771926670509856e-06,4.305478341848357e-06,5.236801371211186e-06,1.2116289553887327e-06,0.0
102,adam,5e-05,1.2595800492976744e-05,5.5740277867511074e-06,2.4620582251603964e-06,3.9398373592987244e-06,6.198771565041603e-07,0.0,1.806655927794054e-05,8.489937499689404e-06,4.004072252428159e-06,4.834202627534978e-06,7.383457614196232e-07,0.0
103,adam,5e-05,1.3372143892786605e-05,5.6747513799419966e-06,2.6355847642171572e-06,3.9767501581832586e-06,1.0850576811229813e-06,0.0,1.736157719278708e-05,8.819417416816577e-06,2.800661377477809e-06,5.353481810743688e-06,3.8801553614575823e-07,0.0
104,adam,5e-05,1.2313806622380128e-05,5.28793886212317e-06,2.5436894601524627e-06,3.756084843478184e-06,7.260935100861937e-07,0.0,1.785242602636572e-05,8.092228199529927e-06,3.27448537973396e-06,5.548027729673777e-06,9.376836942465161e-07,0.0
