parameter,theta_hat,std_error_full_hessian,ci95_low_full_hessian,ci95_high_full_hessian,near_bound_1pct
rho,-0.8979904981579869,0.7558055613968405,-2.379369398495794,0.5833884021798204,True
kappa,2.706600085574817,2.589707262090398,-2.369226148122363,7.7824263192719965,False
gamma,0.7984173303165778,0.7830675775835388,-0.7363951217471583,2.3332297823803136,True
bar_v,0.39244537654125444,0.05549296317641789,0.2836791687154754,0.5012115843670335,False
v0,0.3424750972161681,0.01751217502394516,0.30815123416923557,0.3767989602631006,False
