parameter,theta_hat,lower,upper,rel_dist_to_nearest_bound,near_bound_1pct
rho,-0.8979904981579869,-0.9,0.0,0.0022327798244589944,True
kappa,2.706600085574817,0.0,3.0,0.09779997147506103,False
gamma,0.7984173303165778,0.01,0.8,0.0020033793461041063,True
bar_v,0.39244537654125444,0.01,0.5,0.21949923154846032,False
v0,0.3424750972161681,0.05,0.5,0.3500553395196265,False
