parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.391189447503324,0.058810552496675994,0.13069011665928
kappa,1.0,1.002529435684878,0.0025294356848779564,0.0025294356848779564
gamma,0.35,0.3996043096160283,0.0496043096160283,0.141726598902938
bar_v,0.2,0.20260730022398413,0.002607300223984116,0.01303650111992058
v0,0.22,0.21989620875984606,0.00010379124015394425,0.0004717783643361102
