greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,1.4209718793793325e-17,3.769578065751302e-09,3.584538548403733e-09,4.868899824983508e-09,5.178016067031166e-09,5.29802046678185e-09
gamma,2048,3.4626645849252303e-15,5.884440997176563e-08,4.6860426316112425e-08,9.48869117611828e-08,1.5565965561736838e-07,2.4490334565863137e-07
vega,2048,6.09339018808151e-19,7.806017030522999e-10,5.977631310809728e-10,1.3320167885355614e-09,2.424457096195098e-09,2.8924773409766402e-09
theta,2048,1.3112178553123419e-22,1.1450842131967159e-11,8.51419565547299e-12,1.9055092226327728e-11,3.3941873617271405e-11,4.267102643451537e-11
rho,2048,1.4133755784628534e-12,1.1888547339615776e-06,1.181722410916621e-06,1.3690621572404887e-06,1.4639230407399729e-06,1.4868421899655315e-06
