epoch,optimizer,lr,train_total,train_pde,train_term,train_low,train_no_arbitrage,val_total,val_pde,val_term,val_low,val_no_arbitrage
1,adam,0.001,7.2442180551588535,1.6268141828477383,2.2640500071792485e-10,5.61740393564105,0.0,2.4428746700286865,2.09665584564209,5.992242257946145e-10,0.3462188243865967,0.0
2,adam,0.001,1.842774773016572,1.459936005063355,2.0483103657331093e-10,0.3828387688845396,0.0,2.373960494995117,2.090229034423828,5.992242257946145e-10,0.2837315797805786,0.0
3,adam,0.001,1.5440931245684624,1.4556228388100863,2.0587813695215595e-10,0.08847027756564785,0.0,2.0816802978515625,2.080402135848999,5.992242257946145e-10,0.0012781022815033793,0.0
4,adam,0.001,1.5257375882938504,1.5104328971356153,2.0475958918724424e-10,0.015304697575629689,0.0,2.086092472076416,2.0796377658843994,5.992242257946145e-10,0.006454698741436005,0.0
5,adam,0.001,1.4828228172846138,1.4793782455381006,2.047267541214859e-10,0.003444556554313749,0.0,2.0811100006103516,2.078711748123169,5.992242257946145e-10,0.002398355631157756,0.0
6,adam,0.001,1.4524595430120826,1.4511315273121,2.0491986807135788e-10,0.0013280119164846838,0.0,2.0790114402770996,2.0781569480895996,5.992242257946145e-10,0.0008545503951609135,0.0
7,adam,0.001,1.4787222985178232,1.4778882917016745,2.0472984198127302e-10,0.0008340094063896686,0.0,2.0792174339294434,2.0784645080566406,5.992242257946145e-10,0.0007529589347541332,0.0
8,adam,0.001,1.442954066209495,1.4421786123421043,2.0472838030288272e-10,0.0007754428806947544,0.0,2.0792453289031982,2.078591823577881,5.992242257946145e-10,0.0006535318098030984,0.0
9,adam,0.001,1.452305655926466,1.4515984877943993,2.047263258108058e-10,0.0007071848631312605,0.0,2.080845355987549,2.0801596641540527,5.992242257946145e-10,0.00068570178700611,0.0
10,adam,0.001,1.5381466038525105,1.5374434115365148,2.0472548315923075e-10,0.0007031871973595116,0.0,2.077270269393921,2.076624631881714,5.992242257946145e-10,0.0006456329138018191,0.0
11,adam,0.001,1.444106920156628,1.4434049054980278,2.201755514453792e-10,0.0007020262601145077,0.0,2.080430269241333,2.079810619354248,5.992242257946145e-10,0.0006195904570631683,0.0
12,adam,0.001,1.4723932719789445,1.4717336688190699,2.047253818865538e-10,0.0006595917657250538,0.0,2.076033115386963,2.075441360473633,5.992242257946145e-10,0.0005917561356909573,0.0
13,adam,0.001,1.5071046422235668,1.506460047326982,2.0512008496467657e-10,0.0006445933213399258,0.0,2.075572967529297,2.0749809741973877,5.992242257946145e-10,0.0005919961258769035,0.0
14,adam,0.001,1.4912343197502196,1.4905778472311795,2.049944090972024e-10,0.0006564609175256919,0.0,2.07765531539917,2.0770485401153564,5.992242257946145e-10,0.0006067365757189691,0.0
15,adam,0.001,1.4438366815447807,1.4431993030011654,2.071873321072851e-10,0.0006373620708473027,0.0,2.076375722885132,2.075774908065796,5.992242257946145e-10,0.0006007542251609266,0.0
16,adam,0.001,1.470395271666348,1.4697446348145604,2.129019330729806e-10,0.0006506399586214684,0.0,2.0744717121124268,2.0738911628723145,5.992242257946145e-10,0.0005805094260722399,0.0
17,adam,0.001,1.4537662556394935,1.453102182596922,2.2206901336909068e-10,0.0006640651445195545,0.0,2.0748772621154785,2.074188232421875,5.992242257946145e-10,0.0006890275981277227,0.0
18,adam,0.001,1.4604891072958708,1.459674596786499,2.2294087132183752e-10,0.0008145300162141211,0.0,2.075186252593994,2.074268341064453,5.992242257946145e-10,0.0009178277105093002,0.0
19,adam,0.001,1.4775397288613021,1.4768167985603213,2.0487763326883188e-10,0.000722933305951301,0.0,2.0762195587158203,2.0756378173828125,5.992242257946145e-10,0.000581638771109283,0.0
