tau,moneyness,v,rho,kappa,gamma,bar_v,r,price_pred,price_ref,price_error,delta_pred,delta_ref,delta_error,gamma_pred,gamma_ref,gamma_error,vega_pred,vega_ref,vega_error,theta_pred,theta_ref,theta_error,rho_pred,rho_ref,rho_error,pde_residual
0.005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19910469052585003,0.19992298377794215,-0.0008182932520921227,-0.9870566044803996,-1.0014130474752838,0.014356442994884255,0.04711356749909843,1.6895593756944853,-1.642445808195387,-0.010895584676556741,0.0025929129717786412,-0.013488497648335382,0.02852637650051987,-0.0097782400993511,0.03830461659987097,0.017591224287428615,-0.005005267108790855,0.02259649139621947,-0.020333356804786023
0.016083333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19894796741163484,0.1998391839428052,-0.0008912165311703579,-0.9863938022090398,-0.9999992319108197,0.013605429701779914,0.04302219936646182,-0.0011713060012163608,0.04419350536767819,-0.007847478410419703,-4.95248796814914e-06,-0.007842525922451554,0.0021055287154279206,0.010007352446238557,-0.007901823730810636,0.02041882943316902,-0.01608073699233266,0.03649956642550168,0.006337171149118498
0.02716666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1989995747111038,0.1997283556342644,-0.000728780923160588,-0.9847845912234566,-0.9999998008479136,0.015215209624456993,0.044224104678722974,6.4401708788184865e-06,0.04421766450784415,-0.007940357653477703,7.474417472315215e-08,-0.007940432397652426,-0.008772708940774717,0.009997187102720026,-0.018769896043494744,0.017339641406310828,-0.02715928266649216,0.04449892407280299,0.017313687025152673
0.03825,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1990918039755669,0.19961755855245833,-0.0005257545768914407,-0.9832094283031313,-0.9999998558120763,0.016790427508944994,0.04712921515291791,-8.769018375931533e-07,0.047130092054755504,-0.009910806587862609,-1.6993669438773122e-08,-0.00991078959419317,-0.006112263710634488,0.00999619255249467,-0.016108456263129158,0.009201530200298198,-0.038235367202481066,0.04743689740277926,0.014691124540997682
0.04933333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19910956559812779,0.19950677363025204,-0.0003972080321242577,-0.9823412769250479,-0.999999848322029,0.017658571396981126,0.04730640937455538,-6.875414608397517e-07,0.04730709691601622,-0.012061651326314189,-9.629837198754311e-09,-0.01206164169647699,0.0034903968782878437,0.009995076201955624,-0.006504679323667781,-0.0020804640126637045,-0.04930899484620185,0.047228530833538146,0.005171095396085253
0.06041666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19901106298905044,0.19939600101331156,-0.0003849380242611222,-0.9825530103892385,-0.9999998461730661,0.017446835783827663,0.04494537696655709,-2.8974773985920355e-07,0.04494566671429695,-0.013120680561191313,-8.658558481028776e-09,-0.013120671902632832,0.01411135463751656,0.009993964809727826,0.004117389827788734,-0.014739495934626428,-0.060380167626252465,0.045640671691626035,-0.005288129570200735
0.07150000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19880472708685457,0.1992852409400816,-0.00048051385322703255,-0.9838464180318304,-0.9999997931180685,0.016153375086238153,0.04635667275372427,9.413060955347323e-06,0.04634725969276893,-0.012567269183363818,1.1202963903803135e-07,-0.012567381213002856,0.022648911585375513,0.009992794693365434,0.012656116892010079,-0.027694180811841027,-0.07144888289356935,0.043754702081728325,-0.01364200945747438
0.08258333333333334,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19852029349842187,0.19917449509822127,-0.0006542015997993977,-0.9858852298538645,-0.9999994361245338,0.014114206270669283,0.05779043227981581,6.402510160739144e-05,0.05772640717820842,-0.010439808640127087,9.216015498844763e-07,-0.01044073024167697,0.028168998849890853,0.009991331340970475,0.01817766750892038,-0.040419601731816766,-0.08251512313348897,0.0420955214016722,-0.01902788230761538
0.09366666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19819076499793414,0.19906376975598072,-0.0008730047580465805,-0.9882073384038018,-0.9999979675985052,0.011790629194703417,0.08121122656115767,0.00026107333315065345,0.08095015322800703,-0.007027820963032174,4.235292269808076e-06,-0.007032056255301982,0.030875118859482034,0.009988948921604587,0.020886169937877445,-0.05270473299340306,-0.09357882080585825,0.04087408781245519,-0.02168016268270967
0.10475000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1978438001979401,0.198953081002184,-0.0011092808042439117,-0.990418967778439,-0.9999935983706731,0.009574630592234179,0.11523896141714772,0.0007832037853020141,0.1144557576318457,-0.002669544249440238,1.4032347736427087e-05,-0.002683576597176665,0.0314431878587234,0.009984490546756946,0.02145869731196646,-0.06450376330818311,-0.10463979877844122,0.04013603547025811,-0.022271775119279948
0.11583333333333334,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1974988831311645,0.19884246064788502,-0.0013435775167205122,-0.9922639873854107,-0.999983254533211,0.007719267147800357,0.1574441644084073,0.0018964651762345408,0.15554769923217276,0.0023373468252120126,3.706607159132021e-05,0.0023002807536206924,0.030623594638600884,0.009976294884814968,0.020647299753785917,-0.07585254203556563,-0.11569769994512426,0.03984515790955863,-0.02153961843813397
0.12691666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19716777739204402,0.198731960951273,-0.0015641835592289655,-0.9936096999301394,-0.99996252100264,0.006352821072500681,0.20560774863566697,0.003924850847237871,0.2016828977884291,0.007760621406717755,8.28997223854067e-05,0.007677721684332348,0.029039650168494663,0.009962370795029768,0.019077279373464893,-0.08681789823072339,-0.12675192600986712,0.03993402777914373,-0.020095518134835896
0.138,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19685634897992016,0.19862165697159806,-0.0017653079916779002,-0.9944098129996097,-0.9999258271776027,0.005516014177992967,0.25801066311827703,0.007213467280677843,0.2507971958375992,0.013430396007875635,0.000163400977427966,0.013266995030447669,0.027131303456155994,0.009940635110663442,0.01719066834549255,-0.09747000096667124,-0.1378015999824879,0.04033159901581665,-0.01837217723550192
0.14908333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1965665290492911,0.19851164632271545,-0.0019451172734243627,-0.9946721571265135,-0.9998667893734432,0.005194632246929731,0.3133510025177907,0.012092834197922397,0.3012581683198683,0.019226931904742804,0.00029190597406771046,0.018935025930675094,0.025175042430990693,0.009909133481494685,0.015265908949496008,-0.10787062718108775,-0.14884555701855087,0.04097492983746312,-0.016641649382514834
0.16016666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19629789438835596,0.1984020467930261,-0.0021041524046701288,-0.9944360805324368,-0.9997786098103296,0.005342529277892805,0.3706167604233788,0.018851676481774327,0.3517650839416045,0.025067608995763845,0.00048228769378433345,0.02458532130197951,0.023326508945448878,0.009866200416274734,0.013460308529174144,-0.11807014515310317,-0.15988236036504658,0.04181221521194341,-0.015056369517747624
0.17125,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19604877846197377,0.1982929925867849,-0.002244214124811128,-0.9937574059664442,-0.9996544550394648,0.005897049073020577,0.4290037750812556,0.02772040774565454,0.40128336733560105,0.030896034360891445,0.0007481023952274068,0.030147931965664038,0.02166026825531672,0.009810548438592099,0.01184971981672462,-0.12810819280105426,-0.17091033532089364,0.04280214251983938,-0.013688042474986421
0.18233333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19581699504549357,0.19818462993004338,-0.002367634884549802,-0.9926983730167143,-0.9994877695801032,0.00678939656338895,0.4878754708276521,0.038864279719528216,0.4490111911081239,0.036673857845251026,0.0011019082087728588,0.03557194963647817,0.02019966566527915,0.009741296139005286,0.010458369526273863,-0.13801545486480796,-0.18192761351332898,0.04391215864852102,-0.012557198425019827
0.19341666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1956002845409727,0.19807711262565486,-0.0024768280846821644,-0.9913208902801592,-0.9992725082012426,0.007951617921083343,0.5467429631387904,0.052383815873283446,0.494359147265507,0.04237496592117403,0.0015547855600080707,0.04082018036116596,0.018937371323734055,0.00965795233095965,0.009279418992774405,-0.14781548770092726,-0.19293218096935097,0.04511669326842371,-0.011653728481946483
0.20450000000000002,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19539657295276985,0.197970597946733,-0.002574024993963142,-0.9896821467678946,-0.9990032883873927,0.009321141619498152,0.605249361781257,0.0683199821263627,0.5369293796548943,0.047981497817045624,0.002116048423669456,0.04586544939337617,0.017849055809007374,0.00956037344967077,0.008288682359336604,-0.15752627844574862,-0.2039219252602843,0.046395646814535674,-0.010950631608538952
0.21558333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1952041069057131,0.19786524308496933,-0.0026611361792562294,-0.9878320146926356,-0.9986754740436432,0.010843459351007612,0.6631506381038025,0.08666194758182932,0.5764886905219732,0.05348116369280823,0.002793115229777987,0.050688048463030246,0.016902394702478958,0.009448707982305992,0.007453686720172966,-0.16716150676306896,-0.21489467874512833,0.04773317198205937,-0.010413062274550909
0.22666666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1950215073401064,0.1977612022401215,-0.002739694900015105,-0.9858118411517348,-0.9982852049964316,0.012473363844696772,0.7202917318041309,0.10735585611574194,0.6129358756883889,0.058865457140790736,0.003591501969325589,0.05527395517146515,0.016062944582877377,0.009323337629754298,0.006739606953123079,-0.17673155550015823,-0.22584825634711383,0.0491167008469556,-0.010004187977354712
0.23775000000000002,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19484777061858055,0.19765862435023662,-0.002810853731656071,-0.9836542915340567,-0.9978293867893506,0.014175095255293924,0.7765799931649111,0.1303135646783602,0.6462664284865509,0.06412846890363323,0.004514901708383395,0.059613567195249836,0.015297887778661371,0.009184821277472725,0.0061130665011886465,-0.18624432110464986,-0.23678048730660323,0.050536166201953364,-0.009688863947702582
0.24883333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19468223686456082,0.19755765141098214,-0.0028754145464213177,-0.9813839406410976,-0.9973056534549205,0.01592171281382293,0.8319592074031348,0.15542073040197923,0.6765384770011555,0.06926610119523485,0.0055653200780979295,0.06370078111713692,0.014578286191789202,0.009033845089550338,0.005544441102238864,-0.1957058609099036,-0.24768924100719228,0.05198338009728867,-0.009435793529705088
0.2599166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19452453954131133,0.1974584173070082,-0.0029338777656968684,-0.9790183394344963,-0.9967123134942782,0.017693974059781903,0.8863871579498445,0.1825439351314282,0.7038432228184163,0.0742755489033052,0.006743242771141356,0.06753230613216385,0.013880271517091695,0.008871180132545512,0.005009091384546183,-0.20512090193821586,-0.2585724473509569,0.05345154541274105,-0.009218631346978569
0.271,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19437454629279788,0.19736104706994717,-0.0029865007771492924,-0.9765693255796741,-0.9960482868438632,0.01947896126418902,0.9398186826604134,0.21153673944330187,0.7282819432171115,0.0791549592374663,0.008047817257545442,0.07110714197992085,0.013185475069995102,0.008697647727025833,0.004487827342969269,-0.21449322915522961,-0.26942811234370523,0.054934883188475614,-0.009016354805281672
0.28208333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1942322981549981,0.19726565647969985,-0.0030333583247017515,-0.9740443936193861,-0.9953130384489048,0.021268644829518735,0.9921949957284147,0.2422446829702647,0.74995031275815,0.08390321083346165,0.009477036219057433,0.07442617461440422,0.012480925353742013,0.008514092028748366,0.003966833324993648,-0.22382596910109417,-0.28025432960861824,0.05642836050752406,-0.008813143632766193
0.2931666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1940979520105799,0.19717235193336902,-0.0030743999227891283,-0.9714479907994771,-0.9945065123011619,0.02305852150168486,1.043439019628778,0.2745093170002004,0.7689297026285775,0.08851977217449161,0.011027914416815887,0.07749185775767573,0.01175859152690514,0.008321358994077484,0.0034372325328276554,-0.23312178519743904,-0.2910492885268318,0.05792750332939278,-0.008597946911642479
0.30425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1939717294014559,0.1970812305164138,-0.003109501114957891,-0.9687826520582633,-0.9936290684336989,0.02484641637543561,1.0934557526512636,0.30817138754485107,0.7852843651064125,0.09300461141432641,0.012696653902836863,0.08030795751148954,0.011014713332342298,0.008120280759036638,0.0028944325733056605,-0.24238300181876427,-0.3018112796413813,0.05942827782261706,-0.008363871716542633
0.31533333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1938538734332076,0.19699238022141707,-0.003138506788209483,-0.9660499285873468,-0.9926814243517004,0.02663149576435353,1.1421363185779294,0.3430732961823253,0.7990630223956041,0.09735813794396793,0.014478794808394535,0.0828793431355734,0.010249026833629543,0.007911664468195516,0.0023373623654340276,-0.25161167428123943,-0.31253869787960925,0.06092702359836982,-0.008107491735849187
0.3264166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19374461444723545,0.19690588027014055,-0.0031612658229051016,-0.9632510965922066,-0.9916646016528913,0.02841350506068463,1.1893642590238653,0.3790609616014837,0.8103032974223816,0.10158116194164604,0.01636935056439326,0.08521181137725278,0.009463968154061505,0.007696284667781042,0.0017676834862804629,-0.2608096208569926,-0.32323004406313677,0.06242042320614416,-0.0078281455660946
0.3375,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19364414435984814,0.19682180150377615,-0.003177657143928009,-0.9603876559739122,-0.9905798780913909,0.03019222211747874,1.235022754376679,0.41598519331260775,0.8190375610640712,0.10567486256646358,0.018362927493509984,0.0873119350729536,0.008663913745082906,0.007474878488234752,0.0011890352568481536,-0.26997843088947715,-0.3338839250922001,0.06390549420272296,-0.007527271456174635
0.34858333333333336,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19355259903373281,0.1967402068142068,-0.003187607780473972,-0.9574616433429908,-0.9894287450096555,0.03196710166666472,1.279001709616094,0.4537026744999526,0.8252990351161413,0.10964075884410651,0.02045382940096574,0.08918692944314077,0.00785449557975561,0.007248142961410816,0.000606352618344793,-0.2791194604289925,-0.3444990531170114,0.0653795926880189,-0.007207807350534459
0.3596666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19347004771636025,0.1966611515957143,-0.0031911038793540347,-0.9544757914645471,-0.988212869858881,0.03373707839433393,1.3212039423396242,0.49207663592919815,0.8291273064104261,0.1134806798679097,0.02263614819264803,0.09084453167526167,0.007042013198756704,0.007016733933405475,2.5279265351229284e-05,-0.2882338239402555,-0.3550742439446539,0.06684042000439844,-0.006873671490523795
0.37075,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19339648841128204,0.1965846842019432,-0.0031881957906611524,-0.9514335695799737,-0.9869340634130718,0.03550049383309806,1.3615500074688371,0.530977288564463,0.8305727189043741,0.11719673282458905,0.024903841752910272,0.09229289107167878,0.006232951696846839,0.00678126613879102,-0.0005483144419441803,-0.2973223878998953,-0.36560841487618756,0.06828602697629227,-0.0065293289445310125
0.38183333333333336,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19333184800289002,0.19651084639722982,-0.0031789983943397992,-0.9483391376783245,-0.9855942512283118,0.03725511354998734,1.3999814520565215,0.5702820697862823,0.8296993822702392,0.12079126864900099,0.027250800384739038,0.09354046826426195,0.005433605284359663,0.006542314093000146,-0.0011087088086404835,-0.3063857697329261,-0.3761005821245506,0.06971481239162453,-0.006179442607412861
0.3929166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19327598599767032,0.19643967379476757,-0.0031636877970972477,-0.945197244112236,-0.9841954488863096,0.038998204774073564,1.4364624973417277,0.6098757470995508,0.8265867502421769,0.12426684591471547,0.029670903099609625,0.09459594281510585,0.0046497995831799345,0.006300413536278391,-0.0016506139530984565,-0.31542434364936234,-0.38654985792845753,0.07112551427909519,-0.0058286028134495755
0.404,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1932287008450243,0.19637119627667754,-0.003142495431653236,-0.9420130910944075,-0.9827397405750229,0.04072664948061544,1.4709802895316952,0.6496504139927062,0.8213298755389891,0.12762619397995095,0.03215806497694562,0.09546812900300533,0.003886701818233473,0.006056063225816253,-0.0021693614075827803,-0.3244382535576814,-0.3969554474496253,0.07251719389194389,-0.005481127170275313
0.41508333333333336,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19318973793373373,0.19630543839300973,-0.003115700459276005,-0.938792187398108,-0.9812292605886247,0.042437073190516705,1.5035439499356287,0.6895054050352556,0.8140385449003731,0.1308721765334521,0.03470627671718707,0.09616589981626503,0.0031487060175218605,0.00580972692380247,-0.002661020906280609,-0.3334274323112723,-0.4073166455190944,0.0738892132078221,-0.005140921044205672
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19315879850744655,0.1962424197381577,-0.0030836212307111532,-0.9355402025779506,-0.9796661773667208,0.04412597478877023,1.534182697858212,0.729347151191849,0.804835546666363,0.1340077566155221,0.03730963740376858,0.09669811921175353,0.002439379738037631,0.005561835469862015,-0.0031224557318243838,-0.3423916260115813,-0.4176328332819722,0.07524120727039091,-0.0048113888970073545
