parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.45178618592615516,0.0017861859261551483,0.003969302058122552
kappa,1.0,0.9916424907160697,0.008357509283930309,0.008357509283930309
gamma,0.35,0.34759541696503193,0.002404583034968044,0.006870237242765841
bar_v,0.2,0.200030791802354,3.079180235399104e-05,0.0001539590117699552
v0,0.22,0.2200803003963199,8.030039631989894e-05,0.0003650018014540861
