parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.4011871251745117,0.048812874825488295,0.10847305516775177
kappa,1.0,0.8652908649389254,0.13470913506107463,0.13470913506107463
gamma,0.35,0.37474488346135826,0.02474488346135828,0.07069966703245223
bar_v,0.2,0.20307381966398808,0.0030738196639880644,0.015369098319940322
v0,0.22,0.21957147925503961,0.0004285207449603867,0.0019478215680017578
