parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.5247120715941761,0.07471207159417609,0.16602682576483574
kappa,1.0,1.0577672783527667,0.05776727835276674,0.05776727835276674
gamma,0.35,0.29964404702077874,0.05035595297922124,0.14387415136920356
bar_v,0.2,0.19758728638776143,0.002412713612238576,0.01206356806119288
v0,0.22,0.21972077389491673,0.00027922610508326895,0.0012692095685603135
