epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,dynamic_refresh,dynamic_refresh_count
1,adam,0.001,330.76010479277465,330.75970413017785,0.0,0.0,0.0,0.0,1.8448784564060037e-17,0.00039970583700782436,0.0,0.0,0.0,0.0,22.41006088256836,22.409488677978516,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.0005729385884478688,0.0,0.0,0.0,0.0,0,0
2,adam,0.001,15.737519413232803,15.736640274524689,0.0,0.0,0.0,0.0,1.8474805287986695e-17,0.0008789902130956762,0.0,0.0,0.0,0.0,3.4579076766967773,3.4565508365631104,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.0013569279108196497,0.0,0.0,0.0,0.0,0,0
3,adam,0.001,2.129937533289194,2.128275655210018,0.0,0.0,0.0,0.0,1.870899294069995e-17,0.0016619063098914921,0.0,0.0,0.0,0.0,1.0405828952789307,1.038988471031189,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.0015943764010444283,0.0,0.0,0.0,0.0,0,0
4,adam,0.001,0.6598363276571035,0.6585995461791754,0.0,0.0,0.0,0.0,1.844878451236125e-17,0.00123678065938293,0.0,0.0,0.0,0.0,0.42904019355773926,0.4282873570919037,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.0007528334390372038,0.0,0.0,0.0,0.0,0,0
5,adam,0.001,0.2755109956488013,0.27487763203680515,0.0,0.0,0.0,0.0,1.8266638307501307e-17,0.0006333620804070961,0.0,0.0,0.0,0.0,0.1579119861125946,0.15740971267223358,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.0005022746627219021,0.0,0.0,0.0,0.0,0,0
6,adam,0.001,0.15117324329912663,0.1507585416547954,0.0,0.0,0.0,0.0,1.8578888648982418e-17,0.0004146994397160597,0.0,0.0,0.0,0.0,0.13520948588848114,0.13488325476646423,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.00032623190782032907,0.0,0.0,0.0,0.0,0,0
7,adam,0.001,0.11855915607884526,0.11822881130501628,0.0,0.0,0.0,0.0,1.8318680324041292e-17,0.0003303449375380296,0.0,0.0,0.0,0.0,0.10241731256246567,0.1021065041422844,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.00031080495682545006,0.0,0.0,0.0,0.0,0,0
8,adam,0.001,0.10166574269533157,0.10134529136121273,0.0,0.0,0.0,0.0,1.8396742702616417e-17,0.0003204509339411743,0.0,0.0,0.0,0.0,0.09271112829446793,0.09239434450864792,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.0003167848044540733,0.0,0.0,0.0,0.0,0,0
9,adam,0.001,0.09161243354901671,0.09128455445170403,0.0,0.0,0.0,0.0,1.8604909683101805e-17,0.00032787932468636427,0.0,0.0,0.0,0.0,0.08489896357059479,0.08458026498556137,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.00031869765371084213,0.0,0.0,0.0,0.0,0,0
10,adam,0.001,0.08282179851084948,0.08249180251732469,0.0,0.0,0.0,0.0,1.8839097542610215e-17,0.00032999576069414616,0.0,0.0,0.0,0.0,0.0796210840344429,0.07930006831884384,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.00032101786928251386,0.0,0.0,0.0,0.0,0,0
11,adam,0.001,0.07603444950655103,0.07569917687214911,0.0,0.0,0.0,0.0,1.8214596833798598e-17,0.00033527300001878757,0.0,0.0,0.0,0.0,0.0739525780081749,0.07362497597932816,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.00032760287285782397,0.0,0.0,0.0,0.0,0,0
12,adam,0.001,0.07070210226811469,0.07036805292591453,0.0,0.0,0.0,0.0,1.8708993095796316e-17,0.00033404924761271104,0.0,0.0,0.0,0.0,0.06902527809143066,0.06869618594646454,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.0003290914464741945,0.0,0.0,0.0,0.0,0,0
13,adam,0.001,0.06542505673132837,0.06507967598736286,0.0,0.0,0.0,0.0,1.8865118111440507e-17,0.0003453808803897118,0.0,0.0,0.0,0.0,0.06342244893312454,0.06309416890144348,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.0003282792749814689,0.0,0.0,0.0,0.0,0,0
14,adam,0.001,0.06103717861697078,0.0607033702544868,0.0,0.0,0.0,0.0,1.8708992837302375e-17,0.00033380808781657834,0.0,0.0,0.0,0.0,0.058525510132312775,0.05820311978459358,0.0,0.0,0.0,0.0,1.7941205033501573e-17,0.00032239063875749707,0.0,0.0,0.0,0.0,0,0
