greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,3.823227927448556e-09,6.183225636711437e-05,1.1694635430196767e-05,2.059708943006333e-05,0.0002124639091260416,0.001334466747477947
gamma,2048,0.00010342318331825637,0.010169718939983365,0.001444896678451296,0.001477796098220096,0.031803693319845304,0.2288979826008699
vega,2048,4.765802622603778e-09,6.903479284102893e-05,2.370935288773026e-05,7.979430812278253e-05,0.0003376349790768306,0.00040450167552841254
theta,2048,6.185516397751446e-14,2.487069841751825e-07,2.5687676496305665e-08,1.8498517129553187e-08,3.7672380200137725e-07,7.551797638782887e-06
rho,2048,7.414429626110555e-20,2.7229450281102916e-10,9.686093766331505e-11,3.162603796902363e-10,1.2706026089083495e-09,1.4043535327690204e-09
