greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,9.145053385851057e-13,9.562977248666367e-07,1.094409080312603e-07,1.3519843616305303e-07,1.5599551007000612e-06,2.7166319233162817e-05
gamma,2048,5.800328752393082e-08,0.0002408387168291901,1.5414714689653055e-05,7.231255507356146e-06,0.00016004752017142345,0.009816121057141913
vega,2048,3.7900924079878473e-16,1.9468159666460125e-08,1.005716141812418e-08,3.000797069718786e-08,8.669779859499232e-08,1.0365790165112188e-07
theta,2048,3.116695366352478e-15,5.5827371121632426e-08,7.812712051974067e-09,4.793527329585711e-09,1.9247401476324416e-07,1.4360432184501448e-06
rho,2048,1.23878875652973e-13,3.519643101977429e-07,3.0629548712178224e-07,5.512046875599808e-07,6.907049366966511e-07,7.29770720520051e-07
