epoch,optimizer,lr,train_total,train_pde,train_dpde,train_term,train_low,train_no_arbitrage,val_total,val_pde,val_dpde,val_term,val_low,val_no_arbitrage
1,adam,0.001,1.349004354327917,0.8118813848122954,0.0,5.104818806804249e-16,0.5371229606680572,0.0,0.39095231890678406,0.21363165974617004,0.0,5.100356481728158e-16,0.177320659160614,0.0
2,adam,0.001,0.19571397732943296,0.13048625644296408,0.0,5.106434968828667e-16,0.06522771844174713,0.0,0.1254122257232666,0.10061471909284592,0.0,5.100356481728158e-16,0.024797504767775536,0.0
3,adam,0.001,0.10526915034279227,0.09457712480798364,0.0,5.085953679076834e-16,0.010692025360185653,0.0,0.09689507633447647,0.09213511645793915,0.0,5.100356481728158e-16,0.0047599575482308865,0.0
4,adam,0.001,0.09319534618407488,0.09087428031489253,0.0,5.08127041405913e-16,0.0023210654107970186,0.0,0.09103116393089294,0.08993193507194519,0.0,5.100356481728158e-16,0.001099225482903421,0.0
5,adam,0.001,0.09090368309989572,0.09007352218031883,0.0,5.078828444541976e-16,0.0008301617253891891,0.0,0.08997722715139389,0.08916183561086655,0.0,5.100356481728158e-16,0.0008153900853358209,0.0
6,adam,0.001,0.09047834109514952,0.08994768187403679,0.0,5.095213436638773e-16,0.0005306587281665998,0.0,0.08952498435974121,0.08914255350828171,0.0,5.100356481728158e-16,0.00038243242306634784,0.0
7,adam,0.001,0.09072863822802901,0.0902980356477201,0.0,5.078150123352458e-16,0.00043060173265985213,0.0,0.0892433375120163,0.08888069540262222,0.0,5.100356481728158e-16,0.00036264496156945825,0.0
8,adam,0.001,0.09139517555013299,0.09096444630995393,0.0,5.099617147696658e-16,0.000430730011430569,0.0,0.08899857848882675,0.0886882096529007,0.0,5.100356481728158e-16,0.0003103672352153808,0.0
9,adam,0.001,0.09020462865009904,0.0897953542880714,0.0,5.096525278915833e-16,0.00040927479130914435,0.0,0.08894744515419006,0.08844751119613647,0.0,5.100356481728158e-16,0.0004999326192773879,0.0
10,adam,0.001,0.08992444118484855,0.08953083492815495,0.0,5.095538684055629e-16,0.0003936070752388332,0.0,0.08851147443056107,0.08821520209312439,0.0,5.100356481728158e-16,0.0002962703292723745,0.0
11,adam,0.001,0.08964490261860192,0.0892498241737485,0.0,5.084045307229225e-16,0.0003950781192543218,0.0,0.08830250799655914,0.08789519220590591,0.0,5.100356481728158e-16,0.0004073124728165567,0.0
12,adam,0.001,0.0885395621880889,0.0881988622713834,0.0,5.122128768805615e-16,0.00034069939374603564,0.0,0.08786477893590927,0.08752994239330292,0.0,5.100356481728158e-16,0.00033483427250757813,0.0
13,adam,0.001,0.08776414953172207,0.08745239721611142,0.0,5.081115433499562e-16,0.0003117522746833856,0.0,0.08758174628019333,0.08724115043878555,0.0,5.100356481728158e-16,0.0003405987226869911,0.0
14,adam,0.001,0.08755222195759416,0.08722279220819473,0.0,5.097734848581957e-16,0.0003294297002867097,0.0,0.08708399534225464,0.08672834187746048,0.0,5.100356481728158e-16,0.00035565192229114473,0.0
15,adam,0.001,0.08777623879723251,0.08747798716649413,0.0,5.111324036382774e-16,0.00029825089495716384,0.0,0.08676940202713013,0.08637088537216187,0.0,5.100356481728158e-16,0.00039851994370110333,0.0
16,adam,0.001,0.08721401356160641,0.08677774574607611,0.0,5.087336030229308e-16,0.00043626719070744,0.0,0.08635668456554413,0.08591914921998978,0.0,5.100356481728158e-16,0.00043753167847171426,0.0
17,adam,0.001,0.08650610269978642,0.08600495103746653,0.0,5.080627529287054e-16,0.0005011516495869728,0.0,0.08583524078130722,0.0854649692773819,0.0,5.100356481728158e-16,0.0003702744434121996,0.0
18,adam,0.001,0.08567172288894653,0.0853218394331634,0.0,5.086840515955164e-16,0.00034988295738003217,0.0,0.085528664290905,0.08524155616760254,0.0,5.100356481728158e-16,0.00028710594051517546,0.0
19,adam,0.001,0.0850391904823482,0.08462504483759403,0.0,5.106966051869151e-16,0.00041414574661757797,0.0,0.08583947271108627,0.08503555506467819,0.0,5.100356481728158e-16,0.0008039167150855064,0.0
20,adam,0.001,0.08551391866058111,0.08493729401379824,0.0,5.05520636654789e-16,0.0005766246304119704,0.0,0.08499909937381744,0.08462906628847122,0.0,5.100356481728158e-16,0.00037002950557507575,0.0
21,adam,0.001,0.084572724532336,0.08412650832906365,0.0,5.053915501571165e-16,0.00044621649431064725,0.0,0.08480259776115417,0.08407091349363327,0.0,5.100356481728158e-16,0.0007316872361116111,0.0
22,adam,0.001,0.08534597372636199,0.08472972875460982,0.0,5.096771116993884e-16,0.0006162448462418979,0.0,0.08427996188402176,0.08367295563220978,0.0,5.100356481728158e-16,0.0006070093368180096,0.0
23,adam,0.001,0.08385277586057782,0.08332914439961314,0.0,5.097264116638965e-16,0.0005236305387370521,0.0,0.08374997228384018,0.08326039463281631,0.0,5.100356481728158e-16,0.0004895796882919967,0.0
24,adam,0.001,0.08333277003839612,0.08280225470662117,0.0,5.088393133964926e-16,0.0005305164850142319,0.0,0.08320070803165436,0.08285100758075714,0.0,5.100356481728158e-16,0.00034969847183674574,0.0
25,adam,0.001,0.08362545911222696,0.08310579229146242,0.0,5.076388973110271e-16,0.0005196675374463666,0.0,0.08279573917388916,0.08240710198879242,0.0,5.100356481728158e-16,0.00038863884401507676,0.0
26,adam,0.001,0.08284390065819025,0.0822436404414475,0.0,5.069681100825282e-16,0.0006002596710459329,0.0,0.08229576796293259,0.0817594826221466,0.0,5.100356481728158e-16,0.0005362885422073305,0.0
27,adam,0.001,0.08225981891155243,0.0815952755510807,0.0,5.080993440902823e-16,0.0006645437060797121,0.0,0.08140140771865845,0.08082561939954758,0.0,5.100356481728158e-16,0.0005757859908044338,0.0
28,adam,0.001,0.08014922612346709,0.07962301513180137,0.0,5.073037286899043e-16,0.0005262115137156798,0.0,0.0795956626534462,0.07924871891736984,0.0,5.100356481728158e-16,0.0003469427756499499,0.0
29,adam,0.001,0.07876068633049726,0.0783353594597429,0.0,5.050408785169532e-16,0.00042532672341621947,0.0,0.07850900292396545,0.07795736938714981,0.0,5.100356481728158e-16,0.0005516313831321895,0.0
30,adam,0.001,0.07723055314272642,0.07659536134451628,0.0,5.098079782897392e-16,0.0006351919291773811,0.0,0.07580289244651794,0.07544342428445816,0.0,5.100356481728158e-16,0.0003594671143218875,0.0
31,adam,0.001,0.0738916255068034,0.07335369614884257,0.0,5.08131362597433e-16,0.0005379294962040149,0.0,0.0713576003909111,0.07088806480169296,0.0,5.100356481728158e-16,0.0004695321840699762,0.0
32,adam,0.001,0.06702125165611506,0.06656007003039122,0.0,5.088835443982071e-16,0.0004611811546055833,0.0,0.062354084104299545,0.062066324055194855,0.0,5.100356481728158e-16,0.000287759059574455,0.0
33,adam,0.001,0.05664223991334438,0.05631673731841147,0.0,5.087244577140784e-16,0.00032550262312724954,0.0,0.05008600279688835,0.04970121383666992,0.0,5.100356481728158e-16,0.00038478992064483464,0.0
34,adam,0.001,0.06304181646555662,0.04760186071507633,0.0,5.130361945596539e-16,0.015439955990586895,0.0,0.09720630943775177,0.04759950563311577,0.0,5.100356481728158e-16,0.0496068075299263,0.0
35,adam,0.001,0.06741170608438551,0.04413827881217003,0.0,5.093810753386842e-16,0.023273427490494214,0.0,0.04152671620249748,0.03750267252326012,0.0,5.100356481728158e-16,0.004024042747914791,0.0
36,adam,0.001,0.0420529778348282,0.03773472108878195,0.0,5.088464288041218e-16,0.0043182573717786,0.0,0.03855827823281288,0.03312002122402191,0.0,5.100356481728158e-16,0.005438257474452257,0.0
37,adam,0.001,0.035357631742954254,0.03339850658085197,0.0,5.086502596131324e-16,0.0019591246764321113,0.0,0.02908499352633953,0.02886166237294674,0.0,5.100356481728158e-16,0.00022333042579703033,0.0
38,adam,0.001,0.028676825226284564,0.02816190756857395,0.0,5.111039386990382e-16,0.0005149174048710847,0.0,0.02428719401359558,0.023647641763091087,0.0,5.100356481728158e-16,0.0006395531818270683,0.0
39,adam,0.001,0.025176928844302893,0.024865932704415172,0.0,5.080292091005051e-16,0.00031099628586162,0.0,0.022752506658434868,0.022595243528485298,0.0,5.100356481728158e-16,0.00015726267884019762,0.0
40,adam,0.001,0.022417627973482013,0.02224575256695971,0.0,5.065614714021196e-16,0.00017187570983878686,0.0,0.020960235968232155,0.020870793610811234,0.0,5.100356481728158e-16,8.944212459027767e-05,0.0
41,adam,0.001,0.021593212732113898,0.021012734505347908,0.0,5.07837106329407e-16,0.000580478072151891,0.0,0.027940504252910614,0.02380220592021942,0.0,5.100356481728158e-16,0.004138297401368618,0.0
42,adam,0.001,0.0369185758754611,0.02720594231504947,0.0,5.094850089282903e-16,0.00971263344399631,0.0,0.02901441417634487,0.024045251309871674,0.0,5.100356481728158e-16,0.004969162866473198,0.0
43,adam,0.001,0.024650354171171784,0.02257275755982846,0.0,5.125137456304042e-16,0.002077596595427167,0.0,0.02213403768837452,0.02132474258542061,0.0,5.100356481728158e-16,0.0008092959178611636,0.0
44,adam,0.001,0.021937261917628348,0.021187352656852454,0.0,5.078442184283138e-16,0.0007499090279452503,0.0,0.018297623842954636,0.017289085313677788,0.0,5.100356481728158e-16,0.0010085385292768478,0.0
45,adam,0.001,0.01901643694145605,0.01833493373123929,0.0,5.096733000511257e-16,0.0006815030847064918,0.0,0.018677450716495514,0.01792985573410988,0.0,5.100356481728158e-16,0.0007475944585166872,0.0
46,adam,0.001,0.021884011628571898,0.02088539703981951,0.0,5.120075541089136e-16,0.0009986146592382283,0.0,0.01923736371099949,0.01915510557591915,0.0,5.100356481728158e-16,8.225772762671113e-05,0.0
