split,outlier_type,n_outliers,share_outliers_pct,mse_contrib,mse_share_global_pct,median_abs_error,p90_abs_error,median_sensitivity_score,floor_count,negative_pred_count
val,floor_iv_mismatch,7,53.84615384615385,2.4406126982112027e-06,52.501048851801905,0.18049661652946472,0.23247027532958983,110.76121919653697,7,0
val,short_low_m_high_sensitivity,6,46.15384615384615,1.8721526376626884e-06,40.272664794376524,0.1462764385590539,0.2472146573710134,127.7272250915581,0,0
test,negative_iv_prediction,1,4.166666666666667,1.7967100241886694e-06,19.582091557769544,0.42387616401357947,0.42387616401357947,0.7063796628360043,0,1
test,floor_iv_mismatch,11,45.833333333333336,3.5711991108828474e-06,38.922000221995596,0.1455145909061432,0.27257345454597476,75.01571694916694,11,0
test,short_low_m_high_sensitivity,12,50.0,3.4369903108513622e-06,37.459277259083606,0.11298071668701035,0.23520378975262293,138.18854775446744,0,0
