epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk
1,adam,0.001,0.19187785126268864,0.06239154818467796,0.0,0.0,0.0,0.0,0.017606073016551704,0.006651646519768795,0.0,0.0,0.10522858612239361,0.0,0.06047193333506584,0.02062576822936535,0.0,0.0,0.0,0.0,0.008874182589352131,0.006418741308152676,0.0,0.0,0.024553239345550537,0.0
2,adam,0.001,0.03502091276459396,0.01241370104253292,0.0,0.0,0.0,0.0,0.00884486542781815,0.0025820955233939458,0.0,0.0,0.011180251196492463,0.0,0.018720433115959167,0.006976023782044649,0.0,0.0,0.0,0.0,0.005180944688618183,0.0012810889165848494,0.0,0.0,0.005282374564558268,0.0
3,adam,0.001,0.014025961165316403,0.0053349031950347126,0.0,0.0,0.0,0.0,0.004680893660406582,0.0004324068777350476,0.0,0.0,0.0035777572775259614,0.0,0.010857347398996353,0.003971435129642487,0.0,0.0,0.0,0.0,0.004301080480217934,0.00022262558923102915,0.0,0.0,0.0023622065782546997,0.0
4,adam,0.001,0.008976402634289116,0.003427986506721936,0.0,0.0,0.0,0.0,0.0033658916072454304,0.00018966162633660133,0.0,0.0,0.001992862824408803,0.0,0.007913046516478062,0.0031032725237309933,0.0,0.0,0.0,0.0,0.003054569708183408,0.0001072235027095303,0.0,0.0,0.0016479805344715714,0.0
5,adam,0.001,0.007118110574083403,0.0028176435589557514,0.0,0.0,0.0,0.0,0.0026424408133607358,9.734885043144459e-05,0.0,0.0,0.0015606774468324147,0.0,0.006779146380722523,0.0027240454219281673,0.0,0.0,0.0,0.0,0.0024398628156632185,8.177836571121588e-05,0.0,0.0,0.0015334601048380136,0.0
6,adam,0.001,0.006133152899565175,0.002575226200860925,0.0,0.0,0.0,0.0,0.0021501284354599193,8.116512844935642e-05,0.0,0.0,0.0013266331079648808,0.0,0.006103466264903545,0.002527095377445221,0.0,0.0,0.0,0.0,0.0021483073942363262,0.00010569260484771803,0.0,0.0,0.0013223709538578987,0.0
7,adam,0.001,0.005482396518345922,0.0024085740878945217,0.0,0.0,0.0,0.0,0.0018373527636867948,9.70236058037699e-05,0.0,0.0,0.0011394460198062006,0.0,0.0054711708799004555,0.002376917516812682,0.0,0.0,0.0,0.0,0.0016985771944746375,8.176125993486494e-05,0.0,0.0,0.0013139148941263556,0.0
8,adam,0.001,0.00493554282002151,0.002165782811061945,0.0,0.0,0.0,0.0,0.0016382616304326802,8.580719895689981e-05,0.0,0.0,0.001045691311446717,0.0,0.004922425840049982,0.002182662021368742,0.0,0.0,0.0,0.0,0.0015168607933446765,9.538314043311402e-05,0.0,0.0,0.0011275197612121701,0.0
9,adam,0.001,0.004453103290870786,0.001999575673835352,0.0,0.0,0.0,0.0,0.0014201874291757122,7.86216749020241e-05,0.0,0.0,0.0009547185618430376,0.0,0.004529544152319431,0.0019822882022708654,0.0,0.0,0.0,0.0,0.001302792807109654,5.9525387769099325e-05,0.0,0.0,0.00118493742775172,0.0
10,adam,0.001,0.004039414125145413,0.0018082306705764495,0.0,0.0,0.0,0.0,0.0012749293819069862,7.563336794191855e-05,0.0,0.0,0.0008806206897133961,0.0,0.004000393208116293,0.0017279483145102859,0.0,0.0,0.0,0.0,0.0011841051746159792,6.409065099433064e-05,0.0,0.0,0.0010242493590340018,0.0
