greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,2.7933097198632364e-18,1.6713197539259914e-09,1.4287193627539221e-09,2.7236437577515814e-09,3.785566463354594e-09,4.148903387513059e-09
gamma,2048,1.0115836808168232e-15,3.180540332737227e-08,2.5274494504119716e-08,5.1703628531352124e-08,8.556468478082556e-08,1.2560990686472095e-07
vega,2048,1.1079206985480462e-18,1.0525781199265193e-09,1.0122581304395457e-09,1.4482753385447465e-09,1.98845128029923e-09,2.17560941484507e-09
theta,2048,2.5873040374332863e-22,1.6085098810493165e-11,1.2610676879912935e-11,2.9175462046282514e-11,4.4593982950758e-11,4.782737400566006e-11
rho,2048,1.5679902045499644e-13,3.959785606001876e-07,3.7048919684944326e-07,5.408435322519501e-07,5.688279037753389e-07,5.749289105705727e-07
