greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,5.172889768065155e-16,2.274398770678782e-08,1.2372686864721854e-08,2.647555024104519e-08,9.422806178660534e-08,3.347275857601417e-07
gamma,2048,4.346513735255556e-14,2.0848294259376608e-07,9.605991414504029e-08,1.713586692431157e-07,7.247679081523454e-07,3.8110935633994814e-06
vega,2048,1.3115349849220666e-17,3.6215120943082137e-09,2.9512882534086834e-09,6.147572756409758e-09,9.150057228846098e-09,1.005914546103881e-08
theta,2048,1.0821738436173977e-15,3.289641080144455e-08,4.93809854807014e-09,1.2217845186957003e-09,1.0192107770645717e-07,7.079421144584597e-07
rho,2048,1.0805677123500181e-14,1.039503589387751e-07,8.932321171475915e-08,1.6935498047265794e-07,2.374423048689955e-07,2.57824707805554e-07
