tau,moneyness,v,rho,kappa,gamma,bar_v,r,price_pred,price_ref,price_error,delta_pred,delta_ref,delta_error,gamma_pred,gamma_ref,gamma_error,vega_pred,vega_ref,vega_error,theta_pred,theta_ref,theta_error,rho_pred,rho_ref,rho_error
0.05,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.1998705883437597,0.19992155029574155,-5.0961951981842724e-05,-0.9976671564334079,-0.9841263683077565,-0.013540788125651404,0.3601580442671384,0.513551521154767,-0.1533934768876286,-0.00017445480638071691,0.007375097273603276,-0.007549552079983993,-0.02226513849177903,-0.020833534888466954,-0.0014316036033120774,-0.05358286740606388,-0.04936113224709735,-0.004221735158966532
0.06218750000000001,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20023124006838208,0.20026139076550054,-3.0150697118452863e-05,-0.9853957931722913,-0.9720174496782623,-0.013378343494029,0.5845829100857398,0.744549822463263,-0.15996691237752314,0.007064378406084297,0.01320599590955901,-0.006141617503474713,-0.036605674649275756,-0.03462775982478164,-0.001977914824494116,-0.06524718307165553,-0.060811623359723135,-0.004435559711932394
0.074375,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.2007517462585325,0.2007567664251929,-5.02016666040217e-06,-0.9715289631491929,-0.9585927992782888,-0.012936163870904127,0.782149540621177,0.9405187359029661,-0.15836919528178905,0.015103302581396033,0.01981244721157699,-0.004709144630180956,-0.048274705589031,-0.046281286750700375,-0.001993418838330624,-0.07588315447956373,-0.07196755605993191,-0.003915598419631822
0.0865625,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20139485714153074,0.20138037663982844,1.4480501702301973e-05,-0.9571223682816536,-0.9447214665976573,-0.012400901683996324,0.9468760521817647,1.0997005342293527,-0.15282448204758792,0.023487217773438783,0.02677479346668782,-0.0032875756932490355,-0.0567618049412973,-0.05570029569574895,-0.0010615092455483546,-0.08573499209165616,-0.0828539504147729,-0.0028810416768832586
0.09875,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20212478157912883,0.20210648966588995,1.8291913238877022e-05,-0.9427906810726675,-0.9309123893118377,-0.011878291760829773,1.0839522663006196,1.2264966242905935,-0.1425443579899739,0.031866931543000174,0.03383080795269755,-0.0019638764096973765,-0.06266213637301826,-0.06315879082953767,0.0004966544565194048,-0.09496565932551322,-0.09350009461014182,-0.0014655647153714035
0.11093750000000001,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20291520555170575,0.20291331592164763,1.8896300581217051e-06,-0.92880843864593,-0.9174471055802063,-0.011361333065723733,1.2000193484589305,1.3265414771493838,-0.1265221286904532,0.04004238211595259,0.04082290410086553,-0.0007805219849129422,-0.0668216387070964,-0.06900226830287279,0.00218062959577639,-0.10368773593139044,-0.10393412660530106,0.00024639067391062086
0.123125,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20374921350297398,0.20378315785905676,-3.3944356082782345e-05,-0.9152776409641578,-0.9044713587777655,-0.010806282186392235,1.2996968971862088,1.405045066460577,-0.10534816927436808,0.047928519066921825,0.04765908713837236,0.000269431928549467,-0.06990268822614891,-0.07354861516667302,0.0036459269405241107,-0.1120011582388399,-0.11418123015100627,0.002180071912166376
0.1353125,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20461639994779082,0.20470187794074923,-8.547799295841041e-05,-0.9022329833241172,-0.8920514717126173,-0.010181511611499827,1.3855931173270701,1.4663641999839374,-0.08077108265686728,0.05550369953272446,0.054287801485561615,0.001215898047162843,-0.07231703169457547,-0.0770629173788854,0.004745885684309933,-0.12000240647858999,-0.12426329467174849,0.0042608881931584935
0.14750000000000002,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.2055101710513109,0.2056582434606119,-0.00014807240930100884,-0.889687740961031,-0.8802079118309654,-0.00947982913006562,1.4591179344450522,1.5139998571394013,-0.054881922694349106,0.06277236039496675,0.06068233964365455,0.002090020751312205,-0.07429211364851554,-0.07975775383660516,0.005465640188089621,-0.12778013687203063,-0.1341991245064942,0.00641898763446358
0.1596875,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20642597200486237,0.2066433306911336,-0.0002173586862712351,-0.8776490943239856,-0.8689351286308986,-0.008713965693087022,1.5211533776826915,1.5507204693039043,-0.029567091621212738,0.06974577656595977,0.06683124742875668,0.002914529137203095,-0.07594578164777366,-0.08180093381368371,0.005855152165910052,-0.13541045110258393,-0.14400481955233768,0.008594368449753753
