tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,head_delta,head_error_delta,head_abs_error_delta,head_minus_autodiff_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,head_gamma,head_error_gamma,head_abs_error_gamma,head_minus_autodiff_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,head_vega,head_error_vega,head_abs_error_vega,head_minus_autodiff_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.02,-0.16251892949777494,0.04,-0.7,2.0,0.3,0.04,0.01,0.85,0.14979364486464258,0.14950007410091115,0.0002935707637314322,0.0002935707637314322,-0.000359894144390926,,,-0.9999782878240954,-0.9985381023159123,-0.001440185508183034,0.001440185508183034,0.0007206194900733403,-1.000009163464214,-0.0014710611483017555,0.0014710611483017555,-3.087564011872157e-05,0.016597344340698605,2.6754203572619986,-2.6588230129213,2.6588230129213,0.7234065098616334,1.2374637377544172e-05,-2.675407982624621,2.675407982624621,-0.01658496970332106,4.570169279555119e-05,0.018446757119417068,-0.018401055426621515,0.018401055426621515,0.018067763776544593,4.341559731195114e-06,-0.018442415559685874,0.018442415559685874,-4.1360133064356073e-05,0.010234567289276712,-0.02537941494533206,0.03561398223460877,0.03561398223460877,0.034732491910331086,-0.019995761138691483,-0.01996514922138873,-3.061191730275442e-05,3.061191730275442e-05,3.0012709087288574e-05
0.09666666666666668,-0.16251892949777494,0.04,-0.7,2.0,0.3,0.04,0.01,0.85,0.1491277304040944,0.14904271594406704,8.501446002737167e-05,8.501446002737167e-05,0.0028106747497510572,,,-0.9941798744841441,-0.9993552635361237,0.005175389051979562,0.005175389051979562,0.0025885289855021583,-0.9949100425907531,0.004445220945370587,0.004445220945370587,-0.0007301681066089749,0.27729358194709264,0.07009306936473259,0.20720051258236005,0.20720051258236005,0.19362849691696996,0.2799374451624742,0.20984437579774162,0.20984437579774162,0.00264386321538157,0.011034959975537,0.0012160834116609481,0.009818876563876052,0.009818876563876052,0.009806950494061243,0.009798958076147297,0.008582874664486349,0.008582874664486349,-0.0012360018993897038,0.005338291686646327,0.009554839379652817,-0.00421654769300649,0.00421654769300649,0.004176640563277828,-0.09616367423540788,-0.09652115336181132,0.00035747912640343715,0.00035747912640343715,0.00032601206580232955
0.17333333333333334,-0.16251892949777494,0.04,-0.7,2.0,0.3,0.04,0.01,0.85,0.14909558963398453,0.14844105602146607,0.0006545336125184653,0.0006545336125184653,0.008688489387766913,,,-0.9701957257852245,-0.9892052786991423,0.019009552913917815,0.019009552913917815,0.009556355554389677,-0.9706439509870508,0.018561327712091513,0.018561327712091513,-0.0004482252018263022,0.920821133781774,0.5945926866233862,0.32622844715838784,0.32622844715838784,0.20458418622826474,0.9460150509779025,0.35142236435451635,0.35142236435451635,0.025193917196128512,0.059989704435826324,0.0196473491942184,0.040342355241607925,0.040342355241607925,0.039565007719079226,0.05925182895850936,0.03960447976429096,0.03960447976429096,-0.0007378754773169627,-0.004264167729098194,0.005790851322945059,-0.010055019052043253,0.010055019052043253,0.009997127174916737,-0.16883913838107806,-0.17147269410539445,0.0026335557243163943,0.0026335557243163943,0.0022480726504065314
0.25,-0.16251892949777494,0.04,-0.7,2.0,0.3,0.04,0.01,0.85,0.14969756052462052,0.148173368773016,0.001524191751604509,0.001524191751604509,0.013422698652854892,,,-0.9399200916231044,-0.9689267114693394,0.029006619846234982,0.029006619846234982,0.0147321988559891,-0.9395559261897443,0.029370785279595135,0.029370785279595135,0.00036416543336015295,1.3760705412314087,1.2234394224890508,0.1526311187423579,0.1526311187423579,0.06864640304501461,1.411470766946464,0.1880313444574131,0.1880313444574131,0.03540022571505519,0.12676833524098077,0.05395693650864186,0.07281139873233891,0.07281139873233891,0.06908384603789919,0.12747663173990714,0.07351969523126528,0.07351969523126528,0.0007082964989263696,-0.010882541831285068,0.0012343120462320507,-0.012116853877517118,0.012116853877517118,0.012101916336400606,-0.23704979653274413,-0.24294026838048863,0.005890471847744494,0.005890471847744494,0.004739143141141923
0.02,-0.07796154146971193,0.04,-0.7,2.0,0.3,0.04,0.01,0.9249999999999999,0.0748256191960617,0.07455633847862642,0.0002692807174352885,0.0002692807174352885,0.0025886065909616193,,,-0.9965815791191215,-0.985522768222583,-0.011058810896538485,0.011058810896538485,0.0055697225302725716,-0.9968904255276404,-0.0113676573050574,0.0113676573050574,-0.00030884640851891465,0.3692100900825391,2.015677845111286,-1.646467755028747,1.646467755028747,0.5459693772323311,0.36203705921391166,-1.6536407858973743,1.6536407858973743,-0.007173030868627417,0.0033765694879872073,0.017658919238375273,-0.014282349750388066,0.014282349750388066,0.014034515376799428,0.003103272335413257,-0.014555646902962016,0.014555646902962016,-0.00027329715257395047,0.0031746908424907573,-0.026562766806261802,0.02973745764875256,0.02973745764875256,0.02896798774542421,-0.019939583533754187,-0.019723297981690306,-0.0002162855520638808,0.0002162855520638808,0.00021210219722543234
0.09666666666666668,-0.07796154146971193,0.04,-0.7,2.0,0.3,0.04,0.01,0.9249999999999999,0.07715072332264698,0.07605537140392449,0.0010953519187224953,0.0010953519187224953,0.02210166912990177,,,-0.8870239756947831,-0.9008726211848508,0.013848645490067701,0.013848645490067701,0.007285414780415729,-0.8863429797946023,0.014529641390248482,0.014529641390248482,0.0006809959001807808,3.336259049492452,3.798479448602606,-0.4622203991101541,0.4622203991101541,0.0963264309165188,3.347258174034312,-0.4512212745682942,0.4512212745682942,0.010999124541859917,0.1377848013677009,0.11296302712136619,0.02482177424633472,0.02482177424633472,0.022302424825858983,0.1384229440688911,0.02545991694752492,0.02545991694752492,0.0006381427011901974,-0.04818247908055811,-0.03266328387772814,-0.015519195202829968,0.015519195202829968,0.015028320891350203,-0.08670706424006831,-0.08790504611332468,0.0011979818732563707,0.0011979818732563707,0.001101182384929925
0.17333333333333334,-0.07796154146971193,0.04,-0.7,2.0,0.3,0.04,0.01,0.9249999999999999,0.08107484771247819,0.07892583767683825,0.002149010035639942,0.002149010035639942,0.025829139091827078,,,-0.8099043351992108,-0.8146650539078131,0.004760718708602285,0.004760718708602285,0.00262346965813347,-0.8089551702638776,0.005709883643935432,0.005709883643935432,0.0009491649353331466,3.5495855222132606,4.358496374638925,-0.8089108524256643,0.8089108524256643,0.1509585517784682,3.5358031950138233,-0.8226931796251016,0.8226931796251016,-0.013782327199437283,0.26125783506312145,0.21599707275136915,0.0452607623117523,0.0452607623117523,0.03722111123947304,0.26217356354664706,0.046176490795277914,0.046176490795277914,0.000915728483525613,-0.05188896504270042,-0.03977553496883819,-0.01211343007386223,0.01211343007386223,0.011650043366547633,-0.14374343903314707,-0.14429844217387097,0.0005550031407239031,0.0005550031407239031,0.00048501607646126024
0.25,-0.07796154146971193,0.04,-0.7,2.0,0.3,0.04,0.01,0.9249999999999999,0.08496396350733423,0.08198694678628915,0.0029770167210450837,0.0029770167210450837,0.027143741928432347,,,-0.7605142540010665,-0.7560355924842739,-0.004478661516792659,0.004478661516792659,0.0025504389181865445,-0.7595487532813021,-0.0035131607970282364,0.0035131607970282364,0.0009655007197644228,3.387675432909713,4.258626446658514,-0.870951013748801,0.870951013748801,0.16562329014684601,3.364831638148879,-0.893794808509635,0.893794808509635,-0.02284379476083398,0.358857911877358,0.28337081176862977,0.07548710010872822,0.07548710010872822,0.05881939920754352,0.35983577627392604,0.07646496450529627,0.07646496450529627,0.0009778643965680511,-0.049255427889671945,-0.03963885824314094,-0.009616569646531008,0.009616569646531008,0.009249913631337139,-0.19687189985611858,-0.19532996745856065,-0.0015419323975579269,0.0015419323975579269,0.0012899638087684622
0.02,0.0,0.04,-0.7,2.0,0.3,0.04,0.01,1.0,0.01118314108327025,0.010891234017889273,0.00029190706538097765,0.00029190706538097765,0.003215441468048485,,,-0.49148298801911156,-0.46850412137084163,-0.022978866648269924,0.022978866648269924,0.015647805350943966,-0.4915321349167288,-0.023028013545887183,0.023028013545887183,-4.914689761725821e-05,14.113771705861117,15.781675262726008,-1.667903556864891,1.667903556864891,0.09938838231302764,14.101561413054421,-1.6801138496715868,1.6801138496715868,-0.012210292806695833,0.1410070444260179,0.15510363403561858,-0.014096589609600668,0.014096589609600668,0.012203744490311237,0.1410059684318158,-0.014097665603802795,0.014097665603802795,-1.0759942021265623e-06,-0.27700375585780035,-0.3092883583094341,0.032284602451633726,0.032284602451633726,0.02465812992740569,-0.010053944374321819,-0.009587907107774452,-0.0004660372665473665,0.0004660372665473665,0.0004616113795206311
0.09666666666666668,0.0,0.04,-0.7,2.0,0.3,0.04,0.01,1.0,0.024304746087038837,0.024104437461853423,0.0002003086251854136,0.0002003086251854136,0.0071555687005469566,,,-0.4813380889410691,-0.4507040930623134,-0.030633995878755704,0.030633995878755704,0.02111663986146888,-0.4813743743508507,-0.03067028128853727,0.03067028128853727,-3.62854097815668e-05,6.422313483162796,6.422251508801217,6.197436157862057e-05,6.197436157862057e-05,8.349806188207462e-06,6.408670270808554,-0.013581237992663198,0.013581237992663198,-0.013643212354241818,0.3096785656028927,0.2822810432026597,0.02739752240023302,0.02739752240023302,0.021366238349593183,0.30970550740455044,0.027424464201890764,0.027424464201890764,2.6941801657742737e-05,-0.12293947456344788,-0.12000856751382528,-0.002930907049622594,0.002930907049622594,0.0026168612764530617,-0.04888394460619565,-0.045898157950669385,-0.0029857866555262624,0.0029857866555262624,0.0028547584990269094
