greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,8,1.630167211534069e-15,4.037532924366152e-08,3.04469891352854e-08,5.979933329625097e-08,8.797181701214461e-08,9.110209298057725e-08
gamma,8,3.2291259151068715e-13,5.682539850372254e-07,4.140236573861762e-07,8.136807258196653e-07,1.3121522431625007e-06,1.367537967311705e-06
vega,8,2.612376962901506e-14,1.6162849262742958e-07,1.1533151663376017e-07,2.665186014327858e-07,3.1803021653620255e-07,3.237537293254711e-07
theta,8,2.8395521932573983e-16,1.685097087190349e-08,9.617322582842341e-09,2.4991988714813393e-08,4.1405173917801595e-08,4.322886116257807e-08
rho,8,9.993644337376196e-20,3.1612725819480034e-10,2.0114511847183102e-10,5.236912445361063e-10,7.149630167069265e-10,7.362154358370177e-10
