greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,3.7860794037131835e-18,1.9457850353297465e-09,1.795620221468116e-09,2.9127852574362122e-09,3.75633523841401e-09,4.154124155775207e-09
gamma,2048,6.742805333082551e-14,2.596691227905727e-07,2.07130036004398e-07,4.254353266619493e-07,6.589575194954065e-07,9.415732453166292e-07
vega,2048,5.082310173181449e-20,2.2543979624683502e-10,2.1956088362077696e-10,2.865217840763989e-10,3.0104512660500404e-10,3.0558411356906845e-10
theta,2048,1.0082021151572121e-18,1.0040926825533648e-09,9.483900329833057e-10,1.388710657579395e-09,1.4617925980786594e-09,1.4874508291740085e-09
rho,2048,3.851306186754945e-21,6.20588928901809e-11,6.066967579904971e-11,7.797312240320763e-11,9.04549057878512e-11,1.0183265342078585e-10
