region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error,p90_stabilized_rel_error,p99_stabilized_rel_error,max_stabilized_rel_error
full,price,32761,4.215099782108338e-08,0.0002053070817606723,0.00018486287260407932,0.9999853884642391,4.965217982389677,0.00021090905299564477,0.0003232204450375366,0.0032978954494568558,,,,
full,delta,32761,1.810897866645454e-05,0.0042554645652918485,0.0005495528880481578,0.9997372033764633,16.993477616526693,0.0004912043437780844,0.006653119761982937,0.16216626476921692,0.00039741720066092885,0.0003826425550792038,0.0047109763821334225,0.12345647437813725
full,gamma,32761,0.08002409843644087,0.2828853096865245,0.0221707558728064,0.9485475847609726,216.85854686888092,0.013086710850195526,0.2893309836534952,14.703837204394404,0.007612299408227885,0.004082519994203674,0.14111176675955148,4.88783197807766
full,vega,32761,1.96176439755125e-05,0.004429180959896819,0.0020357094655724583,0.9982395435000648,151.30200053340042,0.004916617445368088,0.019612299795278773,0.05015856501394906,0.0017424412439577034,0.003951812361492696,0.01894713425623538,0.0499953405805125
full,theta,32761,6.655542295208582e-05,0.008158150706629893,0.0007569150148532689,0.8726455650468465,91.10441927777761,0.0002254598458356072,0.018188628266268617,0.4025969732753162,0.0006857986048269531,0.00021936049978178149,0.018046472754876308,0.254907250681535
full,rho,32761,1.2379198049720986e-05,0.0035184084540770683,0.0013490411443644501,0.9999014229943883,55.938362632795744,0.002287314355291503,0.013273522801771158,0.06413317892709111,0.0010899600639228382,0.001760531034378021,0.013034274485713761,0.06381274219204126
full,pde_residual,32761,2.5094423508757083e-05,0.005009433451874282,0.0013908179558191902,,,0.0022768718087758356,0.015962583543057553,0.11528277017826678,,,,
short_maturity,price,905,3.7828652486668647e-07,0.0006150500181828194,0.0003893880595328589,0.9999075836036815,145.9231799228309,0.000957256466479384,0.002541117399400414,0.0032978954494568558,,,,
short_maturity,delta,905,0.0006518004259535291,0.02553038240907349,0.011622251480039494,0.9968419816064797,607.7874558755323,0.026191546685330955,0.1339975514578548,0.16216626476921692,0.008402927919564785,0.022303683706101293,0.09583231965216082,0.12345647437813725
short_maturity,gamma,905,2.894759903243296,1.7013993955692166,0.6600568834874664,0.8602689601117451,7231.421007281182,1.5269954449590448,7.353520189667844,14.703837204394404,0.2222264332876675,0.556727674197225,2.5384048190942456,4.88783197807766
