tau,moneyness,v,rho,kappa,gamma,bar_v,r,log_moneyness,price_ref,delta_ref,gamma_ref,vega_ref,theta_ref,rho_ref,baseline_price_pred,baseline_price_error,baseline_delta_pred,baseline_delta_error,baseline_gamma_pred,baseline_gamma_error,baseline_vega_pred,baseline_vega_error,baseline_theta_pred,baseline_theta_error,baseline_rho_pred,baseline_rho_error,baseline_pde_residual,acv_price_pred,acv_price_error,acv_delta_pred,acv_delta_error,acv_gamma_pred,acv_gamma_error,acv_vega_pred,acv_vega_error,acv_theta_pred,acv_theta_error,acv_rho_pred,acv_rho_error,acv_pde_residual
0.0001,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.05827456255563257,-0.8425990200667441,-16.322408898126042,-0.0006956697112567804,0.27556349490716886,-8.518044356873394e-05,0.056764867984303524,-0.0015096945713290455,-0.9961086912173069,-0.1535096711505628,3.3067210382156182,19.62912993634166,-0.030765450150371708,-0.03006978043911493,-0.04408926384452759,-0.31965275875169646,0.038659068656692386,0.03874424910026112,-0.003595316134203691,0.057496113170356335,-0.000778449385276235,-0.9592217918399376,-0.11662277177319347,1.4145361151547062,17.73694501328075,-0.015457127257437073,-0.014761457546180292,-0.016939655312189772,-0.29250315021935863,0.0193732680721003,0.019458448515669035,0.008399947439101167
0.00010818428453657477,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.05827237171733657,-0.8516376556123646,-15.464711500849972,-0.0007108527149393262,0.25998760737336224,-9.307250987470502e-05,0.05676522909636439,-0.0015071426209721794,-0.9960777393898758,-0.14444008377751116,3.307379942055386,18.77209144290536,-0.030749149439450348,-0.03003829672451102,-0.044155968608596725,-0.30414357598195896,0.038682293537118405,0.03877536604699311,-0.003538967189758796,0.0574962519465278,-0.0007761197708087697,-0.9592180401401481,-0.10758038452778351,1.41324924499187,16.877960745841843,-0.015448977869257006,-0.01473812515431768,-0.016973184218371736,-0.276960791591734,0.019380915287970566,0.01947398779784527,0.008453661121516574
0.00011703839420690583,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.05827014017552201,-0.8608338493965677,-14.59312200243113,-0.0007232927020657878,0.24427077303569544,-0.00010170319620140981,0.05676562037753646,-0.0015045197979855485,-0.9960442547717855,-0.13521040537521778,3.3080924692005818,17.90121447163171,-0.030731514496856356,-0.03000822179479057,-0.04422810788055242,-0.28849888091624787,0.038707415220548144,0.038809118416749555,-0.003478025817170785,0.05749640238950053,-0.0007737377860214806,-0.9592139977248897,-0.09838014832832198,1.411856954103735,16.004978956534863,-0.01544016142042515,-0.014716868718359363,-0.017009445114859124,-0.2612802181505546,0.019389186495151173,0.019490889691352584,0.008511760725496921
0.00012661714940583705,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.05826787689848778,-0.8701433863594583,-13.711504114643986,-0.0007326319398394676,0.22849533623673243,-0.00011113669074094064,0.05676604440141919,-0.0015018324970685892,-0.9960080301440982,-0.1258646437846399,3.308862956670584,17.02036707131457,-0.030712436103317677,-0.02997980416347821,-0.044306122201141204,-0.2728014584378736,0.03873458826523895,0.03884572495597989,-0.0034121194622044673,0.05749656550663589,-0.000771311391851888,-0.9592096435795096,-0.08906625722005124,1.4103505978352764,15.121854712479262,-0.015430623301705531,-0.014697991361866064,-0.017048659527637587,-0.24554399576437003,0.01939813244181209,0.01950926913255303,0.008574603467672024
0.00013697985718531076,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.05826559178545043,-0.8795164906057433,-12.824118940299059,-0.0007385310410465366,0.21275005603013095,-0.00012144127714482775,0.056766503969972626,-0.0014990878154778065,-0.9959688413419518,-0.11645235073620852,3.309696087637756,16.133815027936816,-0.030691796097292792,-0.029953265056246257,-0.04439048744218207,-0.257140543472313,0.03876397976224224,0.038885421039387066,-0.00334084564509516,0.0574967423966542,-0.0007688493887962333,-0.9592049554414991,-0.07968846483575576,1.40872082124512,14.232839761544179,-0.015420304432049644,-0.014681773391003107,-0.017091066759510224,-0.22984112278964117,0.019407807974533287,0.019529249251678114,0.008642575501562742
0.0001481906784551505,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.058263295555063266,-0.8888981604524977,-11.935581427269142,-0.0007406806926319818,0.19712880342279204,-0.00013268934917845426,0.056767002135214434,-0.001496293419848832,-0.9959264458702553,-0.10702828541775755,3.310596918258469,15.24617834552761,-0.03066946664259291,-0.02992878594996093,-0.04448171757416136,-0.2416105209969534,0.038795770341116524,0.03892845969029498,-0.003263769608354339,0.05749693425862369,-0.0007663612964395744,-0.9591999097785888,-0.07030174932609112,1.406957500517477,13.342538927786618,-0.01540914089223025,-0.014668460199598268,-0.017136925284472377,-0.21426572870726443,0.019418272364299567,0.019550961713478022,0.008716094234356946
0.00016031902523660062,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.058260999594174745,-0.8982287298639973,-11.050800804705062,-0.0007388140730989635,0.18172890774660524,-0.0001449574102130712,0.056767542223190304,-0.0014934573709844412,-0.9958805814066481,-0.09765185154265088,3.311570906445065,14.362371711150127,-0.030645309436000304,-0.02990649536290134,-0.04458036763900454,-0.2263092753856098,0.03883015525444221,0.03897511266465528,-0.003180421788797176,0.05749714240193608,-0.0007638571922386622,-0.9591944817783374,-0.06096575191434017,1.405049679505163,12.455850484210226,-0.015397063528435012,-0.014658249455336048,-0.01718651424580192,-0.19891542199240717,0.01942958965755542,0.01957454706776849,0.008795610824335666
0.00017343999042822712,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.05825871576694408,-0.9074446806737939,-10.174905049377202,-0.000732719430753398,0.1666491698288979,-0.00015832607102573776,0.05676812786050697,-0.0014905879064371075,-0.9958309641825672,-0.08838628350877331,3.3126239426935737,13.487528992070775,-0.030619174849965982,-0.029886455419212584,-0.04468703694118781,-0.21133620677008572,0.03886734554711051,0.03902567161813625,-0.003090295102254781,0.05749736825740025,-0.0007613475095438332,-0.9591886453529788,-0.05174396467918485,1.4029855009954193,11.57789055037262,-0.015383997523357678,-0.01465127809260428,-0.017240135064570825,-0.18388930489346872,0.019441829054061447,0.019600155125087185,0.008881612872209779
0.00018763481274508147,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.05825645618679043,-0.9164797216410652,-9.313150382776655,-0.0007222521739264302,0.1519875854657864,-0.00017288006551799902,0.056768763003718276,-0.001487693183072153,-0.9957772872325936,-0.07929756559152845,3.313762383085305,12.62691276586196,-0.030590901005056875,-0.029868648831130447,-0.04480237247072017,-0.19678995793650655,0.03890756931648375,0.03908044938200175,-0.002992842029059292,0.057497613389586935,-0.0007588427972034933,-0.9591823731628958,-0.042702651521830615,1.4007521322526653,10.71390251502932,-0.015369861932113881,-0.014647609758187451,-0.017298113165515754,-0.16928569863130213,0.01945506531346476,0.01962794537898276,0.00897462732036807
0.00020299137970980821,0.9417645335842487,0.04,-0.7,2.0,0.3,0.04,0.01,-0.05999999999999999,0.05825423295633436,-0.9252661382578742,-8.470817888193608,-0.0007073457364227351,0.13783885176637634,-0.0001887083106758114,0.05676945197193356,-0.001484780984400802,-0.9957192185014818,-0.07045308024360764,3.3149930845800846,11.785810972773692,-0.03056031276641461,-0.029852967029991878,-0.04492707257192606,-0.1827659243383024,0.03895107307017919,0.039139781380855006,-0.002887471488008213,0.05749787951059467,-0.0007563534457396895,-0.9591756366639463,-0.03390949840607216,1.3983356843566224,9.86915357255023,-0.01535456918009994,-0.014647223443677205,-0.0173607998273954,-0.15519965159377175,0.019469379192500812,0.019658087503176623,0.009075223574869794
