tau,moneyness,v,rho,kappa,gamma,bar_v,r,price_pred,price_ref,price_error,delta_pred,delta_ref,delta_error,gamma_pred,gamma_ref,gamma_error,vega_pred,vega_ref,vega_error,theta_pred,theta_ref,theta_error,rho_pred,rho_ref,rho_error
0.005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19998762209832202,0.19992298377794215,6.463832037986728e-05,-1.0027669386369604,-1.0014130474752838,-0.0013538911616766125,-0.006662619446028938,1.6895593756944853,-1.6962219951405142,0.007524683516127224,0.0025929129717786412,0.004931770544348583,0.016113770291514402,-0.0097782400993511,0.025892010390865503,-0.023062586106658872,-0.005005267108790855,-0.018057318997868017
0.016083333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19983333176474533,0.1998391839428052,-5.852178059873037e-06,-1.0030829605008897,-0.9999992319108197,-0.0030837285900700007,-0.009988955015097787,-0.0011713060012163608,-0.008817649013881426,0.005527869579921927,-4.95248796814914e-06,0.005532822067890076,0.012518136556947295,0.010007352446238557,0.0025107841107087376,-0.028317873013094217,-0.01608073699233266,-0.012237136020761558
0.02716666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19969615206294158,0.1997283556342644,-3.220357132280305e-05,-1.002744526074064,-0.9999998008479136,-0.002744725226150324,-0.000860489328817146,6.4401708788184865e-06,-0.0008669294996959645,0.002337489194331188,7.474417472315215e-08,0.002337414450156465,0.012650707643944594,0.009997187102720026,0.002653520541224568,-0.03495482300810492,-0.02715928266649216,-0.0077955403416127625
0.03825,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1995489948541967,0.19961755855245833,-6.856369826163666e-05,-1.0021015602654584,-0.9999998558120763,-0.0021017044533820917,0.013521300215099457,-8.769018375931533e-07,0.01352217711693705,-0.0010543150713268107,-1.6993669438773122e-08,-0.0010542980776573718,0.013870700941015057,0.00999619255249467,0.0038745083885203865,-0.04274022516504976,-0.038235367202481066,-0.004504857962568692
0.04933333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19939222405742665,0.19950677363025204,-0.0001145495728253898,-1.0013541970226523,-0.999999848322029,-0.0013543487006232313,0.02495028555125197,-6.875414608397517e-07,0.02495097309271281,-0.004014095406731585,-9.629837198754311e-09,-0.004014085776894386,0.014197670269696459,0.009995076201955624,0.004202594067740834,-0.05140329330124401,-0.04930899484620185,-0.002094298455042158
0.06041666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19923876534418916,0.19939600101331156,-0.00015723566912240194,-1.0006727547708227,-0.9999998461730661,-0.0006729085977565941,0.028011315331048267,-2.8974773985920355e-07,0.028011605078788127,-0.006366926574086964,-8.658558481028776e-09,-0.006366917915528483,0.013343830138188613,0.009993964809727826,0.003349865328460787,-0.060783664249354025,-0.060380167626252465,-0.00040349662310155965
0.07150000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19909820944144815,0.1992852409400816,-0.00018703149863344426,-1.0001872860352718,-0.9999997931180685,-0.00018749291720332462,0.02274264483607049,9.413060955347323e-06,0.022733231775115142,-0.008209870731807479,1.1202963903803135e-07,-0.008209982761446516,0.012005600745446873,0.009992794693365434,0.002012806052081439,-0.07080702716096172,-0.07144888289356935,0.0006418557326076241
0.08258333333333334,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19897190394150088,0.19917449509822127,-0.00020259115672038863,-0.9999318950534436,-0.9999994361245338,6.754107109019358e-05,0.012862113490715183,6.402510160739144e-05,0.012798088389107792,-0.009700912760852548,9.216015498844763e-07,-0.009701834362402432,0.010851783494365927,0.009991331340970475,0.000860452153395452,-0.08139583037233322,-0.08251512313348897,0.0011192927611557435
0.09366666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19885594099617693,0.19906376975598072,-0.00020782875980379645,-0.9998535497943394,-0.9999979675985052,0.00014441780416585281,0.0024418015433125976,0.00026107333315065345,0.002180728210161944,-0.010959575382013588,4.235292269808076e-06,-0.010963810674283396,0.010153692816963236,0.009988948921604587,0.00016474389535864851,-0.09243361646682022,-0.09357882080585825,0.0011452043390380306
0.10475000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19874522611080542,0.198953081002184,-0.00020785489137858937,-0.9998651577029501,-0.9999935983706731,0.00012844066772299545,-0.0058371484499557084,0.0007832037853020141,-0.0066203522352577225,-0.012054446665774652,1.4032347736427087e-05,-0.01206847901351108,0.00988643629637589,0.009984490546756946,-9.805425038105636e-05,-0.10378396992985833,-0.10463979877844122,0.0008558288485828874
0.11583333333333334,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1986357129842202,0.19884246064788502,-0.00020674766366482467,-0.9998887686313405,-0.999983254533211,9.448590187055572e-05,-0.0107598459764083,0.0018964651762345408,-0.012656311152642841,-0.013019179828360103,3.706607159132021e-05,-0.013056245899951423,0.009911280823151403,0.009976294884814968,-6.501406166356527e-05,-0.11531970948229714,-0.11569769994512426,0.00037799046282711857
0.12691666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1985249813724473,0.198731960951273,-0.00020697957882567786,-0.9998723096421566,-0.99996252100264,9.02113604834831e-05,-0.012050555853772286,0.003924850847237871,-0.015975406701010157,-0.013867592622799203,8.28997223854067e-05,-0.013950492345184608,0.010084851186225947,0.009962370795029768,0.00012248039119617908,-0.12693926327871433,-0.12675192600986712,-0.00018733726884720414
0.138,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19841202155782603,0.19862165697159806,-0.0002096354137720302,-0.9997888172035266,-0.9999258271776027,0.0001370099740760633,-0.009888816592956373,0.007213467280677843,-0.017102283873634216,-0.014602337484743407,0.000163400977427966,-0.014765738462171373,0.010298726273846887,0.009940635110663442,0.00035809116318344554,-0.13856987335411233,-0.1378015999824879,-0.0007682733716244394
0.14908333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19829680265700506,0.19851164632271545,-0.00021484366571039581,-0.9996293893310974,-0.9998667893734432,0.00023740004234584777,-0.004616700383767015,0.012092834197922397,-0.016709534581689413,-0.01521929345512864,0.00029190597406771046,-0.01551119942919635,0.010483968327533207,0.009909133481494685,0.000574834846038522,-0.15016387271573942,-0.14884555701855087,-0.0013183156971885435
0.16016666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19817987254029412,0.1984020467930261,-0.0002221742527319659,-0.9993959114479958,-0.9997786098103296,0.00038269836233384424,0.0034051931755432613,0.018851676481774327,-0.015446483306231065,-0.015710048866529117,0.00048228769378433345,-0.01619233656031345,0.010603460227746017,0.009866200416274734,0.0007372598114712831,-0.1616928881713421,-0.15988236036504658,-0.0018105278062955088
0.17125,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19806205909176303,0.1982929925867849,-0.00023093349502187333,-0.9990955567849372,-0.9996544550394648,0.0005588982545275956,0.013857154090113151,0.02772040774565454,-0.01386325365554139,-0.016063664917124344,0.0007481023952274068,-0.01681176731235175,0.01064226110102676,0.009810548438592099,0.000831712662434661,-0.1731423369038613,-0.17091033532089364,-0.0022320015829676576
0.18233333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19794427150243532,0.19818462993004338,-0.00024035842760805615,-0.9987372088377146,-0.9994877695801032,0.0007505607423886618,0.02647834102699563,0.038864279719528216,-0.012385938692532586,-0.016268117989418983,0.0011019082087728588,-0.01737002619819184,0.010599466958419734,0.009741296139005286,0.0008581708194144479,-0.18450700186237085,-0.18192761351332898,-0.0025793883490418668
0.19341666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19782737960299493,0.19807711262565486,-0.00024973302265993147,-0.9983293811934175,-0.9992725082012426,0.000943127007825062,0.04106657193814222,0.052383815873283446,-0.011317243935141226,-0.016311493096225763,0.0015547855600080707,-0.017866278656233834,0.010482269161941853,0.00965795233095965,0.0008243168309822035,-0.1957877436641971,-0.19293218096935097,-0.002855562694846131
0.20450000000000002,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19771214793105163,0.197970597946733,-0.0002584500156813663,-0.9978791558313975,-0.9990032883873927,0.0011241325559951942,0.057471195391601636,0.0683199821263627,-0.010848786734761064,-0.016182918947491905,0.002116048423669456,-0.01829896737116136,0.010301943444975791,0.00956037344967077,0.0007415699953050216,-0.20698915532945944,-0.2039219252602843,-0.003067230069175142
0.21558333333333335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19759920580158316,0.19786524308496933,-0.0002660372833861724,-0.9973917591607071,-0.9986754740436432,0.0012837148829361045,0.07558410210423427,0.08666194758182932,-0.01107784547759505,-0.015873240342585172,0.002793115229777987,-0.01866635557236316,0.010071282446774956,0.009448707982305992,0.000622574464468964,-0.2181179251472997,-0.21489467874512833,-0.0032232464021713647
0.22666666666666668,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19748903994015782,0.1977612022401215,-0.00027216229996368524,-0.9968705100344537,-0.9982852049964316,0.0014146949619778804,0.09533093246270023,0.10735585611574194,-0.01202492365304171,-0.015375445813992687,0.003591501969325589,-0.018966947783318276,0.009803025902488022,0.009323337629754298,0.00047968827273372344,-0.2291817067868437,-0.22584825634711383,-0.0033334504397298514
