,rho,kappa,gamma,bar_v,v0
rho,0.054576959325776775,0.009306042838401146,-0.07399871498194062,0.8377157029520488,0.6242432914898056
kappa,0.009306042838401142,0.0033091394216569103,-0.013201399561445346,0.16294893299884253,0.07684948313433355
gamma,-0.07399871498194059,-0.013201399561445346,0.12943694398941524,-1.6949162483621014,-1.2963450809776058
bar_v,0.8377157029520489,0.1629489329988425,-1.6949162483621019,25.614229769843366,18.02073554452713
v0,0.6242432914898056,0.07684948313433354,-1.2963450809776063,18.02073554452713,16.59370555897133
