greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,2.579876344349905e-19,5.079248314809885e-10,4.7495272649425e-10,7.20611498250534e-10,8.262653655721762e-10,9.4733770827915e-10
gamma,2048,1.4345909985692869e-15,3.787599501754755e-08,3.027678961821454e-08,6.27372761741185e-08,9.54988618454e-08,1.3226563111423673e-07
vega,2048,5.597315532168683e-19,7.481520923026736e-10,7.449741651270971e-10,8.395849078468576e-10,8.720701415165788e-10,8.778642743290099e-10
theta,2048,1.6379097482513543e-21,4.047109769022029e-11,2.0556083944698704e-11,7.757145273346033e-11,1.4665083778852423e-10,1.6015373749400652e-10
rho,2048,3.4656205099704896e-13,5.886952106116109e-07,5.336354048542712e-07,9.165645707742697e-07,1.0595650944766888e-06,1.0913854973093606e-06
