tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,38,0.0004452609753125003,0.0004452613370646856,3.6175218528188e-10,-0.007335875563257987,-0.007335897388793285,-2.182553529832959e-08,-0.0004511516274452454,-0.00045115593182376676,-4.304378521365407e-09,-2.673343740822176e-05,-2.673343369653012e-05,3.7116916392623475e-12,-6.354591991497571e-05,-6.354592018115442e-05,-2.661787077643668e-13
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,48,0.00019769802392377578,0.00019769850091367968,4.769899039007257e-10,-0.013152771301781772,-0.013152699079396733,7.222238503946932e-08,-0.0010287953230991853,-0.0010288016999508405,-6.376851655227889e-09,4.0977352067095296e-05,4.097735148914355e-05,-5.779517489590269e-13,-6.403066604709906e-05,-6.403066432708008e-05,1.7200189840124724e-12
0.57025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,51,0.00011526026105768139,0.00011526076304027305,5.019825916567763e-10,-0.014788767035631143,-0.014788882496979378,-1.1546134823410548e-07,-0.0012125742873680956,-0.001212581183618681,-6.896250585343433e-09,5.799537572404034e-05,5.799537694961577e-05,1.225575427276672e-12,-6.360039939146134e-05,-6.360039862611439e-05,7.65346946517316e-13
0.7919166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.00048260358521956537,-0.00048260291916441456,6.660551508117299e-10,-0.02460358734064291,-0.024603603496811715,-1.6156168805570026e-08,-0.0024624181188537264,-0.0024624274654927963,-9.346639069911927e-09,0.00014585226304486554,0.0001458522640164604,9.715948748670322e-13,-5.596243413119595e-05,-5.596243292685982e-05,1.204336130334379e-12
1.0468333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.0012215772365875566,-0.0012215764295413238,8.070462327938732e-10,-0.03426098091688367,-0.034261071122383545,-9.020549987526216e-08,-0.0038614756103783066,-0.003861486115079288,-1.0504700981468773e-08,0.00021643722536435206,0.0002164372272746463,1.910294242669225e-12,-3.980353990851171e-05,-3.980354013596673e-05,-2.274550177112228e-13
1.1133333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.0014202446361327725,-0.0014202437969246357,8.392081367932652e-10,-0.036607680230487515,-0.0366076298507838,5.037970371435385e-08,-0.004217006081275176,-0.004217016675924281,-1.0594649104203602e-08,0.00023229258627743832,0.000232292587289395,1.0119566859825846e-12,-3.4588091835097146e-05,-3.4588090978197945e-05,8.568992005764456e-13
1.3793333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.002241050032353309,-0.002241049068228369,9.641249400400842e-10,-0.045630466879824354,-0.0456303938644887,7.301533565262641e-08,-0.005619613689111791,-0.005619623970460781,-1.0281348990053008e-08,0.0002914711602630682,0.0002914711605661694,3.0310123985341497e-13,-1.0244062542685839e-05,-1.0244064909243869e-05,-2.3665580298648948e-12
1.5455833333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.002779532689775599,-0.0027795316496290667,1.0401465322731895e-09,-0.05114015221409709,-0.05113999526471417,1.5694938292065697e-07,-0.006498502573559772,-0.0064985122156376385,-9.642077866169052e-09,0.0003274953583320972,0.0003274953566173194,-1.7147777880803516e-12,7.5383424502639684e-06,7.538343299553729e-06,8.49289760663141e-13
1.56775,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.002853072058120465,-0.0028530710103513183,1.0477691466184713e-09,-0.05187371351694433,-0.05187378844951285,-7.4932568518149e-08,-0.0066167949760997935,-0.006616804510785382,-9.53468558880649e-09,0.0003323350653006152,0.000332335065318123,1.7507805101513174e-14,1.0048764875758565e-05,1.0048763166884776e-05,-1.7088737888670043e-12
1.63425,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.0030763643764364357,-0.003076363299901014,1.0765354215708234e-09,-0.054077950184701344,-0.05407803732961684,-8.71449154990489e-08,-0.006973985500480229,-0.0069739946867345025,-9.186254273756134e-09,0.0003469579337722628,0.00034695793198024564,-1.7920171639998483e-12,1.7771427107682314e-05,1.7771427162032783e-05,5.435046875989884e-14
