parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.4,-0.2109872595970484,0.18901274040295163,0.47253185100737904
kappa,1.2,2.241784519258824,1.041784519258824,0.8681537660490201
gamma,0.3,0.4211654074335236,0.12116540743352361,0.4038846914450787
bar_v,0.18,0.2142759637362382,0.0342759637362382,0.19042202075687892
v0,0.2,0.14731133309032635,0.052688666909673665,0.2634433345483683
