parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.4564142671922401,0.006414267192240086,0.014253927093866858
kappa,1.0,0.7787250522024913,0.22127494779750867,0.22127494779750867
gamma,0.35,0.33049531042489677,0.019504689575103207,0.05572768450029488
bar_v,0.2,0.20008892861880395,8.892861880394065e-05,0.00044464309401970326
v0,0.22,0.21876233714917576,0.0012376628508242449,0.005625740231019295
