quantity,primary,mse,rmse,mae,mape_pct,max_abs_error
price,True,3.6411521185224306e-08,0.0001908180316039978,0.00016245398046836062,0.28563890115603513,0.0003128573104367871
delta,True,5.992388978267899e-07,0.0007741052240017438,0.000650422713562609,0.2350253827724462,0.0025996409659371222
vega,True,2.4092846194155652e-05,0.004908446413495379,0.0034932259382319656,1.4738310930268193,0.016966752748766356
theta,True,1.3885000614372045e-07,0.00037262582592155426,0.00022836581789047238,1.3038853831133022,0.002419717902950841
rho,True,7.846318686063797e-07,0.0008857944844072917,0.0006778585154225621,0.24660519280877533,0.002135382687965981
gamma,False,0.00016405661832172126,0.012808458858181231,0.00806633514925959,0.8887668467868324,0.07565572916038388
