epoch,optimizer,lr,train_total,train_pde,train_term,train_low,train_no_arbitrage,val_total,val_pde,val_term,val_low,val_no_arbitrage
1,adam,0.001,0.2619919846765697,0.0045432812185026705,0.09202006901614368,0.16542863147333264,0.0,0.06620322912931442,0.0020529376342892647,0.03538841754198074,0.02876187674701214,0.0
2,adam,0.001,0.043428776669315994,0.003730887416168116,0.026826671208254993,0.012871217739302665,0.0,0.032675378024578094,0.004705523606389761,0.022468414157629013,0.005501440726220608,0.0
3,adam,0.001,0.02589470031671226,0.004016936931293458,0.017983344034291804,0.0038944193365750834,0.0,0.021400148048996925,0.0037142797373235226,0.015099437907338142,0.0025864297058433294,0.0
4,adam,0.001,0.017904367472510785,0.003248493085266091,0.012434148753527552,0.0022217254881979898,0.0,0.013113262131810188,0.0027562659233808517,0.008646631613373756,0.0017103644786402583,0.0
5,adam,0.001,0.009695157466921955,0.00235498644906329,0.0062467358220601454,0.0010934351048490498,0.0,0.0052953725680708885,0.0015538700390607119,0.0029996014200150967,0.0007419008179567754,0.0
6,adam,0.001,0.0038100515375845134,0.0014758692996110767,0.0016281416465062648,0.0007060405623633415,0.0,0.002858579158782959,0.001339852111414075,0.0007875562296248972,0.0007311709923669696,0.0
7,adam,0.001,0.0023817336914362386,0.0010124019572685938,0.0008174401409632992,0.0005518916350411018,0.0,0.0021036467514932156,0.000714894151315093,0.0009040067088790238,0.00048474606592208147,0.0
8,adam,0.001,0.0019488491670927033,0.0006694007424812298,0.0008585162140661851,0.000420932208726299,0.0,0.001768720569089055,0.0005730941193178296,0.0008049295865930617,0.00039069680497050285,0.0
9,adam,0.001,0.0016507778273080476,0.0005632103675452527,0.0007313096284633502,0.000356257805833593,0.0,0.0015836181119084358,0.000524676579516381,0.0007432645652443171,0.0003156769380439073,0.0
10,adam,0.001,0.0014872737883706577,0.00048589243124297354,0.0007049846499285195,0.00029639669537573354,0.0,0.0014300588518381119,0.00046185884275473654,0.0007089040009304881,0.0002592960372567177,0.0
11,adam,0.001,0.0013911167843616568,0.00043141579590155743,0.0007032837347651366,0.0002564172500569839,0.0,0.0013197120279073715,0.0004012075369246304,0.0006943196640349925,0.00022418482694774866,0.0
12,adam,0.001,0.0012845358432969078,0.0003836254782072501,0.0006815108536102343,0.00021939950511296047,0.0,0.001300946343690157,0.00038280614535324275,0.0007269511115737259,0.00019118905765935779,0.0
13,adam,0.001,0.0011913460766663775,0.00035998491148347966,0.0006466304912464693,0.0001847306666604709,0.0,0.001217746059410274,0.0003454431425780058,0.0007013196591287851,0.00017098322859965265,0.0
14,adam,0.001,0.0011321633064653724,0.00032838737934071105,0.0006451058252423536,0.00015867009096837137,0.0,0.0011183448368683457,0.0003122396592516452,0.0006640470819547772,0.00014205808111000806,0.0
15,adam,0.001,0.0010937670158455148,0.0003140853859804338,0.0006417509648599662,0.00013793067228107248,0.0,0.001126506831496954,0.00029682423337362707,0.0006914119003340602,0.0001382706977892667,0.0
16,adam,0.001,0.0010713172378018498,0.00029674061443074606,0.0006491090134659316,0.00012546759580800426,0.0,0.0010781767778098583,0.00029305307543836534,0.0006799549446441233,0.00010516874317545444,0.0
