greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,4.117994617665915e-16,2.0292842624102506e-08,1.1312886986143021e-08,2.5292295188772403e-08,8.569958348941802e-08,2.827312984843289e-07
gamma,2048,3.215053043063768e-14,1.793056899003422e-07,8.811110747634952e-08,1.644536509748384e-07,7.394752725664585e-07,2.9678959414525252e-06
vega,2048,8.389514975634771e-18,2.896465945878662e-09,2.3195323919020607e-09,4.93200124906945e-09,7.565118096408696e-09,8.33085728180194e-09
theta,2048,1.0368530764546097e-15,3.2200203049897214e-08,4.396653404644852e-09,1.1457942799414359e-09,1.0271912204179435e-07,8.504579628587638e-07
rho,2048,4.072756431702158e-14,2.0181071407886544e-07,1.9212107041381447e-07,2.835902975784066e-07,3.602470335906105e-07,3.886764163851808e-07
