greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,2.463456652079765e-10,1.5695402677471403e-05,2.7580400127950645e-06,2.1455976871198586e-06,0.00011245360497741662,0.0001227312519099799
gamma,2048,8.079158389973018e-05,0.008988413870073528,0.0013672022270107926,8.841042513960641e-05,0.0352451863767979,0.10367391862462227
vega,2048,1.303989875271625e-16,1.1419237607089298e-08,7.2760400585249735e-09,1.868897176425521e-08,4.123854017407113e-08,5.260463670220261e-08
theta,2048,1.1941381524932868e-18,1.092766284478656e-09,8.327032938655364e-10,1.8650151863836004e-09,3.136299776135275e-09,3.8079665878876234e-09
rho,2048,3.2090501408304954e-06,0.0017913821872594623,0.0012533591088240447,0.0029967193422556267,0.0059009392922964475,0.006961887594469474
