greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,6.485654412912301e-19,8.053356078624799e-10,7.613175807040051e-10,1.026061285935853e-09,1.0814804506098507e-09,1.090342330312133e-09
gamma,2048,2.276858585688499e-15,4.7716439365154844e-08,3.808684348213489e-08,7.738525063527568e-08,1.2148343853629616e-07,1.902972359135724e-07
vega,2048,1.4768911350856353e-17,3.843034133449292e-09,3.1433349557410343e-09,6.930248663827853e-09,9.658392388645076e-09,9.872751949302483e-09
theta,2048,2.9421902615498383e-21,5.424196034021851e-11,3.452945145521885e-11,1.1103789276933895e-10,1.384371945550855e-10,1.4308776385973943e-10
rho,2048,1.7311339600707706e-13,4.1606897986641237e-07,3.744058340534562e-07,6.128976790198415e-07,7.072621639070408e-07,7.43427450600187e-07
