greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,5.513605668877944e-16,2.3481068265472813e-08,1.2003408347493813e-08,2.6530350635822756e-08,9.947165843127153e-08,3.345667572984823e-07
gamma,2048,4.857158551680152e-14,2.2038962207146127e-07,9.691521590766431e-08,1.715195970586336e-07,8.95919708039371e-07,3.855354064441485e-06
vega,2048,1.0712179247031132e-17,3.2729465695350316e-09,2.4819335248094947e-09,5.598270505502433e-09,9.61287407813538e-09,1.0881707646070993e-08
theta,2048,8.706731594653383e-16,2.9507171322668975e-08,4.272198434179788e-09,1.3581793342765102e-09,7.829935693915573e-08,7.014236872715518e-07
rho,2048,1.9164509564033174e-14,1.384359402902049e-07,1.2060478295484697e-07,2.2428205661562115e-07,3.084889862248197e-07,3.3875345328837625e-07
