greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,8.207092953901226e-18,2.8648024284235076e-09,2.2758628396881813e-09,5.386540985474752e-09,6.4954611719847395e-09,6.678062963727527e-09
gamma,2048,2.406966394557556e-15,4.906084380193186e-08,3.942435995866252e-08,8.069515644582025e-08,1.2594873771976096e-07,1.745988793544484e-07
vega,2048,1.6885387892637152e-18,1.2994378743378673e-09,1.1173292653105698e-09,1.94095798877747e-09,2.3241792651562677e-09,2.3745770905136965e-09
theta,2048,1.532876140591025e-21,3.915196215505712e-11,2.1474997114238024e-11,5.264550878569805e-11,1.7552510514495787e-10,2.94853613747037e-10
rho,2048,2.3938636841039245e-14,1.547211583495911e-07,1.2408764161862523e-07,2.6886637166656513e-07,3.6036402151218283e-07,3.917281274912199e-07
