epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count
1,adam,0.001,0.5057640578597784,0.00447035813704133,0.0,0.0,0.0,0.0,0.13401370914652944,0.3083214573562145,0.0,0.0,0.05895852216053754,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,1,0,0
2,adam,0.001,0.09974194038659334,0.004073312855325639,0.0,0.0,0.0,0.0,0.05158056365326047,0.03235977981239557,0.0,0.0,0.011728283890988678,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
3,adam,0.001,0.05775243183597922,0.0038017054612282664,0.0,0.0,0.0,0.0,0.028492730576545,0.016919358749873936,0.0,0.0,0.008538636728189886,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
4,adam,0.001,0.03886968735605478,0.003449910378549248,0.0,0.0,0.0,0.0,0.023835393600165844,0.007055394031340256,0.0,0.0,0.004528988531092182,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
5,adam,0.001,0.03126673540100455,0.0027082186425104737,0.0,0.0,0.0,0.0,0.02003697259351611,0.004286669834982604,0.0,0.0,0.004234874388203025,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
6,adam,0.001,0.02633869694545865,0.002645534055773169,0.0,0.0,0.0,0.0,0.017375669442117214,0.003586373059079051,0.0,0.0,0.002731120039243251,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
7,adam,0.001,0.021995644783601165,0.002340435894438997,0.0,0.0,0.0,0.0,0.014957694569602609,0.002582470915513113,0.0,0.0,0.002115043142111972,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
8,adam,0.001,0.01762437680736184,0.0019853848934872076,0.0,0.0,0.0,0.0,0.011890152469277382,0.0019424851489020512,0.0,0.0,0.0018063540919683874,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
9,adam,0.001,0.012882384122349322,0.0017345574160572141,0.0,0.0,0.0,0.0,0.008372622251044959,0.0014693215198349208,0.0,0.0,0.0013058831682428718,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
10,adam,0.001,0.008537714544218034,0.0013445358927128837,0.0,0.0,0.0,0.0,0.005144102033227682,0.00104343058046652,0.0,0.0,0.0010056461833301,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
11,adam,0.001,0.0058562534977681935,0.0009893585011013784,0.0,0.0,0.0,0.0,0.0033333120809402317,0.0007253177318489179,0.0,0.0,0.0008082651766017079,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
12,adam,0.001,0.004839408793486655,0.0007578083022963256,0.0,0.0,0.0,0.0,0.0026347235834691674,0.000627392451860942,0.0,0.0,0.0008194844122044742,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
13,adam,0.001,0.004366363049484789,0.0007299894423340447,0.0,0.0,0.0,0.0,0.0024985576746985316,0.00048222537952824496,0.0,0.0,0.0006555905529239681,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
14,adam,0.001,0.003995715291239321,0.0006754379792255349,0.0,0.0,0.0,0.0,0.002433832793030888,0.000404123988118954,0.0,0.0,0.0004823204581043683,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
15,adam,0.001,0.003711497935000807,0.0006400751517503522,0.0,0.0,0.0,0.0,0.0022665398428216577,0.000323181437124731,0.0,0.0,0.00048170151785598136,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
16,adam,0.001,0.003588550694985315,0.0006379542392096482,0.0,0.0,0.0,0.0,0.002109963374095969,0.0002884479799831752,0.0,0.0,0.0005521850980585441,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
17,adam,0.001,0.00344510780996643,0.000641808655927889,0.0,0.0,0.0,0.0,0.0019871254480676726,0.00027694015261658933,0.0,0.0,0.0005392335770011414,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
18,adam,0.001,0.0033457344106864184,0.000623181949777063,0.0,0.0,0.0,0.0,0.0019673215283546597,0.00025987616390921175,0.0,0.0,0.0004953547795594204,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
19,adam,0.001,0.0035459855280350894,0.0006173413057695143,0.0,0.0,0.0,0.0,0.002150259490008466,0.0002473438253218774,0.0,0.0,0.0005310408960212953,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
20,adam,0.001,0.003371805709321052,0.0006114193965913728,0.0,0.0,0.0,0.0,0.00202241116494406,0.00023967013294168282,0.0,0.0,0.0004983050494047347,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
21,adam,0.001,0.0032087089493870735,0.0005835415286128409,0.0,0.0,0.0,0.0,0.0019428842497291043,0.00022130680008558556,0.0,0.0,0.0004609763163898606,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
22,adam,0.001,0.003074368927627802,0.000579858293349389,0.0,0.0,0.0,0.0,0.0018219523335574195,0.00020269957894925028,0.0,0.0,0.00046985873268567957,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
23,adam,0.001,0.003063757438212633,0.0005535791424335912,0.0,0.0,0.0,0.0,0.0018366549484198913,0.00020260861128917895,0.0,0.0,0.00047091471060412005,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
24,adam,0.001,0.0030798517109360546,0.0005752214128733613,0.0,0.0,0.0,0.0,0.0018299134681001306,0.0002004323814617237,0.0,0.0,0.0004742844139400404,0.0,0.1411816030740738,0.0024972253013402224,0.0,0.0,0.0,0.0,0.06218758970499039,0.055264912545681,0.0,0.0,0.0212318766862154,0.0,0,0,0
25,adam,0.001,0.0030944370955694467,0.000566961505683139,0.0,0.0,0.0,0.0,0.0018706665869103745,0.0001834607119235443,0.0,0.0,0.00047334822738775983,0.0,0.0029894572217017412,0.0005585317849181592,0.0,0.0,0.0,0.0,0.0016840168973430991,0.00025961489882320166,0.0,0.0,0.00048729372792877257,0.0,1,0,0
26,adam,0.001,0.0030338822689373046,0.0005693456405424513,0.0,0.0,0.0,0.0,0.001785234606359154,0.0002181509480578825,0.0,0.0,0.0004611510921677109,0.0,0.0029894572217017412,0.0005585317849181592,0.0,0.0,0.0,0.0,0.0016840168973430991,0.00025961489882320166,0.0,0.0,0.00048729372792877257,0.0,0,0,0
27,adam,0.001,0.0029725463537033647,0.0005417737738753203,0.0,0.0,0.0,0.0,0.0017850272852228954,0.000196253811736824,0.0,0.0,0.0004494914610404521,0.0,0.0029894572217017412,0.0005585317849181592,0.0,0.0,0.0,0.0,0.0016840168973430991,0.00025961489882320166,0.0,0.0,0.00048729372792877257,0.0,0,0,0
