greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,5.261470644684359e-14,2.2937895816060283e-07,5.702670181747936e-08,1.0826601075930582e-07,7.263244322519568e-07,4.378102612001555e-06
gamma,2048,3.106244916469095e-10,1.7624542310281693e-05,1.5008875441629444e-06,1.2127245274051733e-06,1.4804489856512503e-05,0.0005999466590509428
vega,2048,4.549031372125196e-13,6.744650748649033e-07,5.330078105100709e-07,1.0256816922279976e-06,1.9802468089960803e-06,3.458767872846491e-06
theta,2048,2.7065839917687383e-11,5.202484014169326e-06,1.7441660729924745e-07,5.794511957930846e-09,1.108054618228211e-06,0.0002319444836804685
rho,2048,2.406979219703914e-21,4.906097450829849e-11,3.939901788190712e-11,7.766773474360277e-11,8.533814960243192e-11,8.714895471939599e-11
