rho,kappa,gamma,bar_v,v0,moneyness,tau,r,price_ann_iv,price_heston_cf,price_error,delta_ann_iv,delta_heston_cf,delta_error,vega_ann_iv,vega_heston_cf,vega_error,theta_ann_iv,theta_heston_cf,theta_error,rho_ann_iv,rho_heston_cf,rho_error,gamma_ann_iv,gamma_heston_cf,gamma_error
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.05,0.01,0.1999211970404643,0.19992155029574155,-3.5325527725227346e-07,-0.9841509848024926,-0.9841263683077565,-2.4616494736173777e-05,0.007290551996046597,0.007375097273603276,-8.454527755667914e-05,-0.020814681727455372,-0.020833534888466954,1.885316101158177e-05,-0.04934549448042133,-0.04936113224709735,1.563776667602018e-05,0.512566349544735,0.513551521154767,-0.0009851716100319763
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.06218750000000001,0.01,0.20026101291762843,0.20026139076550054,-3.778478721017109e-07,-0.9720399010320622,-0.9720174496782623,-2.2451353799857188e-05,0.013075388769620892,0.01320599590955901,-0.00013060713993811798,-0.0346387523711349,-0.03462775982478164,-1.0992546353262578e-05,-0.060816345435938404,-0.060811623359723135,-4.722076215268878e-06,0.7434346527542988,0.744549822463263,-0.001115169708964192
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.074375,0.01,0.2007564887953659,0.2007567664251929,-2.7762982701684535e-07,-0.95862628979471,-0.9585927992782888,-3.349051642120848e-05,0.019639157398097584,0.01981244721157699,-0.00017328981347940545,-0.04627500555916066,-0.046281286750700375,6.281191539711517e-06,-0.07202702286346865,-0.07196755605993191,-5.946680353674516e-05,0.9388556583604099,0.9405187359029661,-0.001663077542556235
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.0865625,0.01,0.2013794948418306,0.20138037663982844,-8.817979978426038e-07,-0.9447930723131011,-0.9447214665976573,-7.16057154437344e-05,0.02656265997752195,0.02677479346668782,-0.0002121334891658673,-0.055592341701449895,-0.05570029569574895,0.00010795399429905372,-0.08300277261425115,-0.0828539504147729,-0.00014882219947824626,1.097388224905455,1.0997005342293527,-0.002312309323897699
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.09875,0.01,0.20210330126972575,0.20210648966588995,-3.188396164199858e-06,-0.931046683303319,-0.9309123893118377,-0.000134293991481238,0.03358500476471567,0.03383080795269755,-0.00024580318798188283,-0.0628833043767766,-0.06315879082953767,0.0002754864527610701,-0.09375427834602296,-0.09350009461014182,-0.00025418373588113885,1.224070371109987,1.2264966242905935,-0.002426253180606519
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.11093750000000001,0.01,0.2029058146384547,0.20291331592164763,-7.501283192934416e-06,-0.9176458326524233,-0.9174471055802063,-0.0001987270722170198,0.04055332326002511,0.04082290410086553,-0.0002695808408404235,-0.0685822344229933,-0.06900226830287279,0.0004200338798794889,-0.10427543898308507,-0.10393412660530106,-0.0003413123777840088,1.3249642285926584,1.3265414771493838,-0.0015772485567253636
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.123125,0.01,0.20377014400617288,0.20378315785905676,-1.3013852883880794e-05,-0.9047129164964172,-0.9044713587777655,-0.00024155771865164155,0.047379466951281674,0.04765908713837236,-0.0002796201870906845,-0.0730822261135137,-0.07354861516667302,0.0004663890531593218,-0.11456586347707036,-0.11418123015100627,-0.00038463332606408773,1.4049787202107555,1.405045066460577,-6.634624982138071e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.1353125,0.01,0.20468337397486558,0.20470187794074923,-1.8503965883653883e-05,-0.892310753874617,-0.8920514717126173,-0.00025928216199966325,0.05401222727780568,0.054287801485561615,-0.0002755742077559381,-0.07663849145747868,-0.0770629173788854,0.00042442592140672086,-0.12464937607375892,-0.12426329467174849,-0.0003860814020104353,1.467839979542382,1.4663641999839374,0.0014757795584445788
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.14750000000000002,0.01,0.20563500965755588,0.2056582434606119,-2.3233803056021962e-05,-0.8804700167107786,-0.8802079118309654,-0.000262104879813263,0.06042479388567293,0.06068233964365455,-0.00025754575798161983,-0.07940724630960774,-0.07975775383660516,0.00035050752699741783,-0.13456253073994992,-0.1341991245064942,-0.00036340623345570977,1.516759196173404,1.5139998571394013,0.002759339034002606
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.1596875,0.01,0.20661626740523986,0.2066433306911336,-2.7063285893746958e-05,-0.869192687399842,-0.8689351286308986,-0.0002575587689434,0.06660678667480585,0.06683124742875668,-0.0002244607539508281,-0.08152155866878608,-0.08180093381368371,0.00027937514489763393,-0.14433445169759715,-0.14400481955233768,-0.0003296321452594675,1.5545566873024441,1.5507204693039043,0.003836217998539837
