quantity,primary,mse,rmse,mae,mape_pct,max_abs_error
price,True,4.200075325521413e-10,2.0494085306549822e-05,1.7279698875725952e-05,0.016461147996186115,5.024501793782221e-05
delta,True,2.5474823708072502e-08,0.00015960834473194847,0.00012288314433931045,0.03380225127825419,0.000526060307732279
vega,True,1.0816565058273362e-07,0.000328885467272018,0.00027888622103685505,0.14186486516180702,0.0008078349263993534
theta,True,1.0456574320626965e-08,0.00010225739249866957,6.257787995808958e-05,0.06287443434857701,0.0008242528233997626
rho,True,6.273675240962363e-07,0.0007920653534249786,0.0006445334419775823,0.1603959046752956,0.0017684678416880484
gamma,False,3.648646301872992e-06,0.001910143005607955,0.001312720727649318,0.125736075923038,0.00816106719367582
