epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,dynamic_refresh,dynamic_refresh_count
1,adam,0.001,2.2389399874955416,2.2368169873952866,0.0,0.0,0.0,0.0,2.177818274440749e-14,0.0021229831254458986,0.0,0.0,0.0,0.0,1.583278775215149,1.5809271335601807,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.002351585077121854,0.0,0.0,0.0,0.0,0,0
2,adam,0.001,0.8528895555064082,0.8508220231160522,0.0,0.0,0.0,0.0,2.1795370637711502e-14,0.0020675228515756316,0.0,0.0,0.0,0.0,0.6723774075508118,0.6701526045799255,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.0022247941233217716,0.0,0.0,0.0,0.0,0,0
3,adam,0.001,0.5336106661707163,0.5315206870436668,0.0,0.0,0.0,0.0,2.177985490655938e-14,0.0020899777955492027,0.0,0.0,0.0,0.0,0.39158740639686584,0.38956812024116516,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.002019281964749098,0.0,0.0,0.0,0.0,0,0
4,adam,0.001,0.38359855860471725,0.3816535007208586,0.0,0.0,0.0,0.0,2.176651497143818e-14,0.0019450626423349604,0.0,0.0,0.0,0.0,0.26153114438056946,0.2598286271095276,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.0017025199485942721,0.0,0.0,0.0,0.0,0,0
5,adam,0.001,0.5207448098808527,0.5188263580203056,0.0,0.0,0.0,0.0,2.177578130674035e-14,0.0019184559059794992,0.0,0.0,0.0,0.0,0.4509342312812805,0.4489486813545227,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.0019855538848787546,0.0,0.0,0.0,0.0,0,0
6,adam,0.001,0.5515910908579826,0.5494228471070528,0.0,0.0,0.0,0.0,2.180505942407867e-14,0.0021682490259991027,0.0,0.0,0.0,0.0,0.4290962219238281,0.427609920501709,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.0014863013057038188,0.0,0.0,0.0,0.0,0,0
7,adam,0.001,0.3916069408878684,0.38961121439933777,0.0,0.0,0.0,0.0,2.1804575549890106e-14,0.001995728198380675,0.0,0.0,0.0,0.0,0.285428524017334,0.2832539677619934,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.002174545079469681,0.0,0.0,0.0,0.0,0,0
8,adam,0.001,0.31680395640432835,0.31499188393354416,0.0,0.0,0.0,0.0,2.1784263673345168e-14,0.0018120695385732688,0.0,0.0,0.0,0.0,0.24957799911499023,0.2476920783519745,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.0018859270494431257,0.0,0.0,0.0,0.0,0,0
9,adam,0.001,0.3163767382502556,0.3142984416335821,0.0,0.0,0.0,0.0,2.1771210412554502e-14,0.0020782981446245685,0.0,0.0,0.0,0.0,0.28346163034439087,0.2815365791320801,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.001925036427564919,0.0,0.0,0.0,0.0,0,0
10,adam,0.001,0.2850706223398447,0.28312838077545166,0.0,0.0,0.0,0.0,2.183499471987005e-14,0.0019422457262407988,0.0,0.0,0.0,0.0,0.23220624029636383,0.23016804456710815,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.0020381889771670103,0.0,0.0,0.0,0.0,0,0
11,adam,0.001,0.3254872504621744,0.3235393101349473,0.0,0.0,0.0,0.0,2.178613122879263e-14,0.0019479407128528692,0.0,0.0,0.0,0.0,0.24063733220100403,0.23861990869045258,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.0020174274686723948,0.0,0.0,0.0,0.0,0,0
12,adam,0.001,0.3230790412053466,0.32097678165882826,0.0,0.0,0.0,0.0,2.1784878440593863e-14,0.002102257189108059,0.0,0.0,0.0,0.0,0.29138511419296265,0.28934308886528015,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.002042029518634081,0.0,0.0,0.0,0.0,0,0
13,adam,0.001,0.28154552914202213,0.2795643201097846,0.0,0.0,0.0,0.0,2.179792959703705e-14,0.001981207860808354,0.0,0.0,0.0,0.0,0.22275342047214508,0.22076182067394257,0.0,0.0,0.0,0.0,3.993728958651133e-12,0.001991596072912216,0.0,0.0,0.0,0.0,0,0
