greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,2.229665790220171e-18,1.4932065464027979e-09,1.106056945024311e-09,2.75941734462215e-09,4.535923848886236e-09,4.957145305350963e-09
gamma,2048,2.1699072435567627e-15,4.6582263186289724e-08,3.6779978084999136e-08,7.726511764283294e-08,1.235560730650231e-07,1.74297239197152e-07
vega,2048,1.475176369060723e-18,1.214568387971926e-09,1.01914774808655e-09,1.892620621335439e-09,2.6292014165818474e-09,5.443950290562327e-09
theta,2048,2.1501583872530032e-21,4.6369800379697593e-11,3.2641472627581956e-11,8.174361257329288e-11,1.0383989633433452e-10,1.7243383804155243e-10
rho,2048,1.9937641616032253e-13,4.465158632795956e-07,3.8796345356867147e-07,7.252313530714538e-07,8.070982959074157e-07,8.164268826549304e-07
