greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,1.8852838574370803e-16,1.373056392664584e-08,8.207850115295241e-09,1.8409414689890544e-08,5.145356634581044e-08,1.7150560438494722e-07
gamma,2048,1.745646833628115e-14,1.3212292888170905e-07,7.460080639273938e-08,1.5456042481432062e-07,4.758224207614125e-07,2.278899116525679e-06
vega,2048,1.4511528117687264e-18,1.204638041807051e-09,8.639525629907566e-10,2.2074801375726593e-09,3.629630079271528e-09,3.859531666483562e-09
theta,2048,1.6228665360059697e-15,4.0284817686145356e-08,5.162805533323481e-09,1.5545831372198995e-09,1.4780536672934187e-07,1.3237613431527073e-06
rho,2048,2.5342659831296078e-14,1.591937807557069e-07,1.5556343171193056e-07,2.0506128086683615e-07,2.430216236226634e-07,2.6316393575420705e-07
