moneyness,tau,r,iv_market,weight
0.9,0.5,0.03,0.4504230320453644,1.0
0.95,0.75,0.03,0.45014330744743347,1.0
1.0,1.0,0.03,0.4509802460670471,1.0
1.05,1.5,0.03,0.4498480558395386,1.0
1.1,2.0,0.03,0.4465458393096924,1.0
