greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,3.4346663090788774e-16,1.8532852746080074e-08,7.80731301667728e-09,2.26844890463887e-08,7.524110019536954e-08,2.6100413599849936e-07
gamma,2048,2.0942433767532247e-13,4.5762903937067026e-07,1.25131878617131e-07,1.9558122753560168e-07,1.8575739362702843e-06,9.070641347891373e-06
vega,2048,4.6660706034686195e-21,6.83086422311893e-11,5.4596998477815695e-11,1.2319948949901514e-10,1.4764697540969873e-10,1.5209898618362416e-10
theta,2048,5.792778596487951e-11,7.611030545522696e-06,3.543475086239498e-07,1.5084634749640262e-09,5.944870614946187e-07,0.00022939356827733626
rho,2048,9.244619653129858e-18,3.0404966129120844e-09,2.7195491617421645e-09,4.301224718061824e-09,4.563358750597768e-09,4.682676885137127e-09
