region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error
full,price,32761,0.0569887859354257,0.2387232412971676,0.2353330481146332,-18.755017121937716,4491.992042405346,0.29429928066375877,0.3247814807491663,0.32889203118713467,
full,delta,32761,0.09435441481259388,0.30717163738306613,0.23027525237449945,-0.36926670936220796,86.13812725982083,0.5116070247832423,0.8591685443175994,1.1022576735164242,0.14255426769228968
full,gamma,32761,3.1955116197699254,1.7875994013676346,1.3502252180421082,-1.0545909791427048,7974.2188340142275,2.3729722515545566,5.199753478012289,30.30097710741373,0.42811947214798934
full,vega,32761,0.07020686067458003,0.26496577264729876,0.2480025483473251,-5.30025319905327,234.20735544071172,0.35175551399426713,0.3871494087702533,0.39185056724752737,0.18572485123839585
full,theta,32761,0.005747200090723897,0.07581029013744703,0.056666815475185095,-9.997322046075519,419.2304022141029,0.08304180741513084,0.17398293884387744,1.4525144212445718,0.05476324561750426
full,rho,32761,0.21164854214701145,0.4600527601775816,0.3557040540899815,-0.685382158289106,147.78862707037314,0.796746426000214,1.1465105018059687,1.308826621601554,0.20800563318284132
full,pde_residual,32761,0.003792364936931605,0.06158218035220583,0.03639826955472604,,,0.05818321639076618,0.11380763835465456,1.4793703655427943,
short_maturity,price,905,0.08377688387274068,0.28944236710050014,0.2841680524218849,-19.46691381629814,104430.32921927952,0.3270009735535361,0.328834690723098,0.32889203118713467,
short_maturity,delta,905,0.3782929792529312,0.6150552652021859,0.44605286370592667,-0.8328557930484128,1432.4392020917055,0.9828118147629964,1.0958230007198988,1.1022576735164242,0.23502886426333602
short_maturity,gamma,905,26.107206736773268,5.109521184687785,3.0056167838431493,-0.26020370180606966,239416.01322586808,8.533139676544389,18.955720485222816,30.30097710741373,0.9074618967635899
short_maturity,vega,905,0.003707914308338733,0.060892645765631935,0.033825958725965825,-0.21885290702459215,2531.3913321720534,0.12269864098499894,0.19415936400881206,0.2004385730986524,0.030450601482500488
short_maturity,theta,905,0.09569990767115322,0.3093540167367368,0.1997782978964794,-10.705213779487627,6543.21323698374,0.4532404191711088,1.3401003873556634,1.4525144212445718,0.19095025078852487
short_maturity,rho,905,0.00021055595954134037,0.01451054649354532,0.012003697353206258,0.16717550154050476,2556.7284558744877,0.02438403070384837,0.036550692056089566,0.03703142072030286,0.011746501965465906
short_maturity,pde_residual,905,0.092148823435589,0.3035602467972198,0.17754480355701308,,,0.4662099113625324,1.3189067975475937,1.4793703655427943,
atm,price,4887,0.06153192226554287,0.24805628850231326,0.24579463175718394,-114.6059705651056,677.8261030616691,0.2942326658149289,0.3217150070477602,0.32881598505846416,
atm,delta,4887,0.0360195448175928,0.18978815773802327,0.17583994835825917,-7.256791285778535,43.59144138535614,0.25094280454749657,0.45296284651341356,0.876325663433347,0.12445001391074302
atm,gamma,4887,7.119164989145677,2.668176341463524,1.8170078873249218,-0.665665204204885,65.4261853245665,2.8534935700283928,10.276819728809635,30.30097710741373,0.45098119973481876
atm,vega,4887,0.11044975869986608,0.33233982412564717,0.3280389601751849,-27.79236576623475,86.45101983336903,0.3839315642002591,0.3911184743002623,0.39185056724752737,0.23619958130925114
atm,theta,4887,0.00530723335497307,0.0728507608400425,0.06436768712584183,-2.1962398744775093,159.84419810006477,0.10079981832408345,0.20543516840700446,0.4277137300742014,0.06061153917639751
atm,rho,4887,0.15082479186760955,0.3883616766206593,0.3287877462447508,-1.0807169291349665,76.52080266084077,0.6264335174774367,0.7390565034509181,0.7883188601450256,0.20606337958475587
atm,pde_residual,4887,0.0011507785712849892,0.033923127380667446,0.031789031969683114,,,0.04501561039364428,0.062089752511836155,0.201719997211083,
hard,price,135,0.10141892036156461,0.31846337365788957,0.31839065486635265,-1205.2906642950545,9241.130505909008,0.3271642977928667,0.32879657060268985,0.32881598505846416,
hard,delta,135,0.16561051570327656,0.4069527192479202,0.3454055492051147,-2.1167660151222436,64.90225966017012,0.6405095779944104,0.8592382048026012,0.876325663433347,0.21606865108005524
hard,gamma,135,140.5031888472922,11.853404103770874,10.433825428240578,-4.681309893704624,89.1244546015925,16.219926653113305,29.816711021498552,30.30097710741373,0.8126460608813721
hard,vega,135,0.01857980311156511,0.13630775147277982,0.12587670395697131,-4.5726492058721,100.84878141576871,0.1874854741755451,0.20021589472354556,0.2004385730986524,0.10929581362344648
hard,theta,135,0.04222658118850909,0.20549107325747532,0.1917459254928893,-3.2761481316891814,89.3296732166006,0.2639372776506229,0.4202335548143927,0.4277137300742014,0.15432727200435903
hard,rho,135,0.0001825582334087864,0.013511411229356703,0.012432421338158021,-1.1220152948798394,314.05574581514344,0.019997510447221745,0.025659458193071392,0.026523945181841483,0.012227670365326395
hard,pde_residual,135,0.005072880616804119,0.07122415753664005,0.05370359200723244,,,0.12309932725933764,0.19834417860280165,0.201719997211083,
