epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde
11,adam,5e-05,-0.0008043761299632024,-0.0008241647010436282,0.0,0.0,0.0,0.0,6.047625049632188e-06,1.0116637731982792e-06,0.0,0.0,1.2729275681522267e-05,0.0,-0.0007905805832706392,-0.0008529567858204246,0.0,0.0,0.0,0.0,1.0910636774497107e-05,7.859832749090856e-07,0.0,0.0,5.067959500593133e-05,0.0,1,0,0,-0.0008797208429314196,-0.0008797208429314196,1.0008801079108078
12,adam,5e-05,-0.0008830050828692038,-0.0009040834047482349,0.0,0.0,0.0,0.0,9.517285320725932e-06,1.019948811631366e-06,0.0,0.0,1.0541090233573414e-05,0.0,-0.0008847189601510763,-0.0009331483743153512,0.0,0.0,0.0,0.0,1.0721182661654893e-05,9.587284921508399e-07,0.0,0.0,3.6749483115272596e-05,0.0,1,0,0,-0.0009596586460247636,-0.0009596586460247636,1.0009601192657174
13,adam,5e-05,-0.0009642574514145963,-0.000983691425062716,0.0,0.0,0.0,0.0,7.263570893201177e-06,1.030034596283258e-06,0.0,0.0,1.1140379655216748e-05,0.0,-0.000962499063462019,-0.0010127027053385973,0.0,0.0,0.0,0.0,9.231586773239542e-06,7.731853202130878e-07,0.0,0.0,4.019881089334376e-05,0.0,1,0,0,-0.0010395902208983898,-0.0010395902208983898,1.0010401307821166
14,adam,5e-05,-0.001047207260853611,-0.0010641543995006941,0.0,0.0,0.0,0.0,6.38223382054548e-06,9.662843325486392e-07,0.0,0.0,9.598616429684625e-06,0.0,-0.0010336381383240223,-0.001092076301574707,0.0,0.0,0.0,0.0,8.818205969873816e-06,9.71045665210113e-07,0.0,0.0,4.864893708145246e-05,0.0,1,0,0,-0.001119515742175281,-0.001119515742175281,1.0011201426338403
15,adam,5e-05,-0.0011279487735009752,-0.0011445226773503236,0.0,0.0,0.0,0.0,6.090265713964982e-06,8.753868208088988e-07,0.0,0.0,9.608267589555908e-06,0.0,-0.0011213626712560654,-0.0011743091745302081,0.0,0.0,0.0,0.0,8.755370799917728e-06,7.537811370639247e-07,0.0,0.0,4.3437303247628734e-05,0.0,1,0,0,-0.001199435326270759,-0.001199435326270759,1.0012001549365015
16,adam,5e-05,-0.0012089671436115168,-0.001224611623911187,0.0,0.0,0.0,0.0,5.941654336538704e-06,8.293563951156102e-07,0.0,0.0,8.873469170112003e-06,0.0,-0.0011988390469923615,-0.001253733760677278,0.0,0.0,0.0,0.0,7.389897746179486e-06,9.917890793076367e-07,0.0,0.0,4.651306880987249e-05,0.0,1,0,0,-0.001279348973184824,-0.001279348973184824,1.0012801676891863
17,adam,5e-05,-0.0012885884862043895,-0.0013045346131548285,0.0,0.0,0.0,0.0,5.600483007128787e-06,8.942234224207368e-07,0.0,0.0,9.451407834148995e-06,0.0,-0.0012875051470473409,-0.0013356992276385427,0.0,0.0,0.0,0.0,8.710790098120924e-06,6.921758881617279e-07,0.0,0.0,3.879105133819394e-05,0.0,1,0,0,-0.0013592566829174757,-0.0013592566829174757,1.0013601808909804
18,adam,5e-05,-0.0013678554896614514,-0.0013839130915584974,0.0,0.0,0.0,0.0,6.490023537253364e-06,1.042173249032885e-06,0.0,0.0,8.525418081717362e-06,0.0,-0.0013610005844384432,-0.0014132922515273094,0.0,0.0,0.0,0.0,8.138802513713017e-06,5.898451718167053e-07,0.0,0.0,4.3563017243286595e-05,0.0,1,0,0,-0.0014391583390533924,-0.0014391583390533924,1.0014401944243865
19,adam,5e-05,-0.0014491672918666154,-0.001464086126361508,0.0,0.0,0.0,0.0,5.599919660426167e-06,8.276854970290515e-07,0.0,0.0,8.491210707006758e-06,0.0,-0.0014405916444957256,-0.0014925035648047924,0.0,0.0,0.0,0.0,9.203921763401013e-06,1.144131147157168e-06,0.0,0.0,4.156382419751026e-05,0.0,1,0,0,-0.001519054058007896,-0.001519054058007896,1.0015202084050547
20,adam,5e-05,-0.0015292982570827007,-0.0015438179834745824,0.0,0.0,0.0,0.0,5.574812661279793e-06,8.176849917163054e-07,0.0,0.0,8.127220098685939e-06,0.0,-0.0015247632982209325,-0.0015743146650493145,0.0,0.0,0.0,0.0,8.74820034368895e-06,1.1065185390179977e-06,0.0,0.0,3.969668978243135e-05,0.0,1,0,0,-0.0015989441890269518,-0.0015989441890269518,1.0016002231818752
21,adam,5e-05,-0.0016082010697573423,-0.0016234484064625576,0.0,0.0,0.0,0.0,6.4057096551550785e-06,9.951360908644347e-07,0.0,0.0,7.846524511023745e-06,0.0,-0.0016056307358667254,-0.0016524526290595531,0.0,0.0,0.0,0.0,7.973827450769022e-06,8.979170615930343e-07,0.0,0.0,3.795012162299827e-05,0.0,1,0,0,-0.0016788283828645945,-0.0016788283828645945,1.001680238404185
22,adam,5e-05,-0.001689586293650791,-0.0017030117305694148,0.0,0.0,0.0,0.0,5.3294425015337765e-06,7.456562300944825e-07,0.0,0.0,7.350359993552047e-06,0.0,-0.00168667733669281,-0.0017322406638413668,0.0,0.0,0.0,0.0,7.645779987797141e-06,7.946814548631664e-07,0.0,0.0,3.712288526003249e-05,0.0,1,0,0,-0.0017587068723514676,-0.0017587068723514676,1.0017602543043096
23,adam,5e-05,-0.0017700576863717288,-0.0017831995501182973,0.0,0.0,0.0,0.0,4.899476863329255e-06,8.238303657037704e-07,0.0,0.0,7.4185557821238035e-06,0.0,-0.0017658056458458304,-0.00181255501229316,0.0,0.0,0.0,0.0,7.53948279452743e-06,6.688448479508224e-07,0.0,0.0,3.854104215861298e-05,0.0,1,0,0,-0.0018385796574875712,-0.0018385796574875712,1.0018402708813905
24,adam,5e-05,-0.0018503222017898224,-0.001862878300016746,0.0,0.0,0.0,0.0,4.974549966618724e-06,7.598903124517165e-07,0.0,0.0,6.8216573652080115e-06,0.0,-0.0018419106490910053,-0.0018909157952293754,0.0,0.0,0.0,0.0,6.866649073344888e-06,6.030739427842491e-07,0.0,0.0,4.153550980845466e-05,0.0,1,0,0,-0.0019184467382729053,-0.0019184467382729053,1.0019202881345686
25,adam,5e-05,-0.0019303808076074347,-0.0019426585713517852,0.0,0.0,0.0,0.0,4.749895992972597e-06,7.592036546100189e-07,0.0,0.0,6.768691733327614e-06,0.0,-0.0019267979077994823,-0.001971956342458725,0.0,0.0,0.0,0.0,8.085726221906953e-06,8.551451173843816e-07,0.0,0.0,3.621750511229038e-05,0.0,1,0,0,-0.0019983083475381136,-0.0019983083475381136,1.0020003062962817
26,adam,5e-05,-0.002008487208513543,-0.002021854728809558,0.0,0.0,0.0,0.0,4.764057692341339e-06,8.876178121397515e-07,0.0,0.0,7.715829639209915e-06,0.0,-0.0020042259711772203,-0.002049744827672839,0.0,0.0,0.0,0.0,7.4261383815610316e-06,1.2306352346058702e-06,0.0,0.0,3.6861914850305766e-05,0.0,1,0,0,-0.002078164368867874,-0.002078164368867874,1.0020803252490686
27,adam,5e-05,-0.002089046174660325,-0.0021015581296524033,0.0,0.0,0.0,0.0,5.312041523097832e-06,8.524793813080578e-07,0.0,0.0,6.347420651309221e-06,0.0,-0.0020802905783057213,-0.0021282576490193605,0.0,0.0,0.0,0.0,6.234299689822365e-06,1.1952627119171666e-06,0.0,0.0,4.053741940879263e-05,0.0,1,0,0,-0.0021580145694315434,-0.0021580145694315434,1.0021603447587653
28,adam,5e-05,-0.002168923558201641,-0.0021807627636007965,0.0,0.0,0.0,0.0,4.440565206209612e-06,8.14536083026951e-07,0.0,0.0,6.5841330325611125e-06,0.0,-0.002169528743252158,-0.002210272941738367,0.0,0.0,0.0,0.0,7.012751211732393e-06,6.856437266833382e-07,0.0,0.0,3.304571509943344e-05,0.0,1,0,0,-0.0022378594148904085,-0.0022378594148904085,1.0022403652911884
29,adam,5e-05,-0.002249950368423015,-0.002261282774270512,0.0,0.0,0.0,0.0,4.812917850927079e-06,6.44042426500846e-07,0.0,0.0,5.8754498866164795e-06,0.0,-0.0022486380767077208,-0.002289745956659317,0.0,0.0,0.0,0.0,6.210542778717354e-06,9.155231737167924e-07,0.0,0.0,3.398196349735372e-05,0.0,1,0,0,-0.0023176984395831823,-0.0023176984395831823,1.0023203863788213
30,adam,5e-05,-0.002329516122699715,-0.0023407704575220123,0.0,0.0,0.0,0.0,4.230169935226513e-06,7.31244195861791e-07,0.0,0.0,6.292903236726488e-06,0.0,-0.002325759269297123,-0.0023693121038377285,0.0,0.0,0.0,0.0,6.079056674934691e-06,6.072940550438943e-07,0.0,0.0,3.686653872136958e-05,0.0,1,0,0,-0.0023975325748324394,-0.0023975325748324394,1.0024004089543346
31,adam,5e-05,-0.0024080894800135866,-0.002419801807263866,0.0,0.0,0.0,0.0,4.530497662358357e-06,7.903198131486988e-07,0.0,0.0,6.3914690144883934e-06,0.0,-0.002406316576525569,-0.0024491138756275177,0.0,0.0,0.0,0.0,6.27858389634639e-06,5.998009555696626e-07,0.0,0.0,3.5919023503083736e-05,0.0,1,0,0,-0.0024773606564849615,-0.0024773606564849615,1.0024804318500238
32,adam,5e-05,-0.0024885082530090585,-0.0024992746475618333,0.0,0.0,0.0,0.0,4.435575561956284e-06,6.792555566903502e-07,0.0,0.0,5.6516053916766396e-06,0.0,-0.0024828643072396517,-0.0025268555618822575,0.0,0.0,0.0,0.0,6.296101219049888e-06,7.324765078919881e-07,0.0,0.0,3.6962563171982765e-05,0.0,1,0,0,-0.002557183848693967,-0.002557183848693967,1.0025604562320793
33,adam,5e-05,-0.002568028517998755,-0.002578587082098238,0.0,0.0,0.0,0.0,3.847666022238627e-06,6.573576740720455e-07,0.0,0.0,6.053618875512257e-06,0.0,-0.002568949945271015,-0.0026088091544806957,0.0,0.0,0.0,0.0,7.0940895966487005e-06,6.411040089915332e-07,0.0,0.0,3.212392402929254e-05,0.0,1,0,0,-0.002637001220136881,-0.002637001220136881,1.0026404811660559
34,adam,5e-05,-0.002648047433467582,-0.002658813784364611,0.0,0.0,0.0,0.0,4.774508227001206e-06,6.428139158742852e-07,0.0,0.0,5.349054873704517e-06,0.0,-0.002648469526320696,-0.0026863394305109978,0.0,0.0,0.0,0.0,5.9132576097908895e-06,6.573167752321751e-07,0.0,0.0,3.1299434340326115e-05,0.0,1,0,0,-0.0027168134693056345,-0.0027168134693056345,1.002720507351458
35,adam,5e-05,-0.002727899351157248,-0.002738227281952277,0.0,0.0,0.0,0.0,4.039410967493495e-06,5.765570705307255e-07,0.0,0.0,5.711981685863066e-06,0.0,-0.0027290722355246544,-0.002765469718724489,0.0,0.0,0.0,0.0,6.258220764721045e-06,5.378743708206457e-07,0.0,0.0,2.9601338610518724e-05,0.0,1,0,0,-0.0027966205962002277,-0.0027966205962002277,1.0028005347875653
36,adam,5e-05,-0.0028073863068129867,-0.002817429121932946,0.0,0.0,0.0,0.0,4.190032598216931e-06,5.603698838285709e-07,0.0,0.0,5.292410264701175e-06,0.0,-0.0028056197334080935,-0.00284522189758718,0.0,0.0,0.0,0.0,5.673321084032068e-06,6.40081907476997e-07,0.0,0.0,3.328863385831937e-05,0.0,1,0,0,-0.0028764221351593733,-0.0028764221351593733,1.0028805630066555
37,adam,5e-05,-0.0028873961709905416,-0.0028969866107217968,0.0,0.0,0.0,0.0,3.939411016062877e-06,5.911352989329544e-07,0.0,0.0,5.059874467860936e-06,0.0,-0.0028851842507719994,-0.0029252099338918924,0.0,0.0,0.0,0.0,6.178995135996956e-06,5.360201384974062e-07,0.0,0.0,3.3310519938822836e-05,0.0,1,0,0,-0.0029562190175056458,-0.0029562190175056458,1.0029605929419763
38,adam,5e-05,-0.0029667848139069974,-0.0029763345373794436,0.0,0.0,0.0,0.0,3.838280761669921e-06,7.287187031579379e-07,0.0,0.0,4.9827349783981845e-06,0.0,-0.0029627291951328516,-0.0030038959812372923,0.0,0.0,0.0,0.0,5.706990123144351e-06,6.487133532573353e-07,0.0,0.0,3.481117892079055e-05,0.0,1,0,0,-0.003036010079085827,-0.003036010079085827,1.0030406234252263
39,adam,5e-05,-0.0030464636074611917,-0.003055998371564783,0.0,0.0,0.0,0.0,3.772802841695011e-06,6.745571052846344e-07,0.0,0.0,5.087406975690101e-06,0.0,-0.003046451834961772,-0.0030841638799756765,0.0,0.0,0.0,0.0,6.250192654988496e-06,5.777258706984867e-07,0.0,0.0,3.0884297302691266e-05,0.0,1,0,0,-0.0031157962512224913,-0.0031157962512224913,1.0031206553897467
40,adam,5e-05,-0.0031254171044565737,-0.0031350975623354316,0.0,0.0,0.0,0.0,4.0179256188821455e-06,7.780585224992365e-07,0.0,0.0,4.884467116994529e-06,0.0,-0.003125999588519335,-0.0031622142996639013,0.0,0.0,0.0,0.0,6.2524804889108054e-06,5.585081908066059e-07,0.0,0.0,2.940363629022613e-05,0.0,1,0,0,-0.003195577533915639,-0.003195577533915639,1.0032006888348726
41,adam,5e-05,-0.003204551510862075,-0.003214272845070809,0.0,0.0,0.0,0.0,4.067488234227312e-06,5.590612701666942e-07,0.0,0.0,5.094804279792697e-06,0.0,-0.003201927524060011,-0.0032418123446404934,0.0,0.0,0.0,0.0,5.835086994920857e-06,4.492966922953201e-07,0.0,0.0,3.3600179449422285e-05,0.0,1,0,0,-0.003275353228673339,-0.003275353228673339,1.0032807230591563
42,adam,5e-05,-0.003285288854385726,-0.003293969843070954,0.0,0.0,0.0,0.0,3.6406144516831773e-06,5.07941724237071e-07,0.0,0.0,4.532415644575849e-06,0.0,-0.003282453864812851,-0.00332259782589972,0.0,0.0,0.0,0.0,5.346367288439069e-06,5.849736339769152e-07,0.0,0.0,3.421276778681204e-05,0.0,1,0,0,-0.0033551242668181658,-0.0033551242668181658,1.003360758996218
43,adam,5e-05,-0.003363055337104015,-0.0033723923843353987,0.0,0.0,0.0,0.0,3.7116949584969916e-06,6.027951098275253e-07,0.0,0.0,5.02248248324122e-06,0.0,-0.0033628728706389666,-0.0034006936475634575,0.0,0.0,0.0,0.0,5.92105016039568e-06,5.217081024966319e-07,0.0,0.0,3.1377941922983155e-05,0.0,1,0,0,-0.0034348901826888323,-0.0034348901826888323,1.003440796178185
44,adam,5e-05,-0.003443301859078929,-0.003452138538705185,0.0,0.0,0.0,0.0,3.775111864001701e-06,5.959644315822743e-07,0.0,0.0,4.4656695905587185e-06,0.0,-0.0034452006220817566,-0.0034795997198671103,0.0,0.0,0.0,0.0,6.030124040989904e-06,5.170761596673401e-07,0.0,0.0,2.785195829346776e-05,0.0,1,0,0,-0.0035146509762853384,-0.0035146509762853384,1.003520834604337
45,adam,5e-05,-0.0035220125719206408,-0.003531329726683907,0.0,0.0,0.0,0.0,3.6883950969013313e-06,6.471250024731035e-07,0.0,0.0,4.981601705367211e-06,0.0,-0.003518788842484355,-0.003557143034413457,0.0,0.0,0.0,0.0,7.513734090025537e-06,5.033584784541745e-07,0.0,0.0,3.033708708244376e-05,0.0,1,0,0,-0.0035944071132689714,-0.0035944071132689714,1.0036008747412912
46,adam,5e-05,-0.0036012223863508552,-0.003610290208598599,0.0,0.0,0.0,0.0,4.0387535023000964e-06,6.03253925035574e-07,0.0,0.0,4.425801620300263e-06,0.0,-0.0036028253380209208,-0.0036380442325025797,0.0,0.0,0.0,0.0,6.3502939156023785e-06,5.803423732686497e-07,0.0,0.0,2.8288211979088373e-05,0.0,1,0,0,-0.003674158127978444,-0.003674158127978444,1.0036809161210634
47,adam,5e-05,-0.003681564121507108,-0.0036899119877489284,0.0,0.0,0.0,0.0,3.500197507833036e-06,6.321747214599327e-07,0.0,0.0,4.215444576516347e-06,0.0,-0.003682389622554183,-0.0037173135206103325,0.0,0.0,0.0,0.0,5.817254987050546e-06,5.006282890462899e-07,0.0,0.0,2.860600761778187e-05,0.0,1,0,0,-0.0037539040204137564,-0.0037539040204137564,1.0037609587429326
48,adam,5e-05,-0.0037608835991704836,-0.0037691425677621737,0.0,0.0,0.0,0.0,3.703076345118461e-06,4.6936108510919894e-07,0.0,0.0,4.0865101880172006e-06,0.0,-0.0037642319221049547,-0.0037967581301927567,0.0,0.0,0.0,0.0,5.459708518174011e-06,5.933999887020036e-07,0.0,0.0,2.647315886861179e-05,0.0,1,0,0,-0.0038336452562361956,-0.0038336452562361956,1.0038410030736276
49,adam,5e-05,-0.00384028215194121,-0.0038482780946651474,0.0,0.0,0.0,0.0,3.3575352205161835e-06,5.411266581489826e-07,0.0,0.0,4.0972980670517245e-06,0.0,-0.0038416071329265833,-0.0038768404629081488,0.0,0.0,0.0,0.0,4.625952897185925e-06,1.3238252449809806e-06,0.0,0.0,2.9283577532623895e-05,0.0,1,0,0,-0.003913382068276405,-0.003913382068276405,1.0039210493462827
50,adam,5e-05,-0.003919321214198135,-0.0039274975133594126,0.0,0.0,0.0,0.0,3.4783060272047805e-06,6.772695595458345e-07,0.0,0.0,4.020772237822712e-06,0.0,-0.003918963950127363,-0.003955136053264141,0.0,0.0,0.0,0.0,4.989365152141545e-06,9.497532005298126e-07,0.0,0.0,3.02325097436551e-05,0.0,1,0,0,-0.003993113059550524,-0.003993113059550524,1.0040010961577714
51,adam,5e-05,-0.003998464613687247,-0.004006630391813815,0.0,0.0,0.0,0.0,3.3397776633137255e-06,7.550807836764761e-07,0.0,0.0,4.07092218068783e-06,0.0,-0.003996211104094982,-0.0040326411835849285,0.0,0.0,0.0,0.0,5.368251549953129e-06,4.966060487276991e-07,0.0,0.0,3.05653375107795e-05,0.0,1,0,0,-0.004072840791195631,-0.004072840791195631,1.0040811460787942
52,adam,5e-05,-0.004077223333297297,-0.004085673746885732,0.0,0.0,0.0,0.0,3.6135699730266424e-06,5.68048688975864e-07,0.0,0.0,4.268817988872797e-06,0.0,-0.004078025463968515,-0.004112478345632553,0.0,0.0,0.0,0.0,5.15145711688092e-06,3.8245431710492994e-07,0.0,0.0,2.8919015676365234e-05,0.0,1,0,0,-0.004152562003582716,-0.004152562003582716,1.004161195835884
53,adam,5e-05,-0.004156499722739682,-0.004164409212535247,0.0,0.0,0.0,0.0,3.6122715485475965e-06,5.633193520537816e-07,0.0,0.0,3.7339103045042066e-06,0.0,-0.004160641226917505,-0.0041934773325920105,0.0,0.0,0.0,0.0,4.894882749795215e-06,1.0999530104527366e-06,0.0,0.0,2.6841402359423228e-05,0.0,1,0,0,-0.004232279025018215,-0.004232279025018215,1.0042412477661655
54,adam,5e-05,-0.004234958061715588,-0.004243485833285376,0.0,0.0,0.0,0.0,3.636082880120739e-06,6.717131721956093e-07,0.0,0.0,4.219987346232301e-06,0.0,-0.004236351232975721,-0.004271115176379681,0.0,0.0,0.0,0.0,4.760416231874842e-06,3.8015994618945115e-07,0.0,0.0,2.962346115964465e-05,0.0,1,0,0,-0.004311992786824703,-0.004311992786824703,1.004321302804488
55,adam,5e-05,-0.004315067577408627,-0.004322792316088453,0.0,0.0,0.0,0.0,3.3717987548698147e-06,5.814972894313541e-07,0.0,0.0,3.7714280693990077e-06,0.0,-0.00431674811989069,-0.004350723698735237,0.0,0.0,0.0,0.0,5.496008270711172e-06,3.8764011378589203e-07,0.0,0.0,2.8091726562706754e-05,0.0,1,0,0,-0.004391699563711882,-0.004391699563711882,1.0044013572088906
56,adam,5e-05,-0.0043945665820501745,-0.004401869286084548,0.0,0.0,0.0,0.0,3.245594541567698e-06,5.271071632506619e-07,0.0,0.0,3.5300664791293457e-06,0.0,-0.004392877221107483,-0.004429187625646591,0.0,0.0,0.0,0.0,4.520724360190798e-06,3.9167278487184376e-07,0.0,0.0,3.139805266982876e-05,0.0,1,0,0,-0.004471403546631336,-0.004471403546631336,1.0044814151879373
57,adam,5e-05,-0.004472799104405567,-0.0044808166567236185,0.0,0.0,0.0,0.0,3.493019676170661e-06,6.339610933991935e-07,0.0,0.0,3.890597355393766e-06,0.0,-0.004476685542613268,-0.0045087337493896484,0.0,0.0,0.0,0.0,6.052476237528026e-06,4.719103969819116e-07,0.0,0.0,2.5523597287246957e-05,0.0,1,0,0,-0.00455110240727663,-0.00455110240727663,1.0045614744025388
58,adam,5e-05,-0.004552195168798789,-0.004559770197374746,0.0,0.0,0.0,0.0,3.4412482108336917e-06,5.488276730858388e-07,0.0,0.0,3.584908569109757e-06,0.0,-0.004552095662802458,-0.0045882100239396095,0.0,0.0,0.0,0.0,4.535459083854221e-06,3.631654124092165e-07,0.0,0.0,3.1215535273076966e-05,0.0,1,0,0,-0.004630796145647764,-0.004630796145647764,1.0046415348519735
59,adam,5e-05,-0.004631254909327254,-0.004638786456780508,0.0,0.0,0.0,0.0,3.246380984478492e-06,5.505879538958425e-07,0.0,0.0,3.73440587964069e-06,0.0,-0.004634811542928219,-0.004667425528168678,0.0,0.0,0.0,0.0,5.891561613680096e-06,5.437526056084607e-07,0.0,0.0,2.61783989117248e-05,0.0,1,0,0,-0.004710487090051174,-0.004710487090051174,1.0047215988748193
60,adam,5e-05,-0.004709828528575599,-0.004717540286947042,0.0,0.0,0.0,0.0,3.3795775209455314e-06,6.009452757638201e-07,0.0,0.0,3.731250714622547e-06,0.0,-0.0047118403017520905,-0.004745295736938715,0.0,0.0,0.0,0.0,5.897417395317461e-06,4.321436506415921e-07,0.0,0.0,2.7125761334900744e-05,0.0,1,0,0,-0.0047901710495352745,-0.0047901710495352745,1.0048016622598381
61,adam,5e-05,-0.004789735103258863,-0.004796893452294171,0.0,0.0,0.0,0.0,3.142810953704611e-06,5.581891251438265e-07,0.0,0.0,3.4573809628568597e-06,0.0,-0.004792816936969757,-0.004824510775506496,0.0,0.0,0.0,0.0,4.747643288283143e-06,5.268007043923717e-07,0.0,0.0,2.6419795176479965e-05,0.0,1,0,0,-0.004869852215051651,-0.004869852215051651,1.0048817292172718
62,adam,5e-05,-0.00486795514007099,-0.004875413287663832,0.0,0.0,0.0,0.0,3.0637855985560236e-06,5.170838051071769e-07,0.0,0.0,3.877146710351553e-06,0.0,-0.004872044548392296,-0.0049030412919819355,0.0,0.0,0.0,0.0,5.256842996459454e-06,3.810221755884413e-07,0.0,0.0,2.535916428314522e-05,0.0,1,0,0,-0.004949528723955154,-0.004949528723955154,1.0049617978750698
63,adam,5e-05,-0.00494734852691181,-0.004954352771164849,0.0,0.0,0.0,0.0,3.234723209288859e-06,5.17652194886864e-07,0.0,0.0,3.251884933774818e-06,0.0,-0.00494392728433013,-0.00498270383104682,0.0,0.0,0.0,0.0,4.996116331312805e-06,4.1418849150431924e-07,0.0,0.0,3.3366621210007e-05,0.0,1,0,0,-0.0050292001105844975,-0.0050292001105844975,1.0050418677646134
