epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk
1882,adam,0.000125,7666.936415195465,5.994841545820236,0.0,0.0,0.0,0.0,10.980026245117188,1.436078205704689,0.0,0.0,7648.525306224823,0.0,2134.30810546875,6.035235404968262,0.0,0.0,0.0,0.0,11.236008644104004,1.4437793493270874,0.0,0.0,2115.593017578125,0.0
1883,adam,0.000125,7627.392166137695,5.990744024515152,0.0,0.0,0.0,0.0,10.94285374879837,1.411975547671318,0.0,0.0,7609.046425819397,0.0,2121.40185546875,6.036953449249268,0.0,0.0,0.0,0.0,11.195140838623047,1.421716332435608,0.0,0.0,2102.748046875,0.0
1884,adam,0.000125,7553.7698793411255,5.99251052737236,0.0,0.0,0.0,0.0,10.909192502498627,1.3856005892157555,0.0,0.0,7535.482778549194,0.0,2107.615234375,6.0387983322143555,0.0,0.0,0.0,0.0,11.152477264404297,1.397915244102478,0.0,0.0,2089.026123046875,0.0
1885,adam,0.000125,7516.24938583374,5.987285226583481,0.0,0.0,0.0,0.0,10.846829414367676,1.3577662631869316,0.0,0.0,7498.057557106018,0.0,2087.26806640625,6.041011333465576,0.0,0.0,0.0,0.0,11.098127365112305,1.3611105680465698,0.0,0.0,2068.767822265625,0.0
1886,adam,0.000125,7442.668749809265,5.997497320175171,0.0,0.0,0.0,0.0,10.801443696022034,1.3248334303498268,0.0,0.0,7424.545237541199,0.0,2070.773193359375,6.042927265167236,0.0,0.0,0.0,0.0,11.05095100402832,1.3321969509124756,0.0,0.0,2052.34716796875,0.0
1887,adam,0.000125,7385.706768989563,5.991138964891434,0.0,0.0,0.0,0.0,10.754123508930206,1.2958935275673866,0.0,0.0,7367.665769577026,0.0,2054.91650390625,6.044456481933594,0.0,0.0,0.0,0.0,11.006026268005371,1.3047761917114258,0.0,0.0,2036.561279296875,0.0
1888,adam,0.000125,7392.57354927063,6.005395859479904,0.0,0.0,0.0,0.0,10.720000743865967,1.280762143433094,0.0,0.0,7374.567218780518,0.0,2045.6966552734375,6.046072959899902,0.0,0.0,0.0,0.0,10.971223831176758,1.2906057834625244,0.0,0.0,2027.3887939453125,0.0
1889,adam,0.000125,7287.487061500549,5.986563980579376,0.0,0.0,0.0,0.0,10.666277587413788,1.2496247068047523,0.0,0.0,7269.584578514099,0.0,2025.5672607421875,6.0482330322265625,0.0,0.0,0.0,0.0,10.91738510131836,1.2551287412643433,0.0,0.0,2007.3465576171875,0.0
1890,adam,0.000125,7208.0199937820435,6.0060601234436035,0.0,0.0,0.0,0.0,10.633317053318024,1.2259801104664803,0.0,0.0,7190.1545486450195,0.0,2011.08544921875,6.049943923950195,0.0,0.0,0.0,0.0,10.873945236206055,1.2309015989303589,0.0,0.0,1992.9306640625,0.0
1891,adam,0.000125,7647.2657170295715,6.0032161474227905,0.0,0.0,0.0,0.0,10.584990859031677,1.2019733116030693,0.0,0.0,7629.475607395172,0.0,1996.565185546875,6.051244258880615,0.0,0.0,0.0,0.0,10.831793785095215,1.2067393064498901,0.0,0.0,1978.4754638671875,0.0
1892,adam,0.000125,7116.750408172607,5.9962175488471985,0.0,0.0,0.0,0.0,10.530149281024933,1.1776941493153572,0.0,0.0,7099.046531200409,0.0,1981.3525390625,6.0537800788879395,0.0,0.0,0.0,0.0,10.783859252929688,1.181625247001648,0.0,0.0,1963.333251953125,0.0
1893,adam,0.000125,7526.546081542969,6.005727589130402,0.0,0.0,0.0,0.0,10.4874929189682,1.1564702540636063,0.0,0.0,7508.8962688446045,0.0,1969.2508544921875,6.05518913269043,0.0,0.0,0.0,0.0,10.745156288146973,1.1624157428741455,0.0,0.0,1951.2880859375,0.0
1894,adam,0.000125,6993.520279884338,6.016777783632278,0.0,0.0,0.0,0.0,10.446615993976593,1.1270699873566628,0.0,0.0,6975.929975032806,0.0,1950.1612548828125,6.057897090911865,0.0,0.0,0.0,0.0,10.690515518188477,1.1302459239959717,0.0,0.0,1932.2825927734375,0.0
1895,adam,0.000125,10132.012256622314,6.017608165740967,0.0,0.0,0.0,0.0,10.407997786998749,1.1070204749703407,0.0,0.0,10114.479538917542,0.0,1942.317626953125,6.059216499328613,0.0,0.0,0.0,0.0,10.658885955810547,1.1192272901535034,0.0,0.0,1924.4803466796875,0.0
1896,adam,0.000125,6858.255940437317,6.0068409740924835,0.0,0.0,0.0,0.0,10.362369298934937,1.0830070450901985,0.0,0.0,6840.803862571716,0.0,1919.1251220703125,6.061910629272461,0.0,0.0,0.0,0.0,10.598163604736328,1.0798872709274292,0.0,0.0,1901.3851318359375,0.0
1897,adam,0.000125,6804.542737007141,6.012758672237396,0.0,0.0,0.0,0.0,10.316148161888123,1.0442104525864124,0.0,0.0,6787.1698346138,0.0,1899.61328125,6.063867568969727,0.0,0.0,0.0,0.0,10.545578956604004,1.0478107929229736,0.0,0.0,1881.9560546875,0.0
1898,adam,0.000125,6738.211580753326,6.025159418582916,0.0,0.0,0.0,0.0,10.261096715927124,1.0184229798614979,0.0,0.0,6720.907093524933,0.0,1884.8416748046875,6.06599235534668,0.0,0.0,0.0,0.0,10.499677658081055,1.024643898010254,0.0,0.0,1867.2513427734375,0.0
1899,adam,0.000125,6669.2978439331055,6.021783888339996,0.0,0.0,0.0,0.0,10.22242385149002,1.0054044425487518,0.0,0.0,6652.048062324524,0.0,1876.856689453125,6.067476749420166,0.0,0.0,0.0,0.0,10.467089653015137,1.0137419700622559,0.0,0.0,1859.308349609375,0.0
1900,adam,0.000125,6631.889937400818,6.024784654378891,0.0,0.0,0.0,0.0,10.183963239192963,0.9878748394548893,0.0,0.0,6614.693238735199,0.0,1861.283935546875,6.069039344787598,0.0,0.0,0.0,0.0,10.421992301940918,0.9894454479217529,0.0,0.0,1843.803466796875,0.0
1901,adam,0.000125,6569.832562446594,6.0206728875637054,0.0,0.0,0.0,0.0,10.14353495836258,0.9681532196700573,0.0,0.0,6552.7001485824585,0.0,1849.9449462890625,6.070661544799805,0.0,0.0,0.0,0.0,10.38347053527832,0.9727617502212524,0.0,0.0,1832.51806640625,0.0
1902,adam,0.000125,9540.785618782043,6.024906426668167,0.0,0.0,0.0,0.0,10.096165955066681,0.948190052062273,0.0,0.0,9523.716261386871,0.0,1836.9786376953125,6.072345733642578,0.0,0.0,0.0,0.0,10.341975212097168,0.9533748030662537,0.0,0.0,1819.6109619140625,0.0
