epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,val_evaluated,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_term,loss_log_var_clamped_term,loss_weight_term,loss_log_var_low,loss_log_var_clamped_low,loss_weight_low,loss_log_var_right,loss_log_var_clamped_right,loss_weight_right,loss_log_var_v_zero,loss_log_var_clamped_v_zero,loss_weight_v_zero
1,adam,0.001,132844099648.44041,0.3746186108328402,0.0,0.0,0.0,0.0,18.684299610555172,3.2758635939098895,1.8541015768423676,132844099646.39204,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,1,0,0,-0.015229427255690098,-0.015229427255690098,1.0153459859385772,0.009700982831418514,0.009700982831418514,0.9903459199124273,0.0037782485596835613,0.0037782485596835613,0.9962288800407051,0.005476274527609348,0.005476274527609348,0.9945386929293099,0.007800118066370487,0.007800118066370487,0.992230223912961
2,adam,0.001,128678112508.78615,0.22759115416556597,0.0,0.0,0.0,0.0,19.849010722711682,3.39186205342412,2.945430607534945,128678112492.2897,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.0317881740629673,-0.0317881740629673,1.0322988144800667,0.021675027906894684,0.021675027906894684,0.9785581874879907,0.012051783502101898,0.012051783502101898,0.9880205483730604,0.016050461679697037,0.016050461679697037,0.98407766059064,0.012678222730755806,0.012678222730755806,0.9874018073648975
3,adam,0.001,141329909935.85825,0.3553733080625534,0.0,0.0,0.0,0.0,38.552860260009766,9.28746709227562,6.368905425071716,141329909897.85193,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.04704039543867111,-0.04704039543867111,1.0481643492831632,0.03858537971973419,0.03858537971973419,0.9621495531736363,0.029961131513118744,0.029961131513118744,0.9704832540310622,0.032357357442379,0.032357357442379,0.9681605408779804,0.01462588831782341,0.01462588831782341,0.9854805504344297
4,adam,0.001,17958489868.739204,0.4342712480574846,0.0,0.0,0.0,0.0,7.697806417942047,3.520245850086212,1.6855907067656517,17958489858.784576,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.060558564960956573,-0.060558564960956573,1.062429816909117,0.05071819946169853,0.05071819946169853,0.9505464973084118,0.044845663011074066,0.044845663011074066,0.9561450389923377,0.045036494731903076,0.045036494731903076,0.9559625935979227,0.018862450495362282,0.018862450495362282,0.98131433226036
5,adam,0.001,6956946774.501581,0.36769905127584934,0.0,0.0,0.0,0.0,2.2920033410191536,1.6454083919525146,0.1659360583871603,6956946771.692535,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.07422687858343124,-0.07422687858343124,1.0770511376146945,0.054088808596134186,0.054088808596134186,0.9473479701225596,0.049947936087846756,0.049947936087846756,0.9512789505151567,0.044686947017908096,0.044686947017908096,0.9562968065454625,0.02010386437177658,0.02010386437177658,0.9800968708742505
6,adam,0.001,2360944416.9946923,0.3346781060099602,0.0,0.0,0.0,0.0,0.7100385371595621,0.8455961607396603,0.16131125576794147,2360944415.4521894,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.08873969316482544,-0.08873969316482544,1.0927961569902587,0.05478962883353233,0.05478962883353233,0.9466842820834084,0.050937868654727936,0.050937868654727936,0.9503377144588308,0.04058971628546715,0.04058971628546715,0.9602230130049273,0.02046191319823265,0.02046191319823265,0.9797460111560241
7,adam,0.001,1115131029.1449986,0.32597047835588455,0.0,0.0,0.0,0.0,1.4275210574269295,1.2322505787014961,0.11515739746391773,1115131027.0652494,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.1034759134054184,-0.1034759134054184,1.1090190805503823,0.054925888776779175,0.054925888776779175,0.9465552957248955,0.051039788872003555,0.051039788872003555,0.9502408607682463,0.035343725234270096,0.035343725234270096,0.9652735703448252,0.02063198760151863,0.02063198760151863,0.9795793956067267
8,adam,0.001,2051130139.0985909,0.3147056270390749,0.0,0.0,0.0,0.0,1.6190175265073776,1.3284807279706001,0.10927958460524678,2051130136.7337544,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.11809481680393219,-0.11809481680393219,1.1253508084758852,0.055403489619493484,0.055403489619493484,0.9461033280566424,0.05209408327937126,0.05209408327937126,0.9492395550713333,0.02948587015271187,0.02948587015271187,0.9709445968431476,0.020752040669322014,0.020752040669322014,0.9794618011540557
9,adam,0.001,307975914.4470463,0.29425101168453693,0.0,0.0,0.0,0.0,1.2382710129022598,1.1578774824738503,0.11217806721106172,307975912.57096004,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.13285474479198456,-0.13285474479198456,1.1420840926194071,0.05566227808594704,0.05566227808594704,0.9458585191055009,0.052699439227581024,0.052699439227581024,0.9486651011524859,0.023298373445868492,0.023298373445868492,0.9769709380953828,0.020792745053768158,0.020792745053768158,0.9794219335757494
10,adam,0.001,204773967.8692647,0.28847260773181915,0.0,0.0,0.0,0.0,1.4282032996416092,1.25412767380476,0.10564648453146219,204773965.3972397,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.14751829206943512,-0.14751829206943512,1.1589544843117583,0.05593544617295265,0.05593544617295265,0.9456001760304071,0.05336810648441315,0.05336810648441315,0.9480309718960085,0.016821211203932762,0.016821211203932762,0.9833194754248902,0.02081386372447014,0.02081386372447014,0.9794012497048645
11,adam,0.001,166041411.46488842,0.2812218051403761,0.0,0.0,0.0,0.0,1.5127254351973534,1.299346536397934,0.10294186510145664,166041408.82299986,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.16199861466884613,-0.16199861466884613,1.175858612366303,0.05634056404232979,0.05634056404232979,0.9452171740875148,0.054384198039770126,0.054384198039770126,0.9470681748590535,0.010081357322633266,0.010081357322633266,0.9899692892219086,0.02082744613289833,0.02082744613289833,0.9793879471674164
12,adam,0.001,125248476.43544455,0.2741272337734699,0.0,0.0,0.0,0.0,1.558883659541607,1.322672851383686,0.10136135993525386,125248473.477504,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.1762896329164505,-0.1762896329164505,1.1927834779832727,0.05682136118412018,0.05682136118412018,0.9447628256053207,0.055594783276319504,0.055594783276319504,0.9459223618006836,0.0031190000008791685,0.0031190000008791685,0.9968858590265419,0.02083643525838852,0.02083643525838852,0.9793791433658251
13,adam,0.001,108410743.5191962,0.26747964322566986,0.0,0.0,0.0,0.0,1.6487376168370247,1.3659070208668709,0.10122667392715812,108410740.44217157,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.1903691291809082,-0.1903691291809082,1.2096960493648554,0.05741444230079651,0.05741444230079651,0.9442026707387725,0.05705590546131134,0.05705590546131134,0.9445412628754228,-0.00403726426884532,-0.00403726426884532,1.004045424998879,0.020845400169491768,0.020845400169491768,0.9793703633582245
14,adam,0.001,87797027.4029407,0.26160124596208334,0.0,0.0,0.0,0.0,1.6924477517604828,1.3880460783839226,0.10049844672903419,87797024.07104269,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.20425453782081604,-0.20425453782081604,1.2266103324448563,0.05810506269335747,0.05810506269335747,0.9435508102396358,0.05874614417552948,0.05874614417552948,0.9429461111391109,-0.011360790580511093,-0.011360790580511093,1.0114255694424248,0.020851725712418556,0.020851725712418556,0.9793641683285433
15,adam,0.001,75805301.56279676,0.25671823509037495,0.0,0.0,0.0,0.0,1.787863664329052,1.4320539385080338,0.10258577670902014,75805298.34231202,0.0,0.0,880252878848.0,0.14724625647068024,0.0,0.0,0.0,0.0,30.624948501586914,4.176876068115234,5.093677043914795,880252878848.0,0.0,0.0,0,0,0,-0.21792231500148773,-0.21792231500148773,1.2434904633119654,0.05891444906592369,0.05891444906592369,0.9427874220516772,0.060702916234731674,0.060702916234731674,0.941102784608594,-0.01882706955075264,-0.01882706955075264,1.0190054163154527,0.020859304815530777,0.020859304815530777,0.9793567456546558
