key,label,role,metric_focus,run_dir,price_n_points,hard_price_n_points,price_rmse,hard_price_rmse,non_hard_price_rmse,short_maturity_price_rmse,atm_price_rmse,hard_p99_gamma_error,pde_residual_rmse,hard_pde_residual_rmse,training_time_seconds,best_val_total,delta_rmse,hard_delta_rmse,delta_p99_abs_error,gamma_rmse,hard_gamma_rmse,gamma_p99_abs_error,vega_rmse,hard_vega_rmse,vega_p99_abs_error,theta_rmse,hard_theta_rmse,theta_p99_abs_error,rho_rmse,hard_rho_rmse,rho_p99_abs_error,comparison_grid_ok,ratio_delta_rmse,ratio_gamma_rmse,ratio_vega_rmse,ratio_theta_rmse,ratio_rho_rmse,ratio_hard_delta_rmse,ratio_hard_gamma_rmse,ratio_hard_p99_gamma_error,ratio_price_rmse,ratio_hard_price_rmse,ratio_non_hard_price_rmse,ratio_short_maturity_price_rmse,ratio_atm_price_rmse,global_score,hard_score,price_score,status
price00_baseline,Baseline,baseline,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price00_baseline,32761.0,135.0,0.1134424734962473,0.1010634702427856,0.113490890353235,0.0860354498823313,0.1192126212266412,28.24944805553821,0.0607577117856655,0.0728815194125103,1623.768962541013,8.07577307568863e-05,0.3865989145910118,0.4612798368739572,0.797114746497554,1.9494547061984049,11.83552219450982,5.345811533721165,0.1063129432196813,0.2057796033804386,0.3138273809748862,0.0413712819729082,0.1686049109874475,0.0876236748742422,0.2386162686747165,0.3388447320363037,0.3941049644492672,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,baseline
price01_right_vzero,Right and v=0 boundaries,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price01_right_vzero,32761.0,135.0,0.0474778135725422,0.0085711125260372,0.0475727443352428,0.06791935766656,0.0119062155491168,28.79094836566557,0.0425034949806872,0.028310650560896,3086.4724695830373,5.575167961069383e-05,0.4193983962625576,0.4993153568811015,0.9097331669571508,2.084333352551144,12.30388235912323,5.814996500945518,0.1212043980076121,0.0788688293693612,0.2762758451525274,0.0317142154570816,0.2105582102754603,0.0741330151014432,0.2399909003794202,0.0405268140928505,0.6217033072364049,True,1.0848411116369656,1.0691878841421063,1.14007188905644,0.7665756037690471,1.005760846535479,1.082456498131171,1.0395724123461718,1.0191685270828221,0.4185188502092453,0.08480920460624147,0.41917676552871247,0.7894345616772125,0.09987378372027644,1.003876814624401,1.0467357740057492,0.18839917940098574,pricing_improvement
price02_guard_derivatives,Guard boundary derivatives,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price02_guard_derivatives,32761.0,135.0,0.0403202649821628,0.0235450023398265,0.0403752007080257,0.0572542803262468,0.0104858946769316,28.832029716366765,0.0367998503781994,0.0441783048179165,956.7217665410135,7.641554111614823e-05,0.4070009461139996,0.4646039211532831,0.8980376910991881,2.064984397449113,12.339638446584598,5.853164323299942,0.1417894554844094,0.0938410168483741,0.2539433999011986,0.0263134413348091,0.2006447876573214,0.0709276555867317,0.1725978193548762,0.0739542813374159,0.4847772749932813,True,1.052773121581501,1.059262567569985,1.3336989005319955,0.636031567792372,0.7233279621439511,1.007206220635727,1.0425934947178437,1.020622762599935,0.3554247693964166,0.2329724309215204,0.3557571941004235,0.6654731323489579,0.08795960166831943,0.9269195166299387,1.02337048356917,0.28775714158992477,pricing_improvement
price03_payoff_sqrt_time,Payoff ansatz sqrt time,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price03_payoff_sqrt_time,32761.0,135.0,0.0726770381936659,0.0135764940924484,0.0728220082001606,0.007690321499777,0.0980738469801208,239.15457726061032,0.4195145750952314,1.1252633514798864,398.7440658750711,0.7068673968315125,0.3197180031186285,0.304694088882543,0.6064001936522098,20.592889307370463,50.48065725722836,86.40490221126666,0.3066326816773654,0.1401871158642147,0.4334561765331039,0.0624791115279924,0.3811594765011581,0.2088395494025691,0.2837157431071428,0.0783989167643729,0.7822157007190842,True,0.8270018126069042,10.563409984286462,2.8842460042118345,1.5102048703471787,1.1890041893744734,0.6605406621443101,4.26518208724622,8.465814156454815,0.6406510361929836,0.1343363141977361,0.6416550964884103,0.08938549760935609,0.8226800650047582,2.143445421961161,2.87851582590923,0.2933644472139149,pricing_improvement
price04_pde_normalized,Normalized PDE residual,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price04_pde_normalized,32761.0,135.0,0.0586773802515719,0.0700152386523576,0.0586259114086148,0.0517317945969279,0.0636614292334821,27.945176264563063,0.03685391291611,0.0334747212516296,370.6954534170218,0.0005825961707159877,0.2649963490224208,0.3066276941428033,0.584468826015553,1.636860376506645,11.546428629399593,4.982150435521363,0.1264533262314517,0.1084237317065769,0.2160036266457399,0.0263046834945472,0.1991191415756447,0.0649202409379979,0.2379545145747706,0.0273960382803986,0.6265969819690301,True,0.6854554915208803,0.8396503757189905,1.189444317896016,0.6358198789143809,0.997226701667823,0.664732489112868,0.9755740760433594,0.9892291066934493,0.5172434842362016,0.6927848260519793,0.5165693142960147,0.6012846410134459,0.5340158498188888,0.8462720014806949,0.8624514984908529,0.5986137630000639,pricing_improvement
price05_log_core,Log core,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price05_log_core,32761.0,135.0,0.0461797309233097,0.0492558429652991,0.0461665767717845,0.0625224784791883,0.0402172173642908,540.6226938329007,0.2066084081914499,2.4469279056560445,271.5639234170085,0.0009715616470202804,0.2789174989726732,2.070340617278865,0.9237595205191504,9.417935936067664,126.5679405876237,19.693201938423854,0.2968413234084247,0.3505476433123526,0.5789378664111917,0.1492722942414231,1.526051451020609,0.4067496021961893,0.5591418332930834,0.0380033833461165,1.3416236685063174,True,0.7214647751087035,4.831061684132895,2.7921466043418843,3.6081138200932084,2.3432678601445645,4.488253012118059,10.693904206975771,19.13746041232524,0.40707619906434195,0.4873753379630779,0.4067866295532023,0.7267060097285346,0.3373570428237778,2.415792448867196,9.72073958307615,0.4454199143456754,pricing_improvement
price06_learned_weights,Learned log loss weights,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price06_learned_weights,32761.0,135.0,0.0470933290840334,0.0218203396052789,0.0471697813140535,0.045791868071418,0.0406704984580537,28.063523907779462,0.0582255793943839,0.0688582456595008,369.63258112501353,-4.998799800872803,0.3526097014976005,0.3957117800881153,0.7115746091178443,1.841540876922795,11.662958226205406,5.1549837246011245,0.0961767925585271,0.1265951869271804,0.2458899140138117,0.0402491805881227,0.1706701776070069,0.0772999922658287,0.1463803016372178,0.0381660364592547,0.3917338564331676,True,0.9120814575246055,0.9446440951243998,0.9046574165460812,0.9728772875464602,0.6134548262372024,0.8578562262114264,0.9854198263947778,0.9934184856499418,0.4151296038656215,0.21590728631086703,0.41562614556322364,0.5322441869490597,0.34115933396626635,0.8580751564903717,0.9434582364330129,0.299381873596134,pricing_improvement
price07_combo_guard_norm_learned,Combo guard + normalized PDE + learned weights,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price07_combo_guard_norm_learned,32761.0,135.0,0.0439087744793509,0.0413428342055358,0.0439190803998308,0.0482085461875028,0.0399445925574953,28.58617000195051,0.0456449003353136,0.0550732879985115,1032.2749887499958,-7.497244834899902,0.3622773035349396,0.4089061745763823,0.7856017157517695,2.0194933142978377,12.122183643681828,5.632716834933453,0.1365154809284058,0.1195012446423321,0.2467367348977004,0.0291488819497403,0.187895451348836,0.0718266738065592,0.2673862227312361,0.0083881425501935,0.6934511261546018,True,0.93708825830046,1.0359272815504463,1.284090881072825,0.704568013358356,1.1205699603648527,0.8864601092202393,1.0242204310431677,1.0119195938182688,0.3870576260028693,0.4090779201052326,0.38698330996553776,0.5603335166310691,0.33507016410246193,0.9968125231333235,0.9721491013718045,0.3979154792240719,pricing_improvement
price08_combo_payoff_guard_norm_learned,Combo payoff + guard + normalized PDE + learned weights,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price08_combo_payoff_guard_norm_learned,32761.0,135.0,0.0472951215672003,0.0083826292458058,0.0473898019129233,0.0034227704518941,0.0708051734084674,239.13380436558631,0.4160116965723267,1.0783092264882,1165.3795517500257,-7.374271392822266,0.3067035207393587,0.3041324606612764,0.5858153506186453,20.595223050101627,50.47857874643855,86.28478985295985,0.3336789578592149,0.1458983180671131,0.458770688045712,0.0408946851891741,0.2510921672656723,0.1149267934622834,0.1512922906736664,0.0391265263359416,0.255184138016252,True,0.7933377698792157,10.56460711019236,3.1386484820546503,0.9884800092961539,0.6340401327786631,0.6593231187435998,4.265006470931565,8.465078818370221,0.41690841278037577,0.0829442055142985,0.41756480864168743,0.039783257443011505,0.593940244580782,1.7515710554419286,2.8766233517009767,0.18595735282665077,pricing_improvement
price09_combo_log_guard_norm_learned,Combo log core + guard + normalized PDE + learned weights,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_pricing_nosup_ablation_v01/price09_combo_log_guard_norm_learned,32761.0,135.0,0.1366251514255018,0.1879316540229018,0.1363727604962659,0.2388659824505751,0.0644445703988255,24152.053486723496,9.78050438689654,144.61410155644717,851.7373516249936,14918762.0,3.466179110811381,22.28639197800118,13.391706935226194,540.6874831144603,7721.847655580944,957.2572398629565,4.560400905607535,4.60438945805324,16.842301162621844,0.7741535781239148,10.40586798750093,1.6911636163773875,0.5837581488499626,0.0733023604832354,1.342975689221431,True,8.965827321264722,277.3531908155203,42.89600840213863,18.712342020990935,2.446430631457682,48.31425567836134,652.4298234312721,854.9566504535145,1.2043562451943661,1.8595408763565318,1.201618562263563,2.7763669833454303,0.5405851304645557,21.76407902969505,299.81341717657597,1.4965125016631815,pricing_regression
