greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,6.39799515801884e-16,2.5294258554104408e-08,1.2355561742042503e-08,2.6320839485727275e-08,1.1036996537816525e-07,4.2253141874226685e-07
gamma,2048,6.348827707933834e-14,2.519688017976399e-07,1.0284715033008899e-07,1.746550201131569e-07,9.139331109464512e-07,4.640987128823326e-06
vega,2048,8.811679259282556e-18,2.9684472808663045e-09,2.43742698827595e-09,4.978344739225981e-09,8.008941254911138e-09,8.93152629632965e-09
theta,2048,1.6567544683390803e-15,4.0703248867124605e-08,6.069422418110744e-09,1.2491683146209629e-09,1.3230171058663254e-07,6.944837502020906e-07
rho,2048,1.2187086103587562e-14,1.10395136231573e-07,9.443495411908928e-08,1.811114785033041e-07,2.514964908639783e-07,2.7394210722064827e-07
