region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error,p90_stabilized_rel_error,p99_stabilized_rel_error,max_stabilized_rel_error
full,price,32761,0.00018066017191955235,0.013440988502322006,0.012303686381778202,0.9373746127252657,35.42934956820044,0.019162460063438247,0.020473612593854485,0.02081608513616029,,,,
full,delta,32761,0.0015472609662417628,0.0393352382253084,0.03570070107469463,0.9775462236083131,37.382441933085545,0.051557060880588035,0.0742166691301289,0.21232512133225034,0.02567803922860003,0.03791971748120807,0.044891338354027734,0.14633125896549745
full,gamma,32761,0.30813873929495583,0.5551024583758892,0.34166881736727966,0.8018786506163903,567.2112366859308,0.7791833006055324,1.411055893238711,16.891849842235644,0.1077694716781576,0.2117069151089844,0.41896125276184853,5.912939547948508
full,vega,32761,0.007465735756306903,0.08640448921385337,0.07681090759305831,0.3300366213498932,125.52645765719794,0.1281638879276632,0.15122411414271675,0.15436402591039178,0.05749035471322737,0.0917931456279155,0.10766157737167939,0.11681912852962185
full,theta,32761,0.0002405166597575776,0.015508599542111388,0.008545560016089446,0.5397690835456378,138.8435225733097,0.014109647659112514,0.06702570990154433,0.2652813403883913,0.008268021204242897,0.013729724065402795,0.06431980508459821,0.1878201636181162
full,rho,32761,0.006928579512547406,0.08323808931341112,0.07286430897346317,0.9448269089204321,277.86206419826294,0.12288357977956832,0.17558416423574616,0.19994379506095925,0.053085977502737094,0.09877593866879851,0.16575629083645207,0.19248405462083792
full,pde_residual,32761,0.0002449331748687825,0.015650341046404788,0.011101048903582362,,,0.01609821526745259,0.06709630869580072,0.14815787601031488,,,,
non_hard,price,32626,0.0001812282712523565,0.013462105008220539,0.012327706699113858,0.9370025296911264,34.951524520679136,0.01916543176836047,0.020474445057662063,0.02081608513616029,,,,
non_hard,delta,32626,0.0015257571024459016,0.0390609408801926,0.03558472185079987,0.9778764047978463,37.42058624151491,0.05115743100721906,0.07371391904609159,0.15792099976320106,0.025600606897839995,0.03789299558348198,0.042891444310862024,0.13369796169103315
non_hard,gamma,32626,0.22037353522811368,0.46943959699636933,0.3300764497257179,0.7961304006337905,569.4568001630671,0.7716766226899209,1.290159511004133,6.85721604099447,0.10729175679646338,0.21150402503525403,0.4154273248562803,5.912939547948508
non_hard,vega,32626,0.007459836164460334,0.08637034308407218,0.07675817251008077,0.3252434706913757,125.71650663430671,0.12821590503519606,0.15122615982902565,0.15436402591039178,0.057404779885840695,0.09167274363838179,0.10768489166084835,0.11681912852962185
non_hard,theta,32626,0.00021151874853944048,0.01454368414602849,0.008316471935649758,0.35769292371828576,139.27748218090602,0.014043735696458021,0.05891672739633956,0.18992807651568427,0.008089064005248616,0.013583793906322748,0.057783794731140856,0.1878201636181162
non_hard,rho,32626,0.0068585822063544685,0.082816557561604,0.072540661944778,0.9452027954818507,264.97893784122095,0.12224325387091949,0.17410456314324887,0.19994379506095925,0.05268978441342487,0.09759019815701062,0.1627408059733833,0.19248405462083792
non_hard,pde_residual,32626,0.00021434575554089478,0.014640551749879332,0.010797795812836023,,,0.015975578262101664,0.055192401713656074,0.14815787601031488,,,,
short_maturity,price,905,1.4100769728183377e-05,0.0037550991635619127,0.003071993864682213,0.9965551447436433,473.0906654905402,0.006611640046032941,0.008163546972966658,0.00827662917953631,,,,
short_maturity,delta,905,0.002096955377651281,0.04579252534695243,0.03193559604085891,0.9898401053615049,867.9043959114343,0.06839043257928092,0.15791468034238149,0.21232512133225034,0.022934130653264335,0.056988846350646244,0.12002976101019235,0.14633125896549745
short_maturity,gamma,905,4.416989381133875,2.1016634795166125,1.0266430288313915,0.7867904282114334,13144.806409622606,2.2671870291774825,9.05669771032592,16.891849842235644,0.32772694179378964,0.6353326334667501,2.8395824510021686,5.912939547948508
short_maturity,vega,905,0.0016640511984256196,0.04079278365625003,0.02434569876746928,0.4529987826100712,2198.7367931994786,0.08432766707207673,0.12372258486944035,0.12894389811487944,0.0221639271242868,0.07400038396089162,0.10305911191866009,0.10646938174266445
short_maturity,theta,905,0.006093649991774594,0.07806183441205179,0.05825017502022541,0.25467560432563663,2398.286408985092,0.14267521652590648,0.18909821517798156,0.2652813403883913,0.05519752580077835,0.1367684243232159,0.18319504334220282,0.1878201636181162
short_maturity,rho,905,0.009616689367969507,0.09806472030230601,0.08209323189778238,-37.037462901388366,7223.928474815412,0.16399699762122003,0.19532840156641965,0.19775606527571146,0.0805030097676195,0.1603106454854984,0.18897051637538556,0.1914409471554382
short_maturity,pde_residual,905,0.004696949849410355,0.06853429688419044,0.05459694835500202,,,0.11852606166343692,0.14586002629653563,0.14815787601031488,,,,
atm,price,4887,0.00021529467908754703,0.014672923331345632,0.014113834455655679,0.5955050741628374,24.927362455597173,0.018546499815739793,0.019537181749130356,0.019925423884582627,,,,
atm,delta,4887,0.0016716989639011263,0.04088641539559474,0.03891665671498371,0.6167950065031866,10.490852646828705,0.047885970366021526,0.0690200533434245,0.21232512133225034,0.028020903992162685,0.03541300041912083,0.053488831302712064,0.14633125896549745
atm,gamma,4887,0.708085297775383,0.8414780435491962,0.3357713800394573,0.8343298625735255,10.882379769065345,0.5264799703416648,2.5177939743855977,16.891849842235644,0.07542522436216269,0.1172357655199203,0.2102025729909092,1.1832631975848833
atm,vega,4887,0.014901236755841506,0.12207062200153444,0.12054521422557693,-2.8844979300436457,32.87109469749826,0.14811874680215822,0.15306818929818136,0.15436402591039178,0.08712232271295513,0.10521409626139971,0.11502428068454036,0.11681912852962185
atm,theta,4887,0.0002571861974235605,0.016037025828487043,0.00813728382877192,0.8451116194843481,17.585265222490136,0.013470476839246482,0.06275778587225908,0.2652813403883913,0.007519406101960115,0.01281465943550028,0.052933601847979676,0.16796484232203562
atm,rho,4887,0.008054921938394386,0.08974921692357202,0.07179378706739037,0.8888776027299983,141.4775300161829,0.15802773906805304,0.1944385233753206,0.19994379506095925,0.057086823152965926,0.14516198506947386,0.1858045303616364,0.19248405462083792
atm,pde_residual,4887,0.000345963530605701,0.018600094908513262,0.01266806747286118,,,0.0179093604387805,0.09224763507769694,0.13200713601163558,,,,
hard,price,135,4.3365291682003545e-05,0.006585232849490103,0.006498598430718038,0.4842072236231618,150.90727549731093,0.007681224188136205,0.008272096642926947,0.00827662917953631,,,,
hard,delta,135,0.006744187338121529,0.08212300127322143,0.06372987262128986,0.8730753671902306,28.163951512221914,0.15193992119657346,0.2099549824080912,0.21232512133225034,0.044391426068429704,0.10310582071676291,0.14534582400647827,0.14633125896549745
hard,gamma,135,21.51871316807119,4.638826701664031,3.1432435334679627,0.12988111498003962,24.51676257445037,5.457172744521138,16.599598481214688,16.891849842235644,0.22322077338301002,0.4050976226340768,0.8449109128199164,1.1832631975848833
hard,vega,135,0.00889151415324118,0.09429482569707194,0.08955560994287824,-1.6668360793456283,79.59654708571372,0.12187363581661848,0.12872692561255014,0.12894389811487944,0.07817157188594956,0.10254937024200678,0.10632411751451801,0.10646938174266445
hard,theta,135,0.007248560003483053,0.0851384754590018,0.06391020973775793,0.26596197362135143,33.9667362219195,0.1401586453558379,0.2569520852658028,0.2652813403883913,0.05151733657007534,0.11407163987990289,0.16502896116943125,0.16796484232203562
hard,rho,135,0.023845113674405092,0.154418631241198,0.1510814049577781,-276.1701663651216,3391.379697715686,0.19032780748060113,0.1976673757144881,0.19775606527571146,0.1488355755168171,0.18539349133717054,0.19134666620573162,0.1914409471554382
hard,pde_residual,135,0.007637119419251479,0.08739061402262534,0.08438945881980484,,,0.11410134424774322,0.12921522001222296,0.13200713601163558,,,,
