epoch,optimizer,lr,train_mse,val_mse
1,adam,0.001,0.81719628402165,0.43236589431762695
2,adam,0.0005,0.217228787285941,0.29134249687194824
3,adam,0.0005,0.2779249293463571,0.2657254636287689
4,lbfgs,1.0,0.2365274727344513,4.643556530936621e-05
5,lbfgs,1.0,2.847535870387219e-05,1.1307571185170673e-05
6,lbfgs,1.0,9.48002161749173e-06,3.690913104037463e-07
