epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk
1,adam,0.001,1391.9720712304115,47.64679796434939,0.0,0.0,0.0,0.0,11.25817906204611,13.542109303176403,0.0,0.0,1319.5249983742833,0.0,143.77883911132812,27.31559181213379,0.0,0.0,0.0,0.0,9.529661178588867,17.031095504760742,0.0,0.0,89.9024887084961,0.0
2,adam,0.001,189.22295463085175,9.574294455349445,0.0,0.0,0.0,0.0,4.593451924622059,14.64056009054184,0.0,0.0,160.41464585065842,0.0,43.35679626464844,5.345630645751953,0.0,0.0,0.0,0.0,1.2784770727157593,12.261438369750977,0.0,0.0,24.471250534057617,0.0
3,adam,0.001,55.65916442871094,1.4195216819643974,0.0,0.0,0.0,0.0,0.38479651790112257,10.024289429187775,0.0,0.0,43.830558095127344,0.0,14.369832992553711,0.7184242010116577,0.0,0.0,0.0,0.0,0.05168004333972931,7.8981428146362305,0.0,0.0,5.7015862464904785,0.0
4,adam,0.001,19.930084705352783,5.16249268501997,0.0,0.0,0.0,0.0,0.10373025410808623,6.511032372713089,0.0,0.0,8.152829103171825,0.0,11841.7109375,0.5115110874176025,0.0,0.0,0.0,0.0,0.11678574979305267,5.0609822273254395,0.0,0.0,11836.021484375,0.0
5,adam,0.001,3060.251838207245,32.31869040429592,0.0,0.0,0.0,0.0,51.39954018127173,6.705732211470604,0.0,0.0,2969.827954351902,0.0,484.1199951171875,57.44469451904297,0.0,0.0,0.0,0.0,95.13887786865234,0.050215944647789,0.0,0.0,331.4862060546875,0.0
6,adam,0.001,1523.6667737960815,84.44824635982513,0.0,0.0,0.0,0.0,98.90875911712646,3.2933341152966022,0.0,0.0,1337.0164343118668,0.0,330.9554748535156,51.27805709838867,0.0,0.0,0.0,0.0,99.30362701416016,7.3196587562561035,0.0,0.0,173.05413818359375,0.0
7,adam,0.001,854.3196544647217,63.049819231033325,0.0,0.0,0.0,0.0,96.97799777984619,9.187622308731079,0.0,0.0,685.1042193174362,0.0,279.0413818359375,45.547454833984375,0.0,0.0,0.0,0.0,93.02069091796875,11.230881690979004,0.0,0.0,129.24237060546875,0.0
8,adam,0.001,695.0549507141113,52.26802968978882,0.0,0.0,0.0,0.0,87.28877973556519,13.048047363758087,0.0,0.0,542.4500883817673,0.0,222.55032348632812,38.11422348022461,0.0,0.0,0.0,0.0,81.45503234863281,14.680551528930664,0.0,0.0,88.30049896240234,0.0
9,adam,0.001,518.8066234588623,44.075753569602966,0.0,0.0,0.0,0.0,76.57698726654053,14.867711365222931,0.0,0.0,383.2861764431,0.0,188.0393524169922,33.59769058227539,0.0,0.0,0.0,0.0,71.50242614746094,15.262066841125488,0.0,0.0,67.67716979980469,0.0
10,adam,0.001,413.5427579879761,37.756213426589966,0.0,0.0,0.0,0.0,67.79296493530273,15.324242293834686,0.0,0.0,292.66933554410934,0.0,163.0303955078125,30.00387954711914,0.0,0.0,0.0,0.0,63.64177703857422,15.349852561950684,0.0,0.0,54.03487777709961,0.0
