epoch,optimizer,lr,train_total,train_pde,train_term,train_low,train_no_arbitrage,val_total,val_pde,val_term,val_low,val_no_arbitrage
1,adam,0.001,0.2726401383988559,0.005447589443065226,0.09296584432013333,0.17422670195810497,0.0,0.07115519046783447,0.0022942055948078632,0.03548632934689522,0.03337465226650238,0.0
2,adam,0.001,0.0449980377452448,0.003332864958792925,0.026993087609298527,0.014672085373604205,0.0,0.03235943987965584,0.003229323076084256,0.023042865097522736,0.006087250076234341,0.0
3,adam,0.001,0.026066313963383436,0.003907770849764347,0.01790635584620759,0.004252186830854043,0.0,0.02194329723715782,0.0035763222258538008,0.01557758916169405,0.0027893846854567528,0.0
4,adam,0.001,0.018029250612016767,0.0031372454832307994,0.012568000704050064,0.0023240043155965395,0.0,0.013339643366634846,0.0025854844134300947,0.008804612793028355,0.0019495461601763964,0.0
5,adam,0.001,0.00990126101532951,0.002245719741040375,0.0064283373358193785,0.0012272040294192266,0.0,0.005560010205954313,0.0015194363659247756,0.0032702896278351545,0.000770284328609705,0.0
6,adam,0.001,0.003853397924103774,0.0013741723887505941,0.0017502060691185761,0.0007290194225788582,0.0,0.0029719085432589054,0.0013461941853165627,0.0008334283484145999,0.000792285893112421,0.0
7,adam,0.001,0.002431893051834777,0.0010448602079122793,0.0007866984742577188,0.0006003343569318531,0.0,0.0020211744122207165,0.0007290130015462637,0.0007978053181432188,0.0004943561507388949,0.0
8,adam,0.001,0.001917363828397356,0.0006671658593404572,0.000807645330496598,0.0004425526331033325,0.0,0.0017994327936321497,0.0005944126169197261,0.0007773038232699037,0.0004277164116501808,0.0
9,adam,0.001,0.0016914226143853739,0.0005715836559829768,0.0007348041908699088,0.0003850347566185519,0.0,0.0016491145361214876,0.000555012549739331,0.0007361621828749776,0.000357939803507179,0.0
10,adam,0.001,0.0015602682251483202,0.0005023179437557701,0.000724973484466318,0.00033297674599452876,0.0,0.001470437040552497,0.0004799298185389489,0.0006955128046683967,0.00029499438824132085,0.0
11,adam,0.001,0.0014458510049735196,0.0004442182180355303,0.0007132499340514187,0.0002883828346966766,0.0,0.0014558110851794481,0.0004302089218981564,0.0007365509518422186,0.00028905124054290354,0.0
12,adam,0.001,0.001313909058808349,0.00039686192576482426,0.0006681435916107148,0.0002489035305188736,0.0,0.0012975916033610702,0.00039239670149981976,0.0006841697031632066,0.0002210251841461286,0.0
13,adam,0.001,0.001223498591571115,0.0003673286810226273,0.0006441000623453874,0.00021206985456956318,0.0,0.0012557865120470524,0.0003569374093785882,0.0007011400302872062,0.00019770913058891892,0.0
14,adam,0.001,0.0011692999105434865,0.0003369287969690049,0.0006473455359810032,0.00018502556486055255,0.0,0.0011622781166806817,0.0003151348792016506,0.0006814050721004605,0.0001657381362747401,0.0
15,adam,0.001,0.0011494085265439935,0.0003207434456271585,0.0006666601984761655,0.00016200488789763767,0.0,0.0011389692081138492,0.00030834198696538806,0.0006620032945647836,0.00016862389747984707,0.0
16,adam,0.001,0.0010720633290475234,0.00030162340772221796,0.000629500689683482,0.00014093924710323336,0.0,0.0010940930806100368,0.0002945210144389421,0.0006685076514258981,0.00013106438564136624,0.0
17,adam,0.001,0.0010297709413862322,0.0002866497616196284,0.000614044281974202,0.00012907690506835934,0.0,0.0010563017567619681,0.0002881363907363266,0.0006605330854654312,0.00010763224418042228,0.0
18,adam,0.001,0.0010357250503147952,0.00027094483812106773,0.0006501073039544281,0.00011467291369626764,0.0,0.0010145386913791299,0.00026365596568211913,0.0006586539093405008,9.2228852736298e-05,0.0
19,adam,0.001,0.0009906388113449793,0.000257863876868214,0.0006295633538684342,0.00010321157333237352,0.0,0.0009636726463213563,0.0002405940176686272,0.0006373195792548358,8.575903484597802e-05,0.0
20,adam,0.001,0.0009498280414845794,0.00024429486438748427,0.0006140685181890149,9.146467027676408e-05,0.0,0.001031791907735169,0.00024714547907933593,0.0006779511459171772,0.00010669532639440149,0.0
21,adam,0.001,0.0009317436852143146,0.00023721768957329914,0.0006085715904191602,8.595440340286586e-05,0.0,0.0009479665895923972,0.00023147785395849496,0.0006271549500524998,8.933382196119055e-05,0.0
22,adam,0.001,0.001005546102533117,0.00023394680192723172,0.0006750143038516399,9.658497810960398e-05,0.0,0.0009918385185301304,0.00022565762628801167,0.0006849986384622753,8.118220284814015e-05,0.0
23,adam,0.001,0.0010467699758009985,0.00022600818920182064,0.0007231334857351612,9.762830632098485e-05,0.0,0.001137766521424055,0.00022225838620215654,0.000820703455246985,9.480464359512553e-05,0.0
24,adam,0.001,0.0010312760896340478,0.0002209552667409298,0.0007181205219239928,9.220029141943087e-05,0.0,0.0008879153756424785,0.00020891807798761874,0.0006050776573829353,7.391966209979728e-05,0.0
25,adam,0.001,0.000912428498850204,0.00021169180126889842,0.0006248235695238691,7.591312964905228e-05,0.0,0.0009244585526175797,0.00020630819199141115,0.0006338569219224155,8.429344597971067e-05,0.0
26,adam,0.001,0.0008623933426861186,0.00020629383470804896,0.0005843250910402276,7.177441602834733e-05,0.0,0.0008683116175234318,0.00020229203801136464,0.0006102234474383295,5.579613571171649e-05,0.0
27,adam,0.001,0.0008589495555497706,0.00019567996150726685,0.0005970322927169036,6.623730200772115e-05,0.0,0.000886258902028203,0.00020174149540252984,0.0006257010973058641,5.881630931980908e-05,0.0
28,adam,0.001,0.0010069107920571696,0.0001994597523662378,0.0007256083263200708,8.184272110156599e-05,0.0,0.0008763782680034637,0.00019146624254062772,0.0006214865716174245,6.342546112136915e-05,0.0
29,adam,0.001,0.0009490831034781877,0.00019824730497930432,0.000665154631860787,8.568117641516437e-05,0.0,0.0008511498454026878,0.00018298366921953857,0.0005966037861071527,7.156242645578459e-05,0.0
30,adam,0.001,0.0011566427965590265,0.00019248008629801916,0.0008628923060314264,0.00010127040059160208,0.0,0.0011543139116838574,0.00019020881154574454,0.0008588707423768938,0.00010523431410547346,0.0
31,adam,0.001,0.0011590087742661126,0.000188049413736735,0.0008703812709427439,0.00010057808322017081,0.0,0.0009029482025653124,0.00017394707538187504,0.0006804252043366432,4.8575901018921286e-05,0.0
32,adam,0.001,0.0009064138794201426,0.00017820474567997735,0.0006561026384588331,7.210649823718995e-05,0.0,0.0011454506311565638,0.00017593003576621413,0.0008933617500588298,7.615894719492644e-05,0.0
33,adam,0.001,0.0008364823152078316,0.0001724577978166053,0.0006063846649340121,5.7639854048829875e-05,0.0,0.0007787187350913882,0.00016153434989973903,0.0005748069379478693,4.237742905388586e-05,0.0
34,adam,0.001,0.0009280531958211213,0.0001645992424528231,0.0006930367926543113,7.041716276035004e-05,0.0,0.000872782722581178,0.00016820093151181936,0.000658942386507988,4.5639400923391804e-05,0.0
35,adam,0.001,0.0007891136228863616,0.00016237236923188902,0.0005764786837971769,5.026257235840603e-05,0.0,0.0007946513942442834,0.0001558660005684942,0.0006028112256899476,3.597414251998998e-05,0.0
36,adam,0.001,0.0007444046204909682,0.0001537843954793061,0.0005464597743412014,4.4160451693642244e-05,0.0,0.000759064860176295,0.0001582759723532945,0.0005601673619821668,4.062152947881259e-05,0.0
37,adam,0.001,0.0007559311270597391,0.00015992059252312174,0.0005441853936645202,5.1825142008965486e-05,0.0,0.0008323973161168396,0.00018706172704696655,0.0005564481252804399,8.888746378943324e-05,0.0
38,adam,0.001,0.0007577135838801041,0.0001560002001497196,0.0005529431473405566,4.877022706750722e-05,0.0,0.0007343607139773667,0.00014661828754469752,0.0005541430437006056,3.359938273206353e-05,0.0
39,adam,0.001,0.0007937563095765654,0.0001468355321776471,0.0005958706824458204,5.1050092679361114e-05,0.0,0.0010373796103522182,0.00014958497195038944,0.0008404277032241225,4.7366993385367095e-05,0.0
40,adam,0.001,0.0008469060376228299,0.00014776889565837337,0.0006395789096131921,5.955822030045965e-05,0.0,0.0008605551556684077,0.00015762905240990222,0.0006742480327375233,2.8678034141194075e-05,0.0
41,adam,0.001,0.0008204867153835949,0.00014808502692176262,0.0006149585933599155,5.7443091236564214e-05,0.0,0.000905834196601063,0.0001492462761234492,0.0007287765038199723,2.781142757157795e-05,0.0
42,adam,0.001,0.0009455750805500429,0.00014707618447573623,0.000718218128895387,8.028075740185159e-05,0.0,0.0010349465301260352,0.00014398328494280577,0.0007903582300059497,0.00010060503700515255,0.0
43,adam,0.001,0.000799888603069121,0.00013970598729429184,0.0006025657567079179,5.761684838034853e-05,0.0,0.0007209036848507822,0.0001517737255198881,0.0005118680419400334,5.726190283894539e-05,0.0
44,adam,0.001,0.0007688616824452765,0.00014230879742171965,0.0005810837847093353,4.546909815417166e-05,0.0,0.0007871344569139183,0.00013505086826626211,0.0006151325651444495,3.695101258927025e-05,0.0
45,adam,0.001,0.0009576272059348412,0.000142184298056236,0.0007467191462637857,6.872374933664105e-05,0.0,0.0010704394662752748,0.00014992298383731395,0.0008194476831704378,0.00010106877743965015,0.0
46,adam,0.001,0.0012902612361358479,0.00014475261878033052,0.0010430905385874212,0.00010241809764011123,0.0,0.0012164681684225798,0.0001363880146527663,0.0010252810316160321,5.479915125761181e-05,0.0
47,adam,0.001,0.0007608532687299885,0.00013552366590374731,0.0005761258616985288,4.920373169170489e-05,0.0,0.0007401240873150527,0.00012368567695375532,0.0005930254701524973,2.3412940208800137e-05,0.0
48,adam,0.001,0.0006886281480547041,0.0001325778393947985,0.0005160660693945829,3.9984223803912755e-05,0.0,0.0006744036800228059,0.00012307378347031772,0.0004930448485538363,5.8285007980884984e-05,0.0
49,adam,0.001,0.0007070078427204862,0.00013598601799458265,0.0005185451063880464,5.247672197583597e-05,0.0,0.0008132854127325118,0.00012056757987011224,0.0005505426088348031,0.00014217522402759641,0.0
50,adam,0.001,0.000943949467909988,0.00013635054574479,0.0007344033692788798,7.319555106732878e-05,0.0,0.0007579762022942305,0.00012384250294417143,0.0006039318977855146,3.0201772460713983e-05,0.0
51,adam,0.001,0.0006619389750994742,0.0001265905721083982,0.000496000515340711,3.934788423975988e-05,0.0,0.0007291302317753434,0.00012758575030602515,0.0005824737017974257,1.9070812413701788e-05,0.0
52,adam,0.001,0.0006698095021420158,0.00012732603499898687,0.0005063525495643262,3.6130921444055275e-05,0.0,0.0006692830938845873,0.00013910330017097294,0.0004846253141295165,4.5554490498034284e-05,0.0
53,adam,0.001,0.000821068519144319,0.00012094522753614001,0.0006486811780632706,5.144211797869502e-05,0.0,0.0009092525579035282,0.00014019037189427763,0.000725509540643543,4.355264172772877e-05,0.0
54,adam,0.001,0.0009683050811872818,0.00012697015517915133,0.0007745380426058546,6.679689147404133e-05,0.0,0.0007290501380339265,0.00014110554184298962,0.0004981334786862135,8.981108840089291e-05,0.0
55,adam,0.001,0.0009566255430399906,0.00012143140384068829,0.0007818079157004831,5.338624600881303e-05,0.0,0.0013766451738774776,0.00011808893759734929,0.0011536634992808104,0.00010489280975889415,0.0
56,adam,0.001,0.001286596856516553,0.00013023467090533813,0.001071214530384168,8.514766022926779e-05,0.0,0.000825946859549731,0.00017120449047069997,0.0005404885159805417,0.00011425383854657412,0.0
57,adam,0.001,0.001119772408856079,0.00014628611779698986,0.000890229257493047,8.325703379341576e-05,0.0,0.0006259281071834266,0.00011638825526461005,0.0004700202262029052,3.951964754378423e-05,0.0
58,adam,0.001,0.0010339764885429759,0.00012425898376022815,0.0008554150917916559,5.430241697013116e-05,0.0,0.0006367556052282453,0.0001242267753696069,0.00048475334187969565,2.7775467970059253e-05,0.0
59,adam,0.001,0.0007215850964712445,0.00012071813625880168,0.0005724014081351925,2.8465551281442458e-05,0.0,0.0006178111070767045,0.00012573755520861596,0.00044873589649796486,4.333764445618726e-05,0.0
60,adam,0.001,0.0007373274129349738,0.00011705024871844216,0.0005824015679536387,3.7875593648095673e-05,0.0,0.0007363177719525993,0.00010839776950888336,0.0005921294214203954,3.5790555557468906e-05,0.0
61,adam,0.001,0.0007235881676024292,0.0001165286830655532,0.0005654257656715345,4.163371806953364e-05,0.0,0.0006798092508688569,0.00011706904479069635,0.0005288467509672046,3.3893429645104334e-05,0.0
62,adam,0.001,0.000634404925222043,0.00012030896687065251,0.0004577405434247339,5.6355411743425066e-05,0.0,0.0006988065433688462,0.00015439353592228144,0.0004511471779551357,9.326582221547142e-05,0.0
63,adam,0.001,0.0006387360408552922,0.00012665669191846973,0.0004543558279692661,5.7723520058061695e-05,0.0,0.0006700874655507505,0.00012661621440201998,0.0005144190508872271,2.9052187528577633e-05,0.0
64,adam,0.001,0.0007354515546467155,0.00011139044272567844,0.000572007102164207,5.205400293561979e-05,0.0,0.0005957632092759013,0.00010939699859591201,0.00044016254832968116,4.620364052243531e-05,0.0
65,adam,0.001,0.0006407534274330828,0.00011833799862870364,0.00047838948739808984,4.40259439642432e-05,0.0,0.0008052756893448532,0.0001267566258320585,0.0005135940737091005,0.0001649249898036942,0.0
66,adam,0.001,0.0007165112474467605,0.00012037308943035896,0.0005307910560077289,6.534709586958343e-05,0.0,0.0005964113515801728,0.00010319194552721456,0.0004632913041859865,2.992809641000349e-05,0.0
67,adam,0.001,0.0006864097958896309,0.00011532119424373377,0.00052373307516973,4.7355523406622524e-05,0.0,0.0006466975319199264,0.00010823333286680281,0.0004983284161426127,4.01357319788076e-05,0.0
68,adam,0.001,0.0008521163144905586,0.0001494409721090051,0.0006028222524037119,9.985309839066758e-05,0.0,0.0006304948474280536,9.972935367841274e-05,0.00050721550360322,2.3550024707219563e-05,0.0
69,adam,0.001,0.0006965546454011928,0.00013247982860775664,0.0004916469461022643,7.242787683026108e-05,0.0,0.0006503727636300027,0.00011469611490610987,0.00048252142732962966,5.3155261412030086e-05,0.0
