region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error,p90_stabilized_rel_error,p99_stabilized_rel_error,max_stabilized_rel_error
full,price,32761,0.047045327741682144,0.21689934933439092,0.1763296137022073,-15.308142729995847,7295.052280988711,0.3643445910063166,0.5559715387731717,0.7398373862350693,,,,
full,delta,32761,5.174354863160241,2.2747208319176755,1.3034507614505197,-74.08998779361923,4764.843721242478,2.800754142757509,7.971855391227545,64.81514724290389,0.8353276008275734,1.697476585115735,4.747750155691749,37.36775748325185
full,gamma,32761,19853.699820176324,140.90315759476906,21.50073793472333,-12764.164833316538,59991.401922595745,34.99951270345332,236.8203886233288,10959.030834919931,5.572026140372813,12.483810646734756,55.38471382942049,526.8063429426776
full,vega,32761,13.87037428104073,3.7242951388203287,2.9335916240399422,-1243.705561487005,19039.662078163365,6.927798496125205,8.07557838066327,9.414375283700881,2.3556626514044114,5.791529579692012,7.0264919916379815,9.028483917106024
full,theta,32761,3.1428456684958888,1.7728072846465541,0.418944865952981,-6012.865084208226,10517.82360396889,0.5731619369997405,5.334510095069584,67.26243404235177,0.4002558442604571,0.5411449645600456,5.145604653987591,52.37017535819045
full,rho,32761,0.3702587171096134,0.6084888800213307,0.5054962932584849,-1.948413579594161,270.95943505414886,0.9812618167590175,1.326331612096799,1.4894710819056043,0.3070920848562586,0.4925389743108484,0.5552179392696611,0.5803440389531398
full,pde_residual,32761,8.2206363759199,2.8671652160138765,0.6003506642921265,,,0.7687221928543713,6.435836157615107,205.7739165739703,,,,
short_maturity,price,905,0.2234095576112216,0.4726622024355466,0.4486032677513354,-53.57954449955339,191859.57722409352,0.6351282413618489,0.7217598529050379,0.7398373862350693,,,,
short_maturity,delta,905,67.9179287078567,8.241233445780837,4.295789857165105,-328.06708797472265,157878.893035047,11.77063256785954,33.49575750999065,64.81514724290389,2.8889223081135396,7.392685100244633,19.724855827973826,37.36775748325185
short_maturity,gamma,905,678977.7853915694,824.0010833679586,275.0636940041683,-32773.4874134435,1515969.1706793217,651.6161650207644,3122.9224601315213,10959.030834919931,50.19531801229263,112.02935807876588,290.1466484510047,526.8063429426776
short_maturity,vega,905,11.547181238475849,3.398114365126025,2.5578516829280535,-3794.7499149331397,421750.9490194991,5.83154242273845,8.93637689853537,9.414375283700881,2.462470894209967,5.6721177471063235,8.2211668069137,9.028483917106024
short_maturity,theta,905,106.33436103696604,10.311855363462293,6.311353072710815,-13004.931336108139,323813.9946556355,16.876461386593625,44.53070106386863,67.26243404235177,5.957672104504614,16.035060270655034,38.36568384926793,52.37017535819045
short_maturity,rho,905,0.00590080060926174,0.07681666882429712,0.05112110910858136,-22.339787288010804,4986.135790958991,0.15570804341186995,0.19948176431271825,0.21296312843074128,0.04994345989542759,0.1497836191384564,0.19641527611612705,0.21193524175436165
short_maturity,pde_residual,905,279.91073552503275,16.730533031706813,7.784184719347945,,,18.82111341878309,60.67694036983699,205.7739165739703,,,,
atm,price,4887,0.02936414137600279,0.171359684220072,0.13586585069717347,-54.16925099355708,673.1710527032161,0.26703573744294185,0.5185748920217095,0.7398373862350693,,,,
atm,delta,4887,11.815259055043141,3.4373331312287934,1.2794444158325202,-2707.4220108536015,310.0983797388011,2.182814992804668,14.33005625151884,64.81514724290389,0.867205022894052,1.4948563603783722,9.559583856898703,37.36775748325185
atm,gamma,4887,124128.3517307503,352.31853730786054,60.38717034863215,-29041.20883326198,917.8633776186764,85.08775980867253,1018.334593407306,10959.030834919931,7.451286526321264,15.858127662910363,81.06663277711579,361.50493601646946
