parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.5696403975092336,0.11964039750923355,0.265867550020519
kappa,1.0,1.5023198411013983,0.5023198411013983,0.5023198411013983
gamma,0.35,0.32323085348749614,0.02676914651250384,0.07648327575001097
bar_v,0.2,0.19748279895076487,0.0025172010492351404,0.012586005246175702
v0,0.22,0.22312657224142235,0.0031265722414223485,0.01421169200646522
