quantity,primary,mse,rmse,mae,mape_pct,max_abs_error
price,True,3.7869544637087306e-10,1.946009882736655e-05,1.7551122224637832e-05,0.010474357035222965,3.370586130602149e-05
delta,True,5.242838908432909e-10,2.2897246359405116e-05,1.765644832649192e-05,0.005306099390230475,6.483400422299668e-05
vega,True,2.1736273323788027e-08,0.00014743226690174723,0.00010756030363652671,0.048265463685751575,0.0004746670089677274
theta,True,4.193674079160215e-10,2.047846204957837e-05,1.5765195261565264e-05,0.018046890144131172,0.0001019596491261543
rho,True,1.4505184417708977e-09,3.808567239489015e-05,2.994499914585444e-05,0.009352940042702287,7.862706028571864e-05
gamma,False,2.2501578447711357e-08,0.00015000526140009676,0.00012397222869393678,0.01446025753769226,0.0005670725434878676
