epoch,train_mse,val_mse
1,0.81719628402165,0.43236589431762695
2,0.217228787285941,0.29134249687194824
3,0.28989348241261076,0.2102353423833847
4,0.12521883153489657,0.003716281848028302
5,0.03182905726134777,0.14229318499565125
