moneyness,tau,value,jac_moneyness,jac_tau,hess_moneyness__moneyness,hess_tau__tau,hess_moneyness__tau,delta,gamma,vega,theta,rho
0.8,0.05,0.19910702026668958,-0.9823215303982626,-0.004145273271426841,0.04719363166118454,-0.9838720096222233,0.02660708550483693,-0.9823215303982626,0.04719363166118454,-0.012165015740495982,0.004145273271426841,-0.0028172099115825492
0.8,0.06218750000000001,0.19898469436898844,-0.9826925942988737,-0.015659250542546882,0.04471693454588437,-0.8565740988754202,-0.08665705178364017,-0.9826925942988737,0.04471693454588437,-0.013144466136897516,0.015659250542546882,-0.016808282169581322
0.8,0.074375,0.19873707838621224,-0.9843220874544266,-0.024375913300275096,0.0481972533993341,-0.5642140797970475,-0.17332569155892127,-0.9843220874544266,0.0481972533993341,-0.012157243589494571,0.024375913300275096,-0.031029632014396073
0.8,0.0865625,0.19840556955937474,-0.9867095851325415,-0.029434244217032935,0.06484240514733701,-0.2741909015194838,-0.20989696973705047,-0.9867095851325415,0.06484240514733701,-0.009344745552675834,0.029434244217032935,-0.044885777271367056
0.8,0.09875,0.19803242332026993,-0.989254172246272,-0.03135435655454732,0.09564011651864214,-0.05493774047242049,-0.20147758175876063,-0.989254172246272,0.09564011651864214,-0.0051269921983458895,0.03135435655454732,-0.058175681366735864
0.8,0.11093750000000001,0.19765007753564268,-0.9915051398301451,-0.03111267925879016,0.1379426065006773,0.08167567900557184,-0.16453805345917805,-0.9915051398301451,0.1379426065006773,6.21017161258262e-05,0.03111267925879016,-0.07089097652766903
0.8,0.123125,0.19727903103178382,-0.9932098138288469,-0.029636388621111794,0.18857487878645776,0.1512874822885092,-0.1138884975678946,-0.9932098138288469,0.18857487878645776,0.005870178016003426,0.029636388621111794,-0.08310526073740465
0.8,0.1353125,0.19692990379667444,-0.994266164894982,-0.027606602889666765,0.2449889632378095,0.1760602185400654,-0.059409230294264426,-0.994266164894982,0.2449889632378095,0.012040098979834692,0.027606602889666765,-0.09491232337976131
0.8,0.14750000000000002,0.19660660726938417,-0.9946663536747653,-0.02545049809274908,0.30530555158662237,0.17464266281911475,-0.006919952943054038,-0.9946663536747653,0.30530555158662237,0.018394554643011752,0.02545049809274908,-0.1063981865656011
0.8,0.1596875,0.1963090899564974,-0.9944558794271474,-0.02340297560839809,0.3681122760042982,0.15994665279897288,0.04044576622703924,-0.9944558794271474,0.3681122760042982,0.024815019919419024,0.02340297560839809,-0.11763277843575538
0.8,0.171875,0.19603526827837853,-0.9937072155328429,-0.02157239157474238,0.43231575953934614,0.1400717700320765,0.08126851200520077,-0.9937072155328429,0.43231575953934614,0.031223489314264354,0.02157239157474238,-0.12867010246403118
0.8,0.18406250000000002,0.19578224829391214,-0.9925029085673144,-0.019990145360691203,0.49707039068755143,0.11977705001589838,0.11523456164515986,-0.9925029085673144,0.49707039068755143,0.037568900719516386,0.019990145360691203,-0.13955095250612878
0.8,0.19624999999999998,0.1955470471710574,-0.9909246941248127,-0.01864380576158027,0.5617453078312297,0.10165810052412808,0.14273521556557162,-0.9909246941248127,0.5617453078312297,0.04381778256233907,0.01864380576158027,-0.15030582544665358
0.8,0.2084375,0.19532698845996266,-0.9890467464670858,-0.01749830111508063,0.6258984895128137,0.08693958885865533,0.16457860520209955,-0.9890467464670858,0.6258984895128137,0.049948071938790466,0.01749830111508063,-0.16095737549399639
0.8,0.22062500000000002,0.19511989025049822,-0.9869319839009189,-0.01650928996595639,0.6892443451790683,0.07598563148394966,0.18177240973492534,-0.9869319839009189,0.6892443451790683,0.05594511922455611,0.01650928996595639,-0.17152235628710982
0.8,0.23281250000000003,0.19492412333089898,-0.9846306744772306,-0.01563148345993106,0.7516136927895539,0.06863234865097655,0.19536220060282977,-0.9846306744772306,0.7516136927895539,0.061799133539898625,0.01563148345993106,-0.18201314301181
0.8,0.245,0.1947385895895773,-0.9821807069113063,-0.01482363164639763,0.8129110361868651,0.06441142441931934,0.20631896635753158,-0.9821807069113063,0.8129110361868651,0.06750355648957736,0.01482363164639763,-0.19243892542483343
0.8,0.2571875,0.19456265434800785,-0.9796089600842265,-0.014051237756879617,0.8730753449021464,0.06270418399999972,0.21547027842554525,-0.9796089600842265,0.8730753449021464,0.07305402963830682,0.014051237756879617,-0.20280663351351155
0.8,0.26937500000000003,0.19439605577586996,-0.9769332805394899,-0.013287701245064473,0.932049152313678,0.06284803799239787,0.22346803446462266,-0.9769332805394899,0.932049152313678,0.07844774252557514,0.013287701245064473,-0.21312163641314527
0.8,0.2815625,0.1942388073525879,-0.9741646726549742,-0.012514386809874782,0.9897583823372976,0.06420792299161217,0.23078434608418508,-0.9741646726549742,0.9897583823372976,0.0836830253940846,0.012514386809874782,-0.22338824667057278
0.8,0.29375,0.1940911040871523,-0.9713094121068989,-0.01171999295924827,1.0461029793827923,0.06622096398532565,0.23772681232321663,-0.9713094121068989,1.0461029793827923,0.08875909849150616,0.01171999295924827,-0.23361006119977978
0.8,0.3059375,0.1939532392062865,-0.968370896450006,-0.010899507336851275,1.1009567100116775,0.06842055536135926,0.24446515368419477,-0.968370896450006,1.1009567100116775,0.09367591923508962,0.010899507336851275,-0.24379017184007923
0.8,0.318125,0.19382553495161653,-0.9653511361535614,-0.01005296736074698,1.1541735852440764,0.07044502663060269,0.25106262503916216,-0.9653511361535614,1.1541735852440764,0.09843408741855984,0.01005296736074698,-0.25393127880788435
0.8,0.3303125,0.19370828882811958,-0.9622518591566281,-0.009184186235404382,1.2055981303695802,0.07203534579941184,0.2575073650385852,-0.9622518591566281,1.2055981303695802,0.10303478156686859,0.009184186235404382,-0.2640357382297109
0.8,0.34249999999999997,0.1936017350095353,-0.9590752504917206,-0.008299554207415691,1.2550770027512628,0.0730256408813124,0.26374053985052764,-0.9590752504917206,1.2550770027512628,0.10747970892209772,0.008299554207415691,-0.2741055705636483
0.8,0.3546875,0.19350601953098995,-0.9558243776562863,-0.00740698309858588,1.3024700083583947,0.07332962044403377,0.26967959079333104,-0.9558243776562863,1.3024700083583947,0.11177105852754417,0.00740698309858588,-0.2841424509761765
0.8,0.366875,0.1934211872812026,-0.9525033658821135,-0.006515028911170398,1.3476592111029646,0.07292526995334776,0.27523600624013445,-0.9525033658821135,1.3476592111029646,0.11591145200571804,0.006515028911170398,-0.29414769667019247
0.8,0.3790625,0.19334717854232142,-0.9491173895308288,-0.005632202430577674,1.3905554377488007,0.07183953925361689,0.28032780099348853,-0.9491173895308288,1.3905554377488007,0.11990389020462795,0.005632202430577674,-0.3041222605752246
0.8,0.39125,0.19328383281694694,-0.9456725405396273,-0.0047664604686956345,1.4311019825546398,0.07013415821932115,0.2848873447553394,-0.9456725405396273,1.4311019825546398,0.12375169616841683,0.0047664604686956345,-0.3140667362033923
0.8,0.4034375,0.1932308978436249,-0.9421756254749845,-0.003924859525452156,1.4692756813317813,0.06789324516452193,0.2888654012324877,-0.9421756254749845,1.4692756813317813,0.12745845613300422,0.003924859525452156,-0.3239813750332144
0.8,0.415625,0.1931880419639153,-0.9386339318063445,-0.0031133478595953175,1.5050857557869979,0.06521301119015392,0.2922322897153964,-0.9386339318063445,1.5050857557869979,0.13102796072035716,0.0031133478595953175,-0.3338661154740967
0.8,0.4278125,0.19315486831226858,-0.9350549931709169,-0.0023366699356902683,1.538570944764868,0.06219360553212953,0.29497702267389575,-0.9350549931709169,1.538570944764868,0.13446414845580754,0.0023366699356902683,-0.34372062112294177
0.8,0.44,0.19313092961586464,-0.9314463736787235,-0.0015983577816836817,1.5697954656861486,0.05893297694624738,0.2971051545283785,-0.9314463736787235,1.5697954656861486,0.13777105337539758,0.0015983577816836817,-0.35354432543108266
0.8,0.4521875,0.19311574268980825,-0.9278154832086396,-0.0009007859855622187,1.5988443143847992,0.0555225261761407,0.29863593358133,-0.9278154832086396,1.5988443143847992,0.14095275799111837,0.0009007859855622187,-0.36333647983315076
0.8,0.464375,0.19310880197851105,-0.9241694293186854,-0.00024527013657531395,1.6258183390103542,0.05204427685199367,0.29959920468725415,-0.9241694293186854,1.6258183390103542,0.1440133523591718,0.00024527013657531395,-0.3730962026558506
0.8,0.4765625,0.1931095917195148,-0.9205149067582006,0.0003678080630502334,1.6508294332876456,0.04856928112134654,0.3000323787421182,-0.9205149067582006,1.6508294332876456,0.14695689952393673,-0.0003678080630502334,-0.382822526570298
0.8,0.48875,0.19311759648958537,-0.9168581224184492,0.0009388623919066822,1.6739961006626485,0.04515698915165881,0.29997767366504974,-0.9168581224184492,1.6739961006626485,0.1497874072271143,-0.0009388623919066822,-0.39251444286622816
0.8,0.5009375,0.1931323100363862,-0.9132047516286347,0.0014689606373810766,1.6954395533953333,0.0418553385588843,0.2994797426137511,-0.9132047516286347,1.6954395533953333,0.15250880549042856,-0.0014689606373810766,-0.40217094133540865
0.8,0.513125,0.19315324240642517,-0.9095599207238134,0.0019596875155251615,1.7152804351818347,0.03870135366932932,0.29858373807329713,-0.9095599207238134,1.7152804351818347,0.15512492949771448,-0.0019596875155251615,-0.41179104501186387
0.8,0.5253125000000001,0.19317992545612894,-0.9059282105269051,0.002413017098453107,1.7336361950162174,0.03572208039528135,0.29733381281397897,-0.9059282105269051,1.7336361950162174,0.15763950710458616,-0.002413017098453107,-0.42137383940537815
0.8,0.5375000000000001,0.1932119168831748,-0.9023136755808504,0.0028311979554776277,1.7506190941474007,0.03293571721615895,0.29577202735684355,-0.9023136755808504,1.7506190941474007,0.16005615027376274,-0.0028311979554776277,-0.43091849617562017
0.8,0.5496875,0.19324880294474672,-0.8987198744606675,0.0032166527106026197,1.7663347961194336,0.0303528344192736,0.2939376151572248,-0.8987198744606675,1.7663347961194336,0.16237834975316506,-0.0032166527106026197,-0.4404242914295595
0.8,0.561875,0.19329020004282177,-0.8951499071511396,0.003571892577452907,1.780881470137889,0.02797760140426766,0.2918665480432995,-0.8951499071511396,1.780881470137889,0.16460947236566875,-0.003571892577452907,-0.44989061899231386
0.8,0.5740625,0.1933357553580809,-0.8916064561923038,0.003899446601774549,1.7943493281469582,0.025808965159998427,0.2895913427428299,-0.8916064561923038,1.7943493281469582,0.16675276035005243,-0.003899446601774549,-0.45931699911140395
0.8,0.58625,0.19338514670702994,-0.8880918290017858,0.004201804768479685,1.806820513744342,0.023841742057323614,0.2871410522837121,-0.8880918290017858,1.806820513744342,0.1688113322715395,-0.004201804768479685,-0.4687030831174719
